segment_onset,segment_offset,speaker_type,lena_speaker,words,lena_block_number,lena_block_type,lena_conv_status,lena_response_count,lena_conv_turn_type,lena_conv_floor_type,utterances_count,utterances_length,average_db,peak_db,utterances,non_speech_length,child_cry_vfx_len,cries,vfxs
0,1550,NA,SIL,0.0,1,pause,NA,NA,NA,NA,0.0,0,-39.72,-21.85,[],0,0,[],[]
1550,5880,NA,NOF,0.0,1,pause,NA,NA,NA,NA,0.0,0,-16.53,-2.88,[],0,0,[],[]
5880,6690,NA,OLF,0.0,1,pause,NA,NA,NA,NA,0.0,0,-33.46,-24.77,[],0,0,[],[]
6690,7760,NA,NOF,0.0,1,pause,NA,NA,NA,NA,0.0,0,-36.4,-22.36,[],0,0,[],[]
7760,8590,NA,OLF,0.0,1,pause,NA,NA,NA,NA,0.0,0,-24.52,-7.83,[],0,0,[],[]
8590,13320,NA,NOF,0.0,1,pause,NA,NA,NA,NA,0.0,0,-28.58,-8.22,[],0,0,[],[]
13320,26800,NA,SIL,0.0,1,pause,NA,NA,NA,NA,0.0,0,-36.51,-6.77,[],0,0,[],[]
26800,35750,NA,SIL,0.0,1,pause,NA,NA,NA,NA,0.0,0,-60.42,-49.99,[],0,0,[],[]
35750,40980,NA,SIL,0.0,1,pause,NA,NA,NA,NA,0.0,0,-55.53,-39.73,[],0,0,[],[]
40980,41780,NA,NOF,0.0,1,pause,NA,NA,NA,NA,0.0,0,-52.42,-43.8,[],0,0,[],[]
41780,43620,NA,SIL,0.0,1,pause,NA,NA,NA,NA,0.0,0,-55.84,-43.62,[],0,0,[],[]
43620,44220,CHI,CHN,0.0,1,pause,NA,NA,NA,NA,0.0,0,-40.58,-30.03,[],0,500,[],"[{'start': 43.62, 'end': 44.12}]"
44220,45300,NA,SIL,0.0,1,pause,NA,NA,NA,NA,0.0,0,-50.57,-39.22,[],0,0,[],[]
45300,50650,NA,SIL,0.0,1,pause,NA,NA,NA,NA,0.0,0,-59.57,-46.92,[],0,0,[],[]
50650,63990,NA,SIL,0.0,1,pause,NA,NA,NA,NA,0.0,0,-55.79,-32.03,[],0,0,[],[]
63990,65000,NA,TVF,0.0,1,pause,NA,NA,NA,NA,0.0,0,-57.97,-54.95,[],0,0,[],[]
65000,81410,NA,SIL,0.0,1,pause,NA,NA,NA,NA,0.0,0,-53.06,-33.98,[],0,0,[],[]
81410,82210,NA,NOF,0.0,1,pause,NA,NA,NA,NA,0.0,0,-46.63,-40.26,[],0,0,[],[]
82210,83880,FEM,FAN,2.78,1,AMF,EC,0,NT,FI,0.0,0,-34.85,-27.57,[],0,0,[],[]
83880,85080,NA,SIL,0.0,2,pause,NA,NA,NA,NA,0.0,0,-50.82,-39.22,[],0,0,[],[]
85080,86890,NA,NOF,0.0,2,pause,NA,NA,NA,NA,0.0,0,-49.44,-37.12,[],0,0,[],[]
86890,88800,NA,SIL,0.0,2,pause,NA,NA,NA,NA,0.0,0,-58.02,-53.72,[],0,0,[],[]
88800,89740,NA,NOF,0.0,2,pause,NA,NA,NA,NA,0.0,0,-53.16,-46.07,[],0,0,[],[]
89740,91230,NA,SIL,0.0,2,pause,NA,NA,NA,NA,0.0,0,-56.65,-46.64,[],0,0,[],[]
91230,92120,NA,NOF,0.0,2,pause,NA,NA,NA,NA,0.0,0,-45.23,-27.76,[],0,0,[],[]
92120,93360,NA,SIL,0.0,2,pause,NA,NA,NA,NA,0.0,0,-55.37,-45.76,[],0,0,[],[]
93360,94790,NA,NOF,0.0,2,pause,NA,NA,NA,NA,0.0,0,-41.07,-22.4,[],0,0,[],[]
94790,96450,NA,SIL,0.0,2,pause,NA,NA,NA,NA,0.0,0,-56.92,-45.27,[],0,0,[],[]
96450,97730,NA,NOF,0.0,2,pause,NA,NA,NA,NA,0.0,0,-50.47,-38.52,[],0,0,[],[]
97730,110360,NA,SIL,0.0,2,pause,NA,NA,NA,NA,0.0,0,-59.24,-47.85,[],0,0,[],[]
110360,111160,NA,NOF,0.0,2,pause,NA,NA,NA,NA,0.0,0,-50.86,-38.55,[],0,0,[],[]
111160,119980,NA,SIL,0.0,2,pause,NA,NA,NA,NA,0.0,0,-57.99,-42.05,[],0,0,[],[]
119980,120780,NA,OLN,0.0,2,pause,NA,NA,NA,NA,0.0,0,-21.79,-7.95,[],0,0,[],[]
120780,123690,NA,NOF,0.0,2,pause,NA,NA,NA,NA,0.0,0,-23.66,-7.07,[],0,0,[],[]
123690,124570,NA,OLN,0.0,2,pause,NA,NA,NA,NA,0.0,0,-21.56,-9.8,[],0,0,[],[]
124570,127160,NA,NOF,0.0,2,pause,NA,NA,NA,NA,0.0,0,-36.03,-24.39,[],0,0,[],[]
127160,127960,NA,SIL,0.0,2,pause,NA,NA,NA,NA,0.0,0,-41.31,-31.6,[],0,0,[],[]
127960,137420,NA,NOF,0.0,2,pause,NA,NA,NA,NA,0.0,0,-37.71,-14.66,[],0,0,[],[]
137420,138410,NA,OLN,0.0,2,pause,NA,NA,NA,NA,0.0,0,-32.1,-22.32,[],0,0,[],[]
138410,143510,NA,NOF,0.0,2,pause,NA,NA,NA,NA,0.0,0,-40.43,-24.72,[],0,0,[],[]
143510,145670,NA,SIL,0.0,2,pause,NA,NA,NA,NA,0.0,0,-52.97,-45.17,[],0,0,[],[]
145670,146490,NA,NOF,0.0,2,pause,NA,NA,NA,NA,0.0,0,-50.42,-40.25,[],0,0,[],[]
146490,148030,NA,SIL,0.0,2,pause,NA,NA,NA,NA,0.0,0,-53.76,-42.93,[],0,0,[],[]
148030,148830,NA,NOF,0.0,2,pause,NA,NA,NA,NA,0.0,0,-45.91,-35.89,[],0,0,[],[]
148830,149770,NA,SIL,0.0,2,pause,NA,NA,NA,NA,0.0,0,-55.18,-47.54,[],0,0,[],[]
149770,150570,NA,NOF,0.0,2,pause,NA,NA,NA,NA,0.0,0,-47.79,-38.45,[],0,0,[],[]
150570,156270,NA,SIL,0.0,2,pause,NA,NA,NA,NA,0.0,0,-51.43,-32.03,[],0,0,[],[]
156270,159290,NA,NOF,0.0,2,pause,NA,NA,NA,NA,0.0,0,-45.44,-34.13,[],0,0,[],[]
