segment_onset,segment_offset,speaker_type,lena_speaker,words,lena_block_number,lena_block_type,lena_conv_status,lena_response_count,lena_conv_turn_type,lena_conv_floor_type,utterances_count,utterances_length,average_db,peak_db,utterances,non_speech_length,child_cry_vfx_len,cries,vfxs
0,1040,NA,NOF,0.0,1,pause,NA,NA,NA,NA,0.0,0,-26.02,-9.23,[],0,0,[],[]
1040,1840,NA,SIL,0.0,1,pause,NA,NA,NA,NA,0.0,0,-49.78,-44.12,[],0,0,[],[]
1840,9950,NA,NOF,0.0,1,pause,NA,NA,NA,NA,0.0,0,-19.02,-2.69,[],0,0,[],[]
9950,12070,NA,OLN,0.0,1,pause,NA,NA,NA,NA,0.0,0,-27.82,-11.75,[],0,0,[],[]
12070,13950,NA,NOF,0.0,1,pause,NA,NA,NA,NA,0.0,0,-26.08,-9.3,[],0,0,[],[]
13950,15180,NA,OLN,0.0,1,pause,NA,NA,NA,NA,0.0,0,-24.22,-11.66,[],0,0,[],[]
15180,15990,NA,NON,0.0,1,pause,NA,NA,NA,NA,0.0,0,-26.03,-18.91,[],0,0,[],[]
15990,17250,NA,OLF,0.0,1,pause,NA,NA,NA,NA,0.0,0,-18.9,-2.38,[],0,0,[],[]
17250,18930,NA,NOF,0.0,1,pause,NA,NA,NA,NA,0.0,0,-32.59,-20.54,[],0,0,[],[]
18930,21300,NA,OLN,0.0,1,pause,NA,NA,NA,NA,0.0,0,-23.34,-9.59,[],0,0,[],[]
21300,22170,NA,NON,0.0,1,pause,NA,NA,NA,NA,0.0,0,-34.54,-22.42,[],0,0,[],[]
22170,24890,NA,OLN,0.0,1,pause,NA,NA,NA,NA,0.0,0,-26.56,-9.3,[],0,0,[],[]
24890,25690,NA,NOF,0.0,1,pause,NA,NA,NA,NA,0.0,0,-28.94,-20.94,[],0,0,[],[]
25690,26750,NA,OLN,0.0,1,pause,NA,NA,NA,NA,0.0,0,-28.45,-14.6,[],0,0,[],[]
26750,27940,NA,NON,0.0,1,pause,NA,NA,NA,NA,0.0,0,-32.61,-22.36,[],0,0,[],[]
27940,29550,NA,OLN,0.0,1,pause,NA,NA,NA,NA,0.0,0,-18.86,-4.56,[],0,0,[],[]
