segment_onset,segment_offset,speaker_type,lena_speaker,words,lena_block_number,lena_block_type,lena_conv_status,lena_response_count,lena_conv_turn_type,lena_conv_floor_type,utterances_count,utterances_length,average_db,peak_db,utterances,non_speech_length,child_cry_vfx_len,cries,vfxs
0,2620,NA,NOF,0.0,1,pause,NA,NA,NA,NA,0.0,0,-22.45,-4.16,[],0,0,[],[]
2620,3800,CHI,CHN,0.0,1,CM,EC,0,NT,FI,1.0,380,-16.39,-2.95,"[{'Canonical-syllable': '0', 'Growl': '1', 'High-freq-energy': '0', 'Long-island': '0', 'Low-tilt-spectrum': '2', 'Medium-island': '0', 'Short-island': '1', 'Squeal': '1', 'Typical-entropy': '2', 'Voicing-quality': '0', 'Wide-band': '0', 'Xlong-island': '0', 'seq': '1', 'end': 3.0, 'start': 2.62}]",0,0,[],[]
3800,4650,NA,NON,0.0,2,pause,NA,NA,NA,NA,0.0,0,-20.09,-3.47,[],0,0,[],[]
4650,5730,NA,OLN,0.0,2,pause,NA,NA,NA,NA,0.0,0,-15.56,-4.89,[],0,0,[],[]
5730,6530,NA,NOF,0.0,2,pause,NA,NA,NA,NA,0.0,0,-14.77,-3.12,[],0,0,[],[]
6530,7400,NA,OLF,0.0,2,pause,NA,NA,NA,NA,0.0,0,-30.08,-19.8,[],0,0,[],[]
7400,8200,NA,NOF,0.0,2,pause,NA,NA,NA,NA,0.0,0,-23.61,-7.32,[],0,0,[],[]
8200,9000,NA,OLN,0.0,2,pause,NA,NA,NA,NA,0.0,0,-26.35,-15.26,[],0,0,[],[]
9000,10190,NA,NOF,0.0,2,pause,NA,NA,NA,NA,0.0,0,-34.88,-20.45,[],0,0,[],[]
10190,11040,NA,OLN,0.0,2,pause,NA,NA,NA,NA,0.0,0,-30.49,-22.96,[],0,0,[],[]
11040,11640,CHI,CHN,0.0,2,CIC,BC,0,TIFI,FI,1.0,430,-24.01,-11.04,"[{'Canonical-syllable': '0', 'Growl': '0', 'High-freq-energy': '0', 'Long-island': '0', 'Low-tilt-spectrum': '0', 'Medium-island': '1', 'Short-island': '0', 'Squeal': '0', 'Typical-entropy': '1', 'Voicing-quality': '1', 'Wide-band': '0', 'Xlong-island': '0', 'seq': '1', 'end': 11.47, 'start': 11.16}]",0,0,[],[]
11640,13020,NA,NOF,0.0,2,CIC,NA,NA,NA,NA,0.0,0,-17.74,-4.04,[],0,0,[],[]
13020,13860,NA,OLN,0.0,2,CIC,NA,NA,NA,NA,0.0,0,-27.49,-21.6,[],0,0,[],[]
13860,15950,NA,NON,0.0,2,CIC,NA,NA,NA,NA,0.0,0,-21.25,-3.65,[],0,0,[],[]
15950,16750,FEM,FAN,3.47,2,CIC,RC,1,TIFR,FI,0.0,0,-30.87,-24.09,[],0,0,[],[]
16750,17370,FEM,FAN,0.0,2,CIC,NA,NA,NA,NA,0.0,0,-29.11,-24.72,[],620,0,[],[]
17370,19800,NA,NOF,0.0,2,CIC,NA,NA,NA,NA,0.0,0,-35.86,-26.56,[],0,0,[],[]
19800,20800,FEM,FAN,3.91,2,CIC,EC,1,NT,FH,0.0,0,-34.17,-27.21,[],0,0,[],[]
20800,24530,NA,NOF,0.0,3,pause,NA,NA,NA,NA,0.0,0,-36.92,-25.0,[],0,0,[],[]
24530,25580,NA,OLN,0.0,3,pause,NA,NA,NA,NA,0.0,0,-27.78,-21.79,[],0,0,[],[]
25580,26380,NA,NON,0.0,3,pause,NA,NA,NA,NA,0.0,0,-33.31,-20.22,[],0,0,[],[]
26380,27300,NA,OLN,0.0,3,pause,NA,NA,NA,NA,0.0,0,-25.34,-18.14,[],0,0,[],[]
27300,28480,NA,NON,0.0,3,pause,NA,NA,NA,NA,0.0,0,-32.28,-23.8,[],0,0,[],[]
28480,29280,NA,OLF,0.0,3,pause,NA,NA,NA,NA,0.0,0,-29.78,-21.66,[],0,0,[],[]
29280,30250,NA,NOF,0.0,3,pause,NA,NA,NA,NA,0.0,0,-45.02,-36.55,[],0,0,[],[]
30250,31250,FEM,FAN,5.74,3,AMF,EC,0,NT,FI,0.0,0,-24.1,-16.82,[],0,0,[],[]
31250,32310,NA,OLF,0.0,4,pause,NA,NA,NA,NA,0.0,0,-35.67,-26.35,[],0,0,[],[]
32310,33220,NA,OLN,0.0,4,pause,NA,NA,NA,NA,0.0,0,-28.64,-12.2,[],0,0,[],[]
33220,34410,NA,NOF,0.0,4,pause,NA,NA,NA,NA,0.0,0,-35.46,-24.0,[],0,0,[],[]
34410,35990,NA,OLN,0.0,4,pause,NA,NA,NA,NA,0.0,0,-27.21,-18.95,[],0,0,[],[]
35990,36800,NA,NON,0.0,4,pause,NA,NA,NA,NA,0.0,0,-33.28,-20.89,[],0,0,[],[]
36800,37520,OCH,CXN,0.0,4,XM,EC,0,NT,FI,0.0,0,-21.77,-11.85,[],0,0,[],[]
37520,38550,NA,OLN,0.0,5,pause,NA,NA,NA,NA,0.0,0,-27.57,-16.19,[],0,0,[],[]
38550,39350,NA,NON,0.0,5,pause,NA,NA,NA,NA,0.0,0,-31.7,-25.97,[],0,0,[],[]
39350,40150,NA,OLN,0.0,5,pause,NA,NA,NA,NA,0.0,0,-36.1,-29.27,[],0,0,[],[]
40150,41120,NA,NON,0.0,5,pause,NA,NA,NA,NA,0.0,0,-35.26,-28.15,[],0,0,[],[]
41120,42980,NA,OLN,0.0,5,pause,NA,NA,NA,NA,0.0,0,-26.94,-12.05,[],0,0,[],[]
42980,43600,CHI,CHN,0.0,5,CM,EC,0,NT,FI,1.0,500,-28.88,-21.03,"[{'Canonical-syllable': '0', 'Growl': '1', 'High-freq-energy': '0', 'Long-island': '0', 'Low-tilt-spectrum': '0', 'Medium-island': '0', 'Short-island': '1', 'Squeal': '0', 'Typical-entropy': '1', 'Voicing-quality': '2', 'Wide-band': '0', 'Xlong-island': '0', 'seq': '1', 'end': 43.48, 'start': 42.98}]",0,0,[],[]
43600,46460,NA,OLN,0.0,6,pause,NA,NA,NA,NA,0.0,0,-25.65,-11.19,[],0,0,[],[]
46460,48160,NA,NOF,0.0,6,pause,NA,NA,NA,NA,0.0,0,-27.37,-11.42,[],0,0,[],[]
48160,49700,NA,OLN,0.0,6,pause,NA,NA,NA,NA,0.0,0,-30.93,-20.44,[],0,0,[],[]
49700,50300,CHI,CHN,0.0,6,CIC,BC,0,TIFI,FI,1.0,600,-33.87,-27.43,"[{'Canonical-syllable': '0', 'Growl': '0', 'High-freq-energy': '1', 'Long-island': '0', 'Low-tilt-spectrum': '1', 'Medium-island': '1', 'Short-island': '0', 'Squeal': '0', 'Typical-entropy': '1', 'Voicing-quality': '1', 'Wide-band': '0', 'Xlong-island': '0', 'seq': '1', 'end': 50.3, 'start': 49.7}]",0,0,[],[]
50300,53730,FEM,FAN,12.49,6,CIC,RC,1,TIFR,FI,0.0,0,-32.93,-24.74,[],0,0,[],[]
53730,55510,NA,NOF,0.0,6,CIC,NA,NA,NA,NA,0.0,0,-46.02,-38.71,[],0,0,[],[]
55510,56400,OCH,CXN,0.0,6,CIC,RC,1,NT,FI,0.0,0,-30.06,-23.61,[],0,0,[],[]
56400,57310,NA,OLF,0.0,6,CIC,NA,NA,NA,NA,0.0,0,-37.14,-29.29,[],0,0,[],[]
57310,57920,FEM,FAN,7.14,6,CIC,RC,1,NT,FI,0.0,0,-23.4,-15.17,[],0,0,[],[]
57920,58920,FEM,FAN,0.0,6,CIC,NA,NA,NA,NA,0.0,0,-26.22,-16.97,[],1000,0,[],[]
58920,59720,NA,NOF,0.0,6,CIC,NA,NA,NA,NA,0.0,0,-46.05,-40.72,[],0,0,[],[]
59720,61050,FEM,FAN,4.8,6,CIC,EC,1,NT,FH,0.0,0,-27.47,-17.78,[],0,0,[],[]
61050,61850,NA,OLN,0.0,7,pause,NA,NA,NA,NA,0.0,0,-23.97,-12.32,[],0,0,[],[]
61850,62650,NA,NOF,0.0,7,pause,NA,NA,NA,NA,0.0,0,-31.22,-18.64,[],0,0,[],[]
62650,64320,NA,OLN,0.0,7,pause,NA,NA,NA,NA,0.0,0,-19.25,-3.24,[],0,0,[],[]
64320,65220,NA,NOF,0.0,7,pause,NA,NA,NA,NA,0.0,0,-29.62,-19.16,[],0,0,[],[]
65220,66030,NA,OLF,0.0,7,pause,NA,NA,NA,NA,0.0,0,-28.37,-15.54,[],0,0,[],[]
66030,67220,NA,NOF,0.0,7,pause,NA,NA,NA,NA,0.0,0,-28.01,-10.49,[],0,0,[],[]
67220,68820,FEM,FAN,6.04,7,AMF,EC,0,NT,FI,0.0,0,-31.44,-22.41,[],0,0,[],[]
68820,69740,NA,NOF,0.0,8,pause,NA,NA,NA,NA,0.0,0,-37.83,-27.14,[],0,0,[],[]
69740,70960,NA,OLN,0.0,8,pause,NA,NA,NA,NA,0.0,0,-28.05,-19.5,[],0,0,[],[]
