segment_onset,segment_offset,speaker_type,lena_speaker,words,lena_block_number,lena_block_type,lena_conv_status,lena_response_count,lena_conv_turn_type,lena_conv_floor_type,utterances_count,utterances_length,average_db,peak_db,utterances,non_speech_length,child_cry_vfx_len,cries,vfxs
0,850,NA,SIL,0.0,1,pause,NA,NA,NA,NA,0.0,0,-35.48,-17.62,[],0,0,[],[]
850,1720,NA,NOF,0.0,1,pause,NA,NA,NA,NA,0.0,0,-44.15,-29.75,[],0,0,[],[]
1720,2720,FEM,FAN,0.0,1,pause,NA,NA,NA,NA,0.0,0,-34.19,-22.43,[],1000,0,[],[]
2720,6920,NA,NOF,0.0,1,pause,NA,NA,NA,NA,0.0,0,-37.46,-17.77,[],0,0,[],[]
6920,7920,NA,NON,0.0,1,pause,NA,NA,NA,NA,0.0,0,-37.43,-29.69,[],0,0,[],[]
7920,8850,NA,SIL,0.0,1,pause,NA,NA,NA,NA,0.0,0,-51.92,-35.88,[],0,0,[],[]
8850,9810,NA,NON,0.0,1,pause,NA,NA,NA,NA,0.0,0,-23.15,-7.11,[],0,0,[],[]
9810,10780,NA,SIL,0.0,1,pause,NA,NA,NA,NA,0.0,0,-51.78,-36.58,[],0,0,[],[]
10780,11580,NA,NOF,0.0,1,pause,NA,NA,NA,NA,0.0,0,-35.49,-22.18,[],0,0,[],[]
11580,12410,NA,SIL,0.0,1,pause,NA,NA,NA,NA,0.0,0,-58.33,-53.05,[],0,0,[],[]
12410,13220,NA,NOF,0.0,1,pause,NA,NA,NA,NA,0.0,0,-43.62,-30.66,[],0,0,[],[]
13220,14020,NA,SIL,0.0,1,pause,NA,NA,NA,NA,0.0,0,-47.97,-30.82,[],0,0,[],[]
14020,14990,NA,MAF,0.0,1,pause,NA,NA,NA,NA,0.0,0,-47.05,-39.07,[],0,0,[],[]
14990,15790,NA,SIL,0.0,1,pause,NA,NA,NA,NA,0.0,0,-59.14,-54.7,[],0,0,[],[]
15790,26320,NA,NOF,0.0,1,pause,NA,NA,NA,NA,0.0,0,-27.15,-3.07,[],0,0,[],[]
26320,27120,NA,SIL,0.0,1,pause,NA,NA,NA,NA,0.0,0,-44.23,-29.85,[],0,0,[],[]
27120,33430,NA,NOF,0.0,1,pause,NA,NA,NA,NA,0.0,0,-23.66,-3.8,[],0,0,[],[]
33430,34870,NA,SIL,0.0,1,pause,NA,NA,NA,NA,0.0,0,-51.67,-43.93,[],0,0,[],[]
34870,35470,NA,MAF,0.0,1,pause,NA,NA,NA,NA,0.0,0,-43.41,-31.1,[],0,0,[],[]
35470,36950,NA,SIL,0.0,1,pause,NA,NA,NA,NA,0.0,0,-54.48,-48.01,[],0,0,[],[]
36950,38220,NA,MAF,0.0,1,pause,NA,NA,NA,NA,0.0,0,-46.72,-33.52,[],0,0,[],[]
38220,39030,NA,SIL,0.0,1,pause,NA,NA,NA,NA,0.0,0,-45.01,-30.37,[],0,0,[],[]
39030,39940,NA,OLF,0.0,1,pause,NA,NA,NA,NA,0.0,0,-35.21,-21.42,[],0,0,[],[]
39940,40950,NA,SIL,0.0,1,pause,NA,NA,NA,NA,0.0,0,-43.21,-29.66,[],0,0,[],[]
40950,41950,NA,MAF,0.0,1,pause,NA,NA,NA,NA,0.0,0,-43.47,-34.36,[],0,0,[],[]
41950,42780,NA,SIL,0.0,1,pause,NA,NA,NA,NA,0.0,0,-55.23,-42.46,[],0,0,[],[]
42780,44820,NA,NOF,0.0,1,pause,NA,NA,NA,NA,0.0,0,-43.83,-30.7,[],0,0,[],[]
44820,46120,NA,SIL,0.0,1,pause,NA,NA,NA,NA,0.0,0,-59.47,-47.58,[],0,0,[],[]
46120,47290,NA,TVF,0.0,1,pause,NA,NA,NA,NA,0.0,0,-53.77,-46.28,[],0,0,[],[]
47290,51380,NA,SIL,0.0,1,pause,NA,NA,NA,NA,0.0,0,-54.95,-33.16,[],0,0,[],[]
51380,52380,NA,MAF,0.0,1,pause,NA,NA,NA,NA,0.0,0,-45.31,-35.79,[],0,0,[],[]
52380,56480,NA,SIL,0.0,1,pause,NA,NA,NA,NA,0.0,0,-56.51,-40.06,[],0,0,[],[]
56480,57280,NA,NOF,0.0,1,pause,NA,NA,NA,NA,0.0,0,-48.01,-34.05,[],0,0,[],[]
57280,58080,NA,SIL,0.0,1,pause,NA,NA,NA,NA,0.0,0,-46.58,-33.65,[],0,0,[],[]
58080,58880,NA,NOF,0.0,1,pause,NA,NA,NA,NA,0.0,0,-49.34,-40.03,[],0,0,[],[]
58880,59870,NA,SIL,0.0,1,pause,NA,NA,NA,NA,0.0,0,-60.13,-50.19,[],0,0,[],[]
59870,60800,NA,CHF,0.0,1,pause,NA,NA,NA,NA,0.0,0,-47.56,-37.28,[],0,760,[],"[{'start': 60.04, 'end': 60.8}]"
60800,62530,NA,SIL,0.0,1,pause,NA,NA,NA,NA,0.0,0,-59.39,-43.25,[],0,0,[],[]
62530,63860,MAL,MAN,4.21,1,AMM,EC,0,NT,FI,0.0,0,-39.27,-26.93,[],0,0,[],[]
63860,65220,NA,SIL,0.0,2,pause,NA,NA,NA,NA,0.0,0,-56.13,-50.18,[],0,0,[],[]
65220,66220,NA,MAF,0.0,2,pause,NA,NA,NA,NA,0.0,0,-43.38,-33.2,[],0,0,[],[]
66220,67220,NA,FAF,0.0,2,pause,NA,NA,NA,NA,0.0,0,-47.03,-38.09,[],0,0,[],[]
67220,73260,NA,SIL,0.0,2,pause,NA,NA,NA,NA,0.0,0,-39.15,-15.37,[],0,0,[],[]
73260,74310,NA,TVF,0.0,2,pause,NA,NA,NA,NA,0.0,0,-53.91,-44.58,[],0,0,[],[]
74310,75970,NA,SIL,0.0,2,pause,NA,NA,NA,NA,0.0,0,-53.63,-36.98,[],0,0,[],[]
75970,76780,NA,MAF,0.0,2,pause,NA,NA,NA,NA,0.0,0,-53.05,-45.54,[],0,0,[],[]
76780,83730,NA,SIL,0.0,2,pause,NA,NA,NA,NA,0.0,0,-53.96,-38.17,[],0,0,[],[]
83730,84670,NA,NOF,0.0,2,pause,NA,NA,NA,NA,0.0,0,-44.37,-30.52,[],0,0,[],[]
84670,85690,NA,CHF,0.0,2,pause,NA,NA,NA,NA,0.0,0,-44.16,-34.16,[],0,1020,"[{'start': 84.67, 'end': 85.13}]","[{'start': 85.13, 'end': 85.69}]"
85690,90700,NA,SIL,0.0,2,pause,NA,NA,NA,NA,0.0,0,-42.59,-20.28,[],0,0,[],[]
90700,91300,NA,NOF,0.0,2,pause,NA,NA,NA,NA,0.0,0,-48.33,-38.34,[],0,0,[],[]
91300,99250,NA,SIL,0.0,2,pause,NA,NA,NA,NA,0.0,0,-39.25,-16.1,[],0,0,[],[]
99250,100310,NA,NOF,0.0,2,pause,NA,NA,NA,NA,0.0,0,-44.72,-30.06,[],0,0,[],[]
100310,101780,NA,SIL,0.0,2,pause,NA,NA,NA,NA,0.0,0,-56.34,-49.23,[],0,0,[],[]
101780,104950,NA,NOF,0.0,2,pause,NA,NA,NA,NA,0.0,0,-44.1,-30.88,[],0,0,[],[]
104950,110660,NA,SIL,0.0,2,pause,NA,NA,NA,NA,0.0,0,-52.5,-36.91,[],0,0,[],[]
110660,112110,NA,TVF,0.0,2,pause,NA,NA,NA,NA,0.0,0,-51.69,-40.19,[],0,0,[],[]
112110,113720,NA,SIL,0.0,2,pause,NA,NA,NA,NA,0.0,0,-59.62,-46.89,[],0,0,[],[]
113720,114720,NA,FAF,0.0,2,pause,NA,NA,NA,NA,0.0,0,-46.25,-33.89,[],0,0,[],[]
114720,115860,NA,SIL,0.0,2,pause,NA,NA,NA,NA,0.0,0,-53.94,-38.3,[],0,0,[],[]
115860,116470,OCH,CXN,0.0,2,XM,EC,0,NT,FI,0.0,0,-44.21,-37.34,[],0,0,[],[]
116470,117540,NA,TVF,0.0,3,pause,NA,NA,NA,NA,0.0,0,-50.57,-41.36,[],0,0,[],[]
117540,120180,NA,SIL,0.0,3,pause,NA,NA,NA,NA,0.0,0,-49.95,-34.67,[],0,0,[],[]
120180,120980,NA,NOF,0.0,3,pause,NA,NA,NA,NA,0.0,0,-43.4,-37.79,[],0,0,[],[]
120980,121780,NA,SIL,0.0,3,pause,NA,NA,NA,NA,0.0,0,-46.74,-38.71,[],0,0,[],[]
121780,123720,NA,NOF,0.0,3,pause,NA,NA,NA,NA,0.0,0,-49.62,-38.32,[],0,0,[],[]
123720,124910,NA,SIL,0.0,3,pause,NA,NA,NA,NA,0.0,0,-57.08,-45.87,[],0,0,[],[]
124910,126750,NA,TVF,0.0,3,pause,NA,NA,NA,NA,0.0,0,-56.51,-48.63,[],0,0,[],[]
126750,127950,NA,NOF,0.0,3,pause,NA,NA,NA,NA,0.0,0,-39.5,-24.26,[],0,0,[],[]
127950,128950,NA,TVF,0.0,3,pause,NA,NA,NA,NA,0.0,0,-53.33,-41.61,[],0,0,[],[]
128950,129750,NA,SIL,0.0,3,pause,NA,NA,NA,NA,0.0,0,-57.93,-48.4,[],0,0,[],[]
129750,131600,NA,TVF,0.0,3,pause,NA,NA,NA,NA,0.0,0,-45.96,-35.44,[],0,0,[],[]
131600,132430,NA,SIL,0.0,3,pause,NA,NA,NA,NA,0.0,0,-52.05,-42.01,[],0,0,[],[]
132430,133460,NA,TVF,0.0,3,pause,NA,NA,NA,NA,0.0,0,-54.49,-46.81,[],0,0,[],[]
133460,134270,NA,OLF,0.0,3,pause,NA,NA,NA,NA,0.0,0,-47.8,-39.9,[],0,0,[],[]
134270,135070,NA,SIL,0.0,3,pause,NA,NA,NA,NA,0.0,0,-56.38,-45.53,[],0,0,[],[]
135070,135670,FEM,FAN,2.33,3,AIOCF,BC,0,NT,FI,0.0,0,-34.42,-25.84,[],0,0,[],[]
135670,136800,NA,SIL,0.0,3,AIOCF,NA,NA,NA,NA,0.0,0,-57.04,-44.7,[],0,0,[],[]
136800,137890,NA,TVN,0.0,3,AIOCF,NA,NA,NA,NA,0.0,0,-43.51,-35.76,[],0,0,[],[]
137890,138740,OCH,CXN,0.0,3,AIOCF,EC,0,NT,FI,0.0,0,-40.78,-32.57,[],0,0,[],[]
138740,139740,NA,TVN,0.0,4,pause,NA,NA,NA,NA,0.0,0,-35.76,-22.12,[],0,0,[],[]
139740,140540,NA,NON,0.0,4,pause,NA,NA,NA,NA,0.0,0,-29.69,-24.83,[],0,0,[],[]
140540,142110,NA,OLN,0.0,4,pause,NA,NA,NA,NA,0.0,0,-8.51,-3.13,[],0,0,[],[]
142110,143780,CHI,CHN,0.0,4,pause,NA,NA,NA,NA,0.0,0,-15.77,-12.33,[],0,1670,"[{'start': 142.11, 'end': 143.78}]",[]
143780,145890,OCH,CXN,0.0,4,XIOCAC,BC,0,NT,FI,0.0,0,-24.69,-15.89,[],0,0,[],[]
145890,146630,FEM,FAN,1.04,4,XIOCAC,RC,0,NT,FI,0.0,0,-43.56,-33.87,[],0,0,[],[]
146630,148300,FEM,FAN,3.98,4,XIOCAC,RC,0,NT,FH,0.0,0,-30.74,-19.31,[],0,0,[],[]
148300,149960,CHI,CHN,0.0,4,XIOCAC,NA,NA,NA,NA,0.0,0,-15.49,-11.74,[],0,1660,"[{'start': 148.3, 'end': 149.96}]",[]
149960,150760,OCH,CXN,0.0,4,XIOCAC,RC,0,NT,FI,0.0,0,-28.17,-20.1,[],0,0,[],[]
150760,151760,NA,FAF,0.0,4,XIOCAC,NA,NA,NA,NA,0.0,0,-39.99,-31.38,[],0,0,[],[]
151760,152570,CHI,CHN,0.0,4,XIOCAC,NA,NA,NA,NA,0.0,0,-13.31,-5.27,[],0,810,"[{'start': 151.76, 'end': 152.57}]",[]
152570,153380,OCH,CXN,0.0,4,XIOCAC,RC,0,NT,FH,0.0,0,-16.68,-3.7,[],0,0,[],[]
153380,154410,OCH,CXN,0.0,4,XIOCAC,RC,0,NT,FH,0.0,0,-35.06,-21.1,[],0,0,[],[]
154410,155700,CHI,CHN,0.0,4,XIOCAC,NA,NA,NA,NA,0.0,0,-18.98,-14.69,[],0,1290,"[{'start': 154.41, 'end': 155.7}]",[]
155700,156610,OCH,CXN,0.0,4,XIOCAC,RC,0,NT,FH,0.0,0,-29.77,-22.97,[],0,0,[],[]
156610,160530,CHI,CHN,0.0,4,XIOCAC,NA,NA,NA,NA,0.0,0,-19.78,-6.39,[],0,3230,"[{'start': 157.1, 'end': 160.33}]",[]
160530,161740,OCH,CXN,0.0,4,XIOCAC,RC,0,NT,FH,0.0,0,-30.71,-23.13,[],0,0,[],[]
161740,162740,FEM,FAN,3.36,4,XIOCAC,RC,0,NT,FI,0.0,0,-26.62,-15.32,[],0,0,[],[]
162740,163740,NA,OLN,0.0,4,XIOCAC,NA,NA,NA,NA,0.0,0,-28.57,-22.17,[],0,0,[],[]
163740,164820,OCH,CXN,0.0,4,XIOCAC,RC,0,NT,FI,0.0,0,-25.86,-16.03,[],0,0,[],[]
164820,165950,NA,SIL,0.0,4,XIOCAC,NA,NA,NA,NA,0.0,0,-55.96,-47.83,[],0,0,[],[]
165950,167550,FEM,FAN,3.29,4,XIOCAC,RC,0,NT,FI,0.0,0,-32.79,-22.12,[],0,0,[],[]
167550,168600,NA,OLN,0.0,4,XIOCAC,NA,NA,NA,NA,0.0,0,-25.64,-20.89,[],0,0,[],[]
168600,169330,CHI,CHN,0.0,4,XIOCAC,NA,NA,NA,NA,0.0,0,-21.72,-18.33,[],0,730,"[{'start': 168.6, 'end': 169.33}]",[]
169330,171370,OCH,CXN,0.0,4,XIOCAC,RC,0,NT,FI,0.0,0,-24.72,-16.93,[],0,0,[],[]
171370,172510,OCH,CXN,0.0,4,XIOCAC,RC,0,NT,FH,0.0,0,-32.86,-20.51,[],0,0,[],[]
172510,173300,CHI,CHN,0.0,4,XIOCAC,NA,NA,NA,NA,0.0,0,-24.59,-21.15,[],0,710,"[{'start': 172.59, 'end': 173.3}]",[]
173300,174300,OCH,CXN,0.0,4,XIOCAC,RC,0,NT,FH,0.0,0,-39.07,-26.64,[],0,0,[],[]
174300,175250,OCH,CXN,0.0,4,XIOCAC,RC,0,NT,FH,0.0,0,-27.9,-20.1,[],0,0,[],[]
175250,175870,OCH,CXN,0.0,4,XIOCAC,RC,0,NT,FH,0.0,0,-22.56,-16.26,[],0,0,[],[]
175870,177510,OCH,CXN,0.0,4,XIOCAC,RC,0,NT,FH,0.0,0,-27.21,-20.85,[],0,0,[],[]
177510,178310,OCH,CXN,0.0,4,XIOCAC,RC,0,NT,FH,0.0,0,-23.87,-17.09,[],0,0,[],[]
178310,179630,OCH,CXN,0.0,4,XIOCAC,RC,0,NT,FH,0.0,0,-26.77,-21.06,[],0,0,[],[]
179630,180390,OCH,CXN,0.0,4,XIOCAC,RC,0,NT,FH,0.0,0,-31.73,-24.4,[],0,0,[],[]
180390,181470,NA,TVN,0.0,4,XIOCAC,NA,NA,NA,NA,0.0,0,-29.19,-24.41,[],0,0,[],[]
