segment_onset,segment_offset,speaker_type,lena_speaker,words,lena_block_number,lena_block_type,lena_conv_status,lena_response_count,lena_conv_turn_type,lena_conv_floor_type,utterances_count,utterances_length,average_db,peak_db,utterances,non_speech_length,child_cry_vfx_len,cries,vfxs
0,870,NA,NOF,0.0,1,pause,NA,NA,NA,NA,0.0,0,-36.14,-17.38,[],0,0,[],[]
870,1670,NA,CXF,0.0,1,pause,NA,NA,NA,NA,0.0,0,-44.75,-34.97,[],0,0,[],[]
1670,3240,NA,NOF,0.0,1,pause,NA,NA,NA,NA,0.0,0,-20.16,-2.7,[],0,0,[],[]
3240,4580,OCH,CXN,0.0,1,XM,EC,0,NT,FI,0.0,0,-39.81,-31.35,[],0,0,[],[]
4580,7830,NA,NOF,0.0,2,pause,NA,NA,NA,NA,0.0,0,-39.78,-26.27,[],0,0,[],[]
7830,8740,NA,CXF,0.0,2,pause,NA,NA,NA,NA,0.0,0,-41.25,-29.38,[],0,0,[],[]
8740,10790,NA,NON,0.0,2,pause,NA,NA,NA,NA,0.0,0,-19.58,-4.24,[],0,0,[],[]
10790,11590,NA,OLN,0.0,2,pause,NA,NA,NA,NA,0.0,0,-30.19,-19.18,[],0,0,[],[]
11590,12410,NA,NON,0.0,2,pause,NA,NA,NA,NA,0.0,0,-16.99,-2.21,[],0,0,[],[]
12410,14530,NA,OLN,0.0,2,pause,NA,NA,NA,NA,0.0,0,-14.9,-2.8,[],0,0,[],[]
14530,15560,NA,NOF,0.0,2,pause,NA,NA,NA,NA,0.0,0,-16.13,-5.42,[],0,0,[],[]
15560,16650,NA,OLN,0.0,2,pause,NA,NA,NA,NA,0.0,0,-15.27,-2.7,[],0,0,[],[]
16650,17460,NA,NON,0.0,2,pause,NA,NA,NA,NA,0.0,0,-37.43,-27.14,[],0,0,[],[]
17460,18510,NA,OLN,0.0,2,pause,NA,NA,NA,NA,0.0,0,-17.63,-3.97,[],0,0,[],[]
18510,20690,NA,NOF,0.0,2,pause,NA,NA,NA,NA,0.0,0,-34.97,-19.38,[],0,0,[],[]
20690,21570,NA,OLF,0.0,2,pause,NA,NA,NA,NA,0.0,0,-21.86,-5.79,[],0,0,[],[]
21570,23470,NA,CXF,0.0,2,pause,NA,NA,NA,NA,0.0,0,-43.58,-34.51,[],0,0,[],[]
23470,25780,NA,NOF,0.0,2,pause,NA,NA,NA,NA,0.0,0,-43.77,-32.13,[],0,0,[],[]
25780,29230,NA,SIL,0.0,2,pause,NA,NA,NA,NA,0.0,0,-52.12,-43.62,[],0,0,[],[]
29230,30230,NA,MAF,0.0,2,pause,NA,NA,NA,NA,0.0,0,-44.6,-38.24,[],0,0,[],[]
30230,31030,NA,CXF,0.0,2,pause,NA,NA,NA,NA,0.0,0,-45.08,-39.18,[],0,0,[],[]
31030,31930,NA,SIL,0.0,2,pause,NA,NA,NA,NA,0.0,0,-53.6,-43.22,[],0,0,[],[]
31930,34290,OCH,CXN,0.0,2,XM,BC,0,NT,FI,0.0,0,-41.76,-29.63,[],0,0,[],[]
34290,35100,NA,SIL,0.0,2,XM,NA,NA,NA,NA,0.0,0,-56.7,-52.15,[],0,0,[],[]
35100,35900,NA,CXF,0.0,2,XM,NA,NA,NA,NA,0.0,0,-48.69,-38.83,[],0,0,[],[]
35900,36940,NA,SIL,0.0,2,XM,NA,NA,NA,NA,0.0,0,-57.47,-52.11,[],0,0,[],[]
36940,38830,OCH,CXN,0.0,2,XM,EC,0,NT,FH,0.0,0,-39.6,-26.64,[],0,0,[],[]
38830,39890,NA,TVF,0.0,3,pause,NA,NA,NA,NA,0.0,0,-44.15,-38.03,[],0,0,[],[]
39890,42810,NA,SIL,0.0,3,pause,NA,NA,NA,NA,0.0,0,-51.45,-42.64,[],0,0,[],[]
42810,44720,NA,CXF,0.0,3,pause,NA,NA,NA,NA,0.0,0,-41.72,-31.08,[],0,0,[],[]
44720,45650,NA,SIL,0.0,3,pause,NA,NA,NA,NA,0.0,0,-54.86,-45.61,[],0,0,[],[]
45650,46520,NA,CXF,0.0,3,pause,NA,NA,NA,NA,0.0,0,-44.95,-36.87,[],0,0,[],[]
46520,47900,NA,TVF,0.0,3,pause,NA,NA,NA,NA,0.0,0,-49.75,-38.96,[],0,0,[],[]
47900,50050,NA,SIL,0.0,3,pause,NA,NA,NA,NA,0.0,0,-53.79,-43.51,[],0,0,[],[]
