segment_onset,segment_offset,speaker_type,lena_speaker,words,lena_block_number,lena_block_type,lena_conv_status,lena_response_count,lena_conv_turn_type,lena_conv_floor_type,utterances_count,utterances_length,average_db,peak_db,utterances,non_speech_length,child_cry_vfx_len,cries,vfxs
32383290,32386770,NA,NOF,0.0,759,pause,NA,NA,NA,NA,0.0,0,-47.93,-37.17,[],0,0,[],[]
32386770,32387610,NA,SIL,0.0,759,pause,NA,NA,NA,NA,0.0,0,-53.73,-47.1,[],0,0,[],[]
32387610,32389190,NA,MAF,0.0,759,pause,NA,NA,NA,NA,0.0,0,-38.47,-33.17,[],0,0,[],[]
32389190,32390220,NA,OLF,0.0,759,pause,NA,NA,NA,NA,0.0,0,-40.13,-27.75,[],0,0,[],[]
32390220,32391160,NA,NOF,0.0,759,pause,NA,NA,NA,NA,0.0,0,-41.28,-31.46,[],0,0,[],[]
32391160,32392750,NA,OLF,0.0,759,pause,NA,NA,NA,NA,0.0,0,-34.46,-24.16,[],0,0,[],[]
32392750,32394050,FEM,FAN,5.75,759,AMF,EC,0,NT,FI,0.0,0,-30.53,-24.82,[],0,0,[],[]
32394050,32396630,NA,NOF,0.0,760,pause,NA,NA,NA,NA,0.0,0,-33.01,-10.92,[],0,0,[],[]
32396630,32398010,NA,OLN,0.0,760,pause,NA,NA,NA,NA,0.0,0,-22.22,-4.32,[],0,0,[],[]
32398010,32398890,NA,NOF,0.0,760,pause,NA,NA,NA,NA,0.0,0,-44.71,-31.42,[],0,0,[],[]
32398890,32399760,NA,SIL,0.0,760,pause,NA,NA,NA,NA,0.0,0,-52.58,-40.48,[],0,0,[],[]
32399760,32400690,NA,NOF,0.0,760,pause,NA,NA,NA,NA,0.0,0,-49.26,-39.8,[],0,0,[],[]
32400690,32401640,NA,SIL,0.0,760,pause,NA,NA,NA,NA,0.0,0,-56.3,-48.29,[],0,0,[],[]
32401640,32402540,NA,NOF,0.0,760,pause,NA,NA,NA,NA,0.0,0,-46.97,-40.69,[],0,0,[],[]
32402540,32403340,NA,OLN,0.0,760,pause,NA,NA,NA,NA,0.0,0,-29.17,-22.35,[],0,0,[],[]
32403340,32404140,NA,NOF,0.0,760,pause,NA,NA,NA,NA,0.0,0,-38.87,-25.53,[],0,0,[],[]
32404140,32405310,NA,SIL,0.0,760,pause,NA,NA,NA,NA,0.0,0,-51.66,-40.07,[],0,0,[],[]
32405310,32406580,MAL,MAN,2.31,760,AMM,BC,0,NT,FI,0.0,0,-37.74,-28.98,[],0,0,[],[]
32406580,32407630,NA,NOF,0.0,760,AMM,NA,NA,NA,NA,0.0,0,-45.59,-34.48,[],0,0,[],[]
32407630,32408630,NA,MAF,0.0,760,AMM,NA,NA,NA,NA,0.0,0,-39.3,-31.11,[],0,0,[],[]
32408630,32409600,NA,SIL,0.0,760,AMM,NA,NA,NA,NA,0.0,0,-46.13,-34.95,[],0,0,[],[]
32409600,32410960,MAL,MAN,5.05,760,AMM,EC,0,NT,FH,0.0,0,-41.04,-31.96,[],0,0,[],[]
32410960,32411760,NA,SIL,0.0,761,pause,NA,NA,NA,NA,0.0,0,-45.77,-39.85,[],0,0,[],[]
32411760,32421040,NA,NOF,0.0,761,pause,NA,NA,NA,NA,0.0,0,-26.56,-2.07,[],0,0,[],[]
32421040,32423820,NA,SIL,0.0,761,pause,NA,NA,NA,NA,0.0,0,-52.23,-36.66,[],0,0,[],[]
32423820,32424620,NA,NOF,0.0,761,pause,NA,NA,NA,NA,0.0,0,-50.17,-42.43,[],0,0,[],[]
32424620,32425420,NA,SIL,0.0,761,pause,NA,NA,NA,NA,0.0,0,-49.84,-36.71,[],0,0,[],[]
32425420,32434280,NA,NOF,0.0,761,pause,NA,NA,NA,NA,0.0,0,-31.88,-8.07,[],0,0,[],[]
32434280,32435550,NA,SIL,0.0,761,pause,NA,NA,NA,NA,0.0,0,-52.97,-39.67,[],0,0,[],[]
32435550,32437170,NA,NOF,0.0,761,pause,NA,NA,NA,NA,0.0,0,-46.89,-35.74,[],0,0,[],[]
32437170,32438170,NA,SIL,0.0,761,pause,NA,NA,NA,NA,0.0,0,-55.07,-46.91,[],0,0,[],[]
32438170,32439580,NA,NOF,0.0,761,pause,NA,NA,NA,NA,0.0,0,-49.81,-35.81,[],0,0,[],[]
32439580,32440180,NA,CHF,0.0,761,CM,EC,0,NT,FI,1.0,600,-43.79,-33.72,"[{'Canonical-syllable': '0', 'Growl': '1', 'High-freq-energy': '0', 'Long-island': '0', 'Low-tilt-spectrum': '2', 'Medium-island': '1', 'Short-island': '0', 'Squeal': '0', 'Typical-entropy': '0', 'Voicing-quality': '1', 'Wide-band': '1', 'Xlong-island': '0', 'seq': '1', 'end': 32440.18, 'start': 32439.58}]",0,0,[],[]
32440180,32441530,NA,SIL,0.0,762,pause,NA,NA,NA,NA,0.0,0,-50.17,-37.44,[],0,0,[],[]
32441530,32450190,NA,NOF,0.0,762,pause,NA,NA,NA,NA,0.0,0,-30.3,-2.62,[],0,0,[],[]
32450190,32451400,NA,SIL,0.0,762,pause,NA,NA,NA,NA,0.0,0,-53.57,-42.8,[],0,0,[],[]
32451400,32460810,NA,NOF,0.0,762,pause,NA,NA,NA,NA,0.0,0,-37.41,-13.5,[],0,0,[],[]
32460810,32461620,NA,SIL,0.0,762,pause,NA,NA,NA,NA,0.0,0,-51.4,-43.28,[],0,0,[],[]
32461620,32462460,NA,NOF,0.0,762,pause,NA,NA,NA,NA,0.0,0,-50.13,-41.36,[],0,0,[],[]
32462460,32464040,NA,SIL,0.0,762,pause,NA,NA,NA,NA,0.0,0,-53.9,-40.87,[],0,0,[],[]
32464040,32467960,NA,NOF,0.0,762,pause,NA,NA,NA,NA,0.0,0,-47.81,-37.09,[],0,0,[],[]
32467960,32470230,NA,OLN,0.0,762,pause,NA,NA,NA,NA,0.0,0,-31.75,-21.03,[],0,0,[],[]
32470230,32471630,NA,NOF,0.0,762,pause,NA,NA,NA,NA,0.0,0,-33.6,-17.67,[],0,0,[],[]
32471630,32472460,NA,OLF,0.0,762,pause,NA,NA,NA,NA,0.0,0,-23.91,-7.44,[],0,0,[],[]
32472460,32473710,NA,NOF,0.0,762,pause,NA,NA,NA,NA,0.0,0,-37.68,-28.82,[],0,0,[],[]
32473710,32474510,NA,OLF,0.0,762,pause,NA,NA,NA,NA,0.0,0,-38.33,-29.28,[],0,0,[],[]
32474510,32489630,NA,NOF,0.0,762,pause,NA,NA,NA,NA,0.0,0,-30.0,-6.77,[],0,0,[],[]
32489630,32490430,NA,OLF,0.0,762,pause,NA,NA,NA,NA,0.0,0,-34.62,-23.28,[],0,0,[],[]
32490430,32494050,NA,NOF,0.0,762,pause,NA,NA,NA,NA,0.0,0,-34.76,-15.39,[],0,0,[],[]
32494050,32495180,NA,OLF,0.0,762,pause,NA,NA,NA,NA,0.0,0,-31.57,-20.96,[],0,0,[],[]
32495180,32501000,NA,NOF,0.0,762,pause,NA,NA,NA,NA,0.0,0,-42.51,-26.28,[],0,0,[],[]
32501000,32501800,NA,SIL,0.0,762,pause,NA,NA,NA,NA,0.0,0,-55.87,-43.85,[],0,0,[],[]
32501800,32504830,NA,NOF,0.0,762,pause,NA,NA,NA,NA,0.0,0,-45.91,-31.3,[],0,0,[],[]
32504830,32505430,CHI,CHN,0.0,762,CM,EC,0,NT,FI,1.0,500,-30.16,-18.98,"[{'Canonical-syllable': '0', 'Growl': '2', 'High-freq-energy': '0', 'Long-island': '0', 'Low-tilt-spectrum': '0', 'Medium-island': '0', 'Short-island': '1', 'Squeal': '0', 'Typical-entropy': '1', 'Voicing-quality': '1', 'Wide-band': '1', 'Xlong-island': '0', 'seq': '1', 'end': 32505.33, 'start': 32504.83}]",0,0,[],[]
32505430,32506470,NA,NOF,0.0,763,pause,NA,NA,NA,NA,0.0,0,-35.8,-20.71,[],0,0,[],[]
32506470,32508160,NA,OLF,0.0,763,pause,NA,NA,NA,NA,0.0,0,-16.36,-1.37,[],0,0,[],[]
32508160,32511160,NA,NOF,0.0,763,pause,NA,NA,NA,NA,0.0,0,-19.06,-1.39,[],0,0,[],[]
32511160,32513130,CHI,CHN,0.0,763,CM,EC,0,NT,FI,3.0,680,-36.79,-23.49,"[{'Canonical-syllable': '0', 'Growl': '1', 'High-freq-energy': '0', 'Long-island': '0', 'Low-tilt-spectrum': '1', 'Medium-island': '0', 'Short-island': '1', 'Squeal': '0', 'Typical-entropy': '1', 'Voicing-quality': '1', 'Wide-band': '1', 'Xlong-island': '0', 'seq': '1', 'end': 32511.55, 'start': 32511.16}, {'Canonical-syllable': '1', 'Growl': '0', 'High-freq-energy': '0', 'Long-island': '0', 'Low-tilt-spectrum': '0', 'Medium-island': '0', 'Short-island': '1', 'Squeal': '0', 'Typical-entropy': '1', 'Voicing-quality': '1', 'Wide-band': '0', 'Xlong-island': '0', 'seq': '2', 'end': 32512.24, 'start': 32512.09}, {'Canonical-syllable': '0', 'Growl': '1', 'High-freq-energy': '0', 'Long-island': '0', 'Low-tilt-spectrum': '0', 'Medium-island': '0', 'Short-island': '0', 'Squeal': '0', 'Typical-entropy': '1', 'Voicing-quality': '1', 'Wide-band': '0', 'Xlong-island': '0', 'seq': '3', 'end': 32513.13, 'start': 32512.99}]",0,0,[],[]
32513130,32521890,NA,NOF,0.0,764,pause,NA,NA,NA,NA,0.0,0,-39.95,-20.27,[],0,0,[],[]
32521890,32523360,NA,OLN,0.0,764,pause,NA,NA,NA,NA,0.0,0,-29.64,-16.08,[],0,0,[],[]
32523360,32524190,NA,NON,0.0,764,pause,NA,NA,NA,NA,0.0,0,-17.9,-5.94,[],0,0,[],[]
32524190,32525320,NA,OLF,0.0,764,pause,NA,NA,NA,NA,0.0,0,-17.2,-6.41,[],0,0,[],[]
32525320,32531500,NA,NOF,0.0,764,pause,NA,NA,NA,NA,0.0,0,-42.42,-23.52,[],0,0,[],[]
32531500,32532310,NA,SIL,0.0,764,pause,NA,NA,NA,NA,0.0,0,-53.23,-46.27,[],0,0,[],[]
32532310,32533550,NA,NOF,0.0,764,pause,NA,NA,NA,NA,0.0,0,-50.28,-39.15,[],0,0,[],[]
32533550,32534150,NA,OLN,0.0,764,pause,NA,NA,NA,NA,0.0,0,-29.37,-21.28,[],0,0,[],[]
32534150,32534950,NA,NOF,0.0,764,pause,NA,NA,NA,NA,0.0,0,-35.75,-19.38,[],0,0,[],[]
32534950,32535750,CHI,CHN,0.0,764,CM,EC,0,NT,FI,1.0,240,-17.82,-4.49,"[{'Canonical-syllable': '0', 'Growl': '1', 'High-freq-energy': '0', 'Long-island': '0', 'Low-tilt-spectrum': '1', 'Medium-island': '0', 'Short-island': '1', 'Squeal': '0', 'Typical-entropy': '1', 'Voicing-quality': '0', 'Wide-band': '0', 'Xlong-island': '0', 'seq': '1', 'end': 32535.5, 'start': 32535.26}]",0,0,[],[]
32535750,32538210,NA,NOF,0.0,765,pause,NA,NA,NA,NA,0.0,0,-39.18,-23.04,[],0,0,[],[]
32538210,32539030,NA,OLN,0.0,765,pause,NA,NA,NA,NA,0.0,0,-20.67,-7.78,[],0,0,[],[]
32539030,32540220,NA,NON,0.0,765,pause,NA,NA,NA,NA,0.0,0,-34.03,-21.24,[],0,0,[],[]
32540220,32541890,NA,OLN,0.0,765,pause,NA,NA,NA,NA,0.0,0,-22.4,-8.68,[],0,0,[],[]
32541890,32543110,NA,NON,0.0,765,pause,NA,NA,NA,NA,0.0,0,-30.7,-22.0,[],0,0,[],[]
32543110,32544910,NA,OLF,0.0,765,pause,NA,NA,NA,NA,0.0,0,-32.88,-15.61,[],0,0,[],[]
32544910,32546940,NA,NOF,0.0,765,pause,NA,NA,NA,NA,0.0,0,-29.67,-8.88,[],0,0,[],[]
32546940,32548180,NA,OLN,0.0,765,pause,NA,NA,NA,NA,0.0,0,-31.76,-21.22,[],0,0,[],[]
32548180,32551440,NA,NOF,0.0,765,pause,NA,NA,NA,NA,0.0,0,-40.6,-22.62,[],0,0,[],[]
32551440,32552440,NA,MAF,0.0,765,pause,NA,NA,NA,NA,0.0,0,-43.06,-28.86,[],0,0,[],[]
32552440,32554930,NA,NOF,0.0,765,pause,NA,NA,NA,NA,0.0,0,-43.28,-31.23,[],0,0,[],[]
32554930,32556050,NA,MAF,0.0,765,pause,NA,NA,NA,NA,0.0,0,-40.45,-22.8,[],0,0,[],[]
32556050,32556970,NA,NOF,0.0,765,pause,NA,NA,NA,NA,0.0,0,-37.44,-19.14,[],0,0,[],[]
32556970,32558270,NA,MAF,0.0,765,pause,NA,NA,NA,NA,0.0,0,-35.53,-19.77,[],0,0,[],[]
32558270,32560340,NA,NOF,0.0,765,pause,NA,NA,NA,NA,0.0,0,-23.01,-4.8,[],0,0,[],[]
32560340,32561340,NA,MAF,0.0,765,pause,NA,NA,NA,NA,0.0,0,-36.43,-24.26,[],0,0,[],[]
32561340,32562140,NA,TVF,0.0,765,pause,NA,NA,NA,NA,0.0,0,-37.59,-21.11,[],0,0,[],[]
32562140,32563080,NA,SIL,0.0,765,pause,NA,NA,NA,NA,0.0,0,-50.92,-42.18,[],0,0,[],[]
32563080,32566270,NA,NOF,0.0,765,pause,NA,NA,NA,NA,0.0,0,-42.24,-25.19,[],0,0,[],[]
32566270,32568070,NA,CXF,0.0,765,pause,NA,NA,NA,NA,0.0,0,-31.8,-13.25,[],0,0,[],[]
32568070,32569880,NA,TVN,0.0,765,pause,NA,NA,NA,NA,0.0,0,-35.36,-24.75,[],0,0,[],[]
32569880,32572460,NA,OLN,0.0,765,pause,NA,NA,NA,NA,0.0,0,-19.31,-4.23,[],0,0,[],[]
32572460,32573260,OCH,CXN,0.0,765,XM,EC,0,NT,FI,0.0,0,-34.43,-27.58,[],0,0,[],[]
32573260,32575760,NA,NON,0.0,766,pause,NA,NA,NA,NA,0.0,0,-17.8,-2.77,[],0,0,[],[]
32575760,32576800,NA,OLN,0.0,766,pause,NA,NA,NA,NA,0.0,0,-24.06,-8.44,[],0,0,[],[]
32576800,32577730,NA,NOF,0.0,766,pause,NA,NA,NA,NA,0.0,0,-38.21,-29.05,[],0,0,[],[]
32577730,32579090,NA,OLN,0.0,766,pause,NA,NA,NA,NA,0.0,0,-31.7,-15.48,[],0,0,[],[]
32579090,32580720,NA,NOF,0.0,766,pause,NA,NA,NA,NA,0.0,0,-26.69,-9.48,[],0,0,[],[]
32580720,32581770,NA,OLF,0.0,766,pause,NA,NA,NA,NA,0.0,0,-19.52,-3.65,[],0,0,[],[]
32581770,32582570,NA,NOF,0.0,766,pause,NA,NA,NA,NA,0.0,0,-40.84,-33.83,[],0,0,[],[]
32582570,32583450,NA,OLN,0.0,766,pause,NA,NA,NA,NA,0.0,0,-32.51,-19.63,[],0,0,[],[]
32583450,32584270,NA,NON,0.0,766,pause,NA,NA,NA,NA,0.0,0,-31.68,-25.04,[],0,0,[],[]
32584270,32588610,NA,OLN,0.0,766,pause,NA,NA,NA,NA,0.0,0,-17.0,-2.52,[],0,0,[],[]
32588610,32590400,NA,TVN,0.0,766,pause,NA,NA,NA,NA,0.0,0,-28.55,-18.12,[],0,0,[],[]
32590400,32591200,NA,TVN,0.0,766,pause,NA,NA,NA,NA,0.0,0,-28.33,-24.13,[],0,0,[],[]
32591200,32592200,NA,TVN,0.0,766,pause,NA,NA,NA,NA,0.0,0,-31.65,-27.7,[],0,0,[],[]
32592200,32598070,NA,OLN,0.0,766,pause,NA,NA,NA,NA,0.0,0,-19.77,-0.06,[],0,0,[],[]
32598070,32599320,NA,TVN,0.0,766,pause,NA,NA,NA,NA,0.0,0,-31.09,-22.47,[],0,0,[],[]
32599320,32601380,NA,NOF,0.0,766,pause,NA,NA,NA,NA,0.0,0,-35.17,-17.79,[],0,0,[],[]
32601380,32602190,OCH,CXN,0.0,766,XM,EC,0,NT,FI,0.0,0,-31.82,-25.14,[],0,0,[],[]
32602190,32604040,NA,TVN,0.0,767,pause,NA,NA,NA,NA,0.0,0,-21.87,-5.25,[],0,0,[],[]
