segment_onset,segment_offset,speaker_type
29752,30992,FEM
29778,30974,NA
32992,33510,FEM
32992,33510,NA
35011,36628,FEM
35011,37259,NA
36330,37138,CHI
36789,36904,OCH
63629,64797,NA
63683,64680,FEM
65510,65682,NA
65510,65707,FEM
65991,67510,FEM
65991,67992,NA
67598,68044,MAL
72870,73012,MAL
74950,77010,NA
75013,76029,MAL
75084,77011,FEM
76164,76383,MAL
80511,81512,NA
80713,81213,OCH
83492,94005,NA
83492,85991,FEM
85543,86967,MAL
87991,91010,FEM
89017,89118,MAL
91382,94047,MAL
91535,91878,FEM
94937,98261,NA
94978,97745,FEM
98992,101869,NA
99399,99510,OCH
99492,101954,FEM
105091,106701,FEM
105104,106719,NA
108422,111692,NA
108506,109017,OCH
109011,111617,FEM
111846,111949,NA
112340,113570,FEM
112357,113564,NA
122011,129991,NA
122212,122695,FEM
122492,123491,CHI
122879,125312,FEM
125601,129680,FEM
125758,126747,CHI
128491,129296,MAL
131240,133896,FEM
131272,133871,NA
135565,136507,NA
135758,136440,FEM
139492,140847,CHI
139492,142656,NA
141382,142428,FEM
143880,146511,NA
143993,146511,FEM
149005,163276,NA
149011,152992,FEM
152633,153060,MAL
153316,154173,CHI
154151,156510,FEM
154540,155065,CHI
156146,158208,CHI
158185,162815,FEM
162510,162881,CHI
163510,165992,NA
163991,165992,FEM
166917,171991,NA
167412,169619,CHI
169528,171496,FEM
170044,170162,MAL
170492,171012,MAL
175984,176544,MAL
175993,181992,NA
176492,177992,FEM
178266,179894,CHI
179992,181890,FEM
180492,181132,MAL
184007,193992,NA
184019,185413,FEM
184992,185461,CHI
186118,187993,FEM
187513,191055,CHI
189037,189334,OCH
189493,190511,OCH
190968,193992,FEM
194916,198267,NA
194992,197167,CHI
198450,206349,NA
198676,202186,FEM
202119,203511,CHI
203514,204039,MAL
203992,206208,FEM
206504,212598,NA
206511,212512,FEM
209007,209905,MAL
210119,211044,CHI
217492,236512,NA
217618,219010,MAL
217991,219832,FEM
219608,221010,CHI
220811,223511,FEM
221511,225117,MAL
225354,225475,MAL
225767,230561,FEM
230480,232011,CHI
231992,234213,FEM
234480,236461,FEM
235165,235405,CHI
238393,239515,CHI
238393,246992,NA
239510,243511,FEM
242774,243468,CHI
243719,244510,FEM
244350,246761,CHI
247620,250492,NA
247739,250179,FEM
251684,252163,FEM
251706,252011,NA
259656,261011,NA
259728,260992,CHI
266993,274008,NA
267011,269026,FEM
269315,269992,FEM
269870,270629,CHI
270196,270321,FEM
270471,271991,FEM
271210,273360,MAL
273011,273787,FEM
273682,273787,MAL
276451,280877,NA
276492,278056,FEM
278016,280736,CHI
281780,283992,FEM
281888,291643,NA
284143,286011,MAL
285587,287224,FEM
286511,286867,CHI
286991,287281,CHI
287511,290132,MAL
289511,289984,FEM
291948,295056,NA
291992,294916,FEM
294010,294645,MAL
295679,300011,NA
295712,296510,FEM
296669,297990,MAL
297096,299405,FEM
298107,298210,MAL
299010,300514,MAL
302042,305540,NA
302115,303423,MAL
303078,305527,FEM
306119,307143,MAL
307532,308210,NA
309263,309511,NA
311096,313492,FEM
311151,313492,NA
315304,317992,NA
315473,317351,FEM
316492,317385,MAL
319722,320741,NA
320882,322198,NA
320993,321992,FEM
325375,328137,NA
325412,327025,FEM
327491,328105,OCH
328737,333011,NA
329010,329115,FEM
329034,329613,MAL
329493,330951,FEM
330860,331802,MAL
331730,332137,FEM
337301,341483,MAL
337417,343997,NA
340511,342993,FEM
342665,344010,MAL
345563,352870,NA
345689,351285,FEM
351361,352534,MAL
355492,358702,NA
355558,358788,MAL
355698,356493,FEM
360136,362912,MAL
360168,362900,NA
362315,362664,OCH
363852,365511,NA
363896,365457,FEM
367021,367337,NA
367511,368350,NA
368493,373012,NA
368911,369706,FEM
369102,370489,MAL
369860,372651,FEM
370796,370926,MAL
375725,378820,NA
375774,378098,FEM
375992,376434,MAL
379011,381011,NA
379232,381011,FEM
390758,392768,NA
390992,392329,FEM
391463,392619,OCH
397011,404122,NA
397421,398985,CHI
398847,402492,FEM
402130,403730,CHI
404369,407179,NA
