segment_onset,segment_offset,speaker_type
2365991,2372599,NA
2373260,2375511,NA
2373887,2375510,OCH
2394682,2395492,MAL
2406844,2407651,NA
2406893,2407492,CHI
2422011,2423515,FEM
2422011,2424012,NA
2430493,2430606,OCH
2430511,2430801,NA
2432703,2433743,NA
2432891,2433512,OCH
2441851,2442210,MAL
2443510,2446202,NA
2444511,2446188,FEM
2447675,2455491,NA
2447992,2454140,CHI
2454011,2455990,MAL
2457511,2459011,NA
2460011,2463173,MAL
2462010,2467015,NA
2463011,2465492,FEM
2465822,2466401,FEM
2468892,2470137,MAL
2469400,2469535,NA
2473772,2475012,MAL
2474099,2474514,NA
2538692,2539510,NA
2538724,2539448,OCH
2558010,2558147,NA
2558010,2560325,FEM
2558267,2560363,NA
2561001,2565032,NA
2561011,2565010,FEM
2566011,2567476,CHI
2566011,2567493,NA
2576492,2579027,NA
2576510,2579011,FEM
2584011,2585074,MAL
2584180,2584489,NA
2601511,2602512,NA
2601654,2602491,MAL
2607689,2608511,NA
2610957,2612530,MAL
2614241,2615991,MAL
2614876,2615149,NA
2615342,2615450,NA
2619810,2620490,MAL
2628011,2628230,NA
2686031,2686989,MAL
2686048,2687992,NA
2687224,2687511,CHI
2689011,2697744,NA
2689446,2693010,FEM
2692065,2692332,CHI
2693991,2696747,CHI
2696315,2697692,FEM
2704492,2706144,NA
2704538,2706011,FEM
2705456,2705728,MAL
2794372,2794971,NA
2794492,2794878,CHI
2796677,2798174,NA
2796744,2798011,FEM
2817539,2817642,NA
2817620,2818150,MAL
2817786,2818010,NA
2825491,2826827,NA
2825564,2825777,MAL
2829671,2831510,MAL
2829992,2830974,NA
2834494,2834670,MAL
2835511,2836510,NA
2842464,2844663,MAL
2843471,2844041,NA
2844492,2844673,NA
2844936,2846681,NA
2845068,2845235,FEM
2845490,2846492,FEM
2850188,2850532,MAL
2850512,2850672,NA
2850992,2852013,NA
2857491,2857613,MAL
2859989,2861493,FEM
2859992,2861678,NA
2861860,2861992,NA
2862511,2863895,FEM
2862511,2863981,NA
2866747,2867967,NA
2867105,2867603,MAL
2873051,2873181,OCH
2873107,2873510,NA
2900963,2901824,CHI
2900968,2901992,NA
2903511,2904556,NA
2903526,2904404,CHI
2905173,2911801,NA
2905360,2911818,CHI
2916932,2923714,NA
2916935,2923737,CHI
2952725,2953010,NA
2953841,2953993,NA
2955091,2956998,NA
2956741,2956888,FEM
2965788,2967992,NA
2965903,2967012,CHI
2974388,2975136,NA
2980336,2980992,NA
2980432,2980717,MAL
2984786,2986492,NA
2984865,2986186,CHI
2992152,2992992,OCH
2992245,2992918,NA
3008011,3017010,CHI
3008045,3017011,NA
3026693,3029079,CHI
3026715,3029361,NA
3052031,3052173,MAL
3055492,3057991,MAL
3056044,3057014,NA
3072851,3075305,CHI
3072890,3079039,NA
3075511,3078862,CHI
3080492,3081511,CHI
3080511,3081512,NA
3083446,3084713,CHI
3083446,3084992,NA
3086308,3089315,CHI
3086331,3090641,NA
3089607,3090511,FEM
3089991,3090092,OCH
3104475,3104991,NA
3142010,3144511,NA
3142992,3144511,FEM
3147307,3147874,NA
3162157,3163524,MAL
3162223,3165492,NA
3164172,3164768,FEM
3164493,3166526,MAL
3165986,3166511,NA
3172824,3181191,MAL
3173496,3178796,NA
3178992,3180990,NA
3181785,3187514,MAL
3181992,3183850,NA
3184390,3185850,NA
3201992,3202625,CHI
3201992,3207991,NA
3203548,3205155,FEM
3203992,3204110,MAL
3205491,3207492,FEM
3247771,3248910,NA
3249188,3251127,NA
3249511,3251011,FEM
3252012,3254665,FEM
3252012,3255011,NA
3254011,3254514,MAL
3279280,3280176,NA
3279550,3279992,FEM
3309491,3309965,NA
3310296,3310450,NA
3387493,3388060,NA
3387592,3388031,FEM
3414992,3417000,MAL
3415470,3416511,NA
3423647,3425378,NA
3423774,3425011,CHI
3423992,3425011,OCH
3430340,3440192,NA
3430461,3431799,FEM
3431967,3437512,FEM
3438609,3439615,FEM
3439619,3440230,MAL
3441511,3443440,NA
3441992,3443096,FEM
3442304,3442647,MAL
3446688,3451347,NA
3446793,3448492,FEM
3449010,3451178,FEM
3466992,3468492,FEM
3466992,3468492,NA
3468899,3473273,NA
3468916,3471363,FEM
3472104,3473122,FEM
3474989,3479491,NA
3474993,3479492,FEM
3476012,3476296,MAL
3480987,3481993,FEM
3480992,3481983,NA
3484011,3485489,CHI
3484011,3485493,NA
3517444,3518328,FEM
3517447,3518326,NA
3523660,3525491,CHI
3523691,3527031,NA
3525950,3526898,MAL
3526111,3526492,FEM
3530512,3530936,NA
3536389,3537251,NA
3537498,3539992,NA
3537992,3539511,FEM
3538202,3538359,MAL
3582510,3584992,NA
3583011,3584690,FEM
3583600,3584056,MAL
3597642,3598493,NA
3597792,3597922,FEM
3597924,3598255,CHI
3600118,3601512,NA
3600492,3601493,FEM
3611215,3612011,NA
3611321,3611993,OCH
3612200,3612318,NA
3699992,3704010,CHI
3699992,3704319,NA
3738012,3739747,FEM
3738012,3739993,NA
3771866,3776389,NA
3771993,3775992,FEM
3772013,3772948,MAL
3810993,3813992,NA
3811114,3813512,MAL
3811492,3813563,FEM
3840068,3841492,FEM
3840068,3841808,NA
3842512,3842635,NA
3842750,3842853,NA
3842993,3845379,NA
3843828,3844506,FEM
3850600,3851530,NA
3850976,3851562,MAL
3852498,3852631,MAL
3853771,3860305,NA
3854269,3858012,FEM
3859333,3859524,MAL
3864157,3865531,NA
3864267,3864993,FEM
3866118,3866437,NA
3868012,3869949,NA
3868493,3869396,FEM
3981990,3987798,NA
3981992,3982831,FEM
3982768,3983058,OCH
3984010,3987777,FEM
4006010,4008666,NA
4006093,4007411,OCH
4007554,4007991,FEM
4012362,4012625,MAL
4012423,4014487,NA
4018530,4018645,OCH
4018847,4023410,OCH
4019011,4019720,NA
4019974,4021824,NA
4022094,4022492,NA
4028992,4029242,NA
4037199,4041647,NA
4037513,4038640,MAL
4037681,4039169,FEM
4039453,4041611,FEM
4044740,4045970,FEM
4044759,4045993,NA
4048512,4050993,FEM
4048512,4050993,NA
4055010,4066109,NA
4055326,4059295,FEM
4057319,4064749,MAL
4060511,4061900,FEM
4063163,4064511,FEM
4066242,4068124,NA
4066288,4067493,OCH
4068745,4068990,MAL
4068876,4072020,NA
4069891,4071103,FEM
4071511,4071967,FEM
4076150,4076304,OCH
4081492,4088451,FEM
4081492,4090733,NA
4088510,4090894,OCH
4091163,4104511,NA
4091951,4104511,FEM
4109511,4111328,NA
4109609,4110311,CHI
4110492,4110637,MAL
4110492,4111071,FEM
4111511,4111626,NA
4111791,4116511,NA
4112011,4113896,MAL
4112443,4116512,FEM
4126376,4126656,OCH
4130492,4132510,NA
4130501,4132492,FEM
4136010,4140492,NA
4136511,4138661,FEM
4138516,4139427,CHI
4138844,4140089,FEM
4147921,4150012,CHI
4147936,4150690,NA
4151999,4152492,NA
4164991,4168425,NA
4165493,4167835,CHI
4170000,4172492,NA
4170012,4172385,FEM
4170383,4170493,OCH
4174006,4175469,NA
4174011,4175012,FEM
4175744,4175973,NA
4176510,4181044,NA
4176765,4180081,FEM
4180388,4181510,OCH
4181763,4181992,OCH
4181833,4182287,NA
4182511,4185992,NA
4182992,4185493,FEM
4188326,4189924,NA
4188512,4189821,FEM
4195166,4202512,NA
4195493,4200512,FEM
4201215,4202509,OCH
4204462,4216782,NA
4204492,4211011,FEM
4209492,4212184,MAL
4213011,4216479,FEM
4217169,4219511,NA
4217874,4219405,FEM
4224992,4225147,NA
4225362,4225993,NA
4232986,4234991,MAL
4233425,4235011,NA
4244511,4247690,NA
4244869,4247528,FEM
4247961,4259353,NA
4248221,4248992,OCH
4248246,4252011,FEM
4252012,4258511,CHI
4259604,4270011,NA
4259712,4263011,CHI
4261012,4261127,OCH
4261430,4264010,OCH
4263160,4263305,CHI
4264550,4267991,CHI
4268363,4270012,CHI
4271879,4283086,NA
4271943,4282991,CHI
4286912,4289001,NA
4286987,4288632,CHI
4291490,4292356,NA
4303155,4305492,NA
4303209,4305296,FEM
4310888,4312992,NA
4310992,4311984,OCH
4311174,4312510,CHI
4341139,4341320,NA
4348492,4350512,CHI
4348510,4350511,NA
4365227,4365510,OCH
4366212,4369992,NA
4367010,4369636,CHI
4367031,4367512,FEM
4372562,4375632,NA
4372630,4373852,OCH
4373011,4375492,CHI
4409404,4422492,NA
4409492,4409713,FEM
4409922,4410359,FEM
4410502,4416778,FEM
4417511,4419634,OCH
4418493,4419308,FEM
4419993,4421011,OCH
4421010,4422345,FEM
4425011,4426992,CHI
4425011,4427249,NA
4428265,4432742,NA
4428440,4432610,CHI
4428457,4429491,OCH
4430177,4430725,MAL
4437776,4438011,NA
4439023,4439241,OCH
4439912,4442156,NA
4440212,4441493,FEM
