segment_onset,segment_offset,speaker_type
2511,10962,NA
3491,4642,FEM
4317,4763,MAL
4858,5594,FEM
5086,6374,MAL
5824,5993,FEM
8213,9840,OCH
14992,21771,FEM
14992,21823,NA
20365,20677,MAL
22091,40552,NA
22429,24577,FEM
22601,22993,CHI
25329,29511,OCH
25733,26000,CHI
26229,26492,CHI
29511,30012,FEM
29992,32785,OCH
30491,31012,CHI
31354,31492,CHI
31764,31992,CHI
32174,32496,CHI
32564,40492,FEM
34457,34666,MAL
40873,44707,NA
41669,43011,FEM
43104,43992,CHI
43511,44502,OCH
44111,44401,CHI
45993,60011,NA
46465,47491,FEM
46511,48418,CHI
47493,47596,OCH
48760,51511,CHI
50510,52511,OCH
52512,56758,CHI
57849,58492,FEM
58475,59918,CHI
60725,65992,NA
60882,60992,CHI
61163,64288,OCH
63813,65539,FEM
66116,93246,NA
66209,70991,OCH
66682,67011,CHI
68442,69205,FEM
69992,71128,CHI
70797,72554,MAL
72510,74616,OCH
72713,75837,CHI
76012,78008,FEM
77308,78435,OCH
77993,80011,CHI
78827,80992,OCH
79032,79133,FEM
80313,80492,CHI
80924,81113,FEM
81120,81630,OCH
81511,81821,CHI
82944,84512,FEM
84071,84511,CHI
84166,89993,OCH
85990,89611,CHI
89492,93093,FEM
92030,92209,OCH
94206,98813,NA
94362,95995,FEM
94512,96778,MAL
96314,98098,FEM
97971,98511,OCH
99488,101877,NA
99512,101490,MAL
99849,101408,FEM
103493,104101,OCH
103493,104511,NA
105435,109995,NA
105492,105880,CHI
106328,107022,CHI
106491,109463,FEM
113896,115511,FEM
113900,115993,NA
116895,121605,NA
116993,118512,FEM
118425,121991,MAL
124492,128491,FEM
124492,128512,NA
132511,134190,MAL
133002,141510,NA
134116,139393,CHI
136569,137504,OCH
138900,141511,FEM
143350,148740,NA
143395,145364,CHI
144511,144773,FEM
145186,147273,FEM
146708,149011,MAL
150572,162565,NA
150798,153010,FEM
152511,154131,CHI
154027,157142,FEM
156107,156392,MAL
156512,156819,MAL
157321,160757,FEM
157493,159788,MAL
160928,161934,CHI
161482,162849,MAL
167010,167634,NA
167943,168378,NA
171102,171654,MAL
171836,177010,NA
171887,173510,OCH
171992,172512,CHI
173639,174866,FEM
173841,173981,MAL
174992,176946,FEM
179472,181313,NA
179508,181158,FEM
188511,192993,NA
189223,189512,MAL
189894,192943,FEM
193710,196992,NA
193835,194993,MAL
194010,196931,FEM
199910,202752,MAL
199992,205252,NA
202021,202298,FEM
202510,202635,FEM
202873,204075,CHI
204144,205146,FEM
207510,208992,FEM
207510,208992,NA
213928,214512,NA
213999,214171,FEM
219011,221989,MAL
219011,225493,NA
222011,224385,FEM
224316,225288,CHI
230511,232992,FEM
230511,233790,NA
231704,232988,MAL
234902,237054,FEM
234937,237198,NA
243511,246398,CHI
243511,247011,NA
245511,245854,OCH
246316,246419,OCH
252674,253492,NA
