segment_onset,segment_offset,speaker_type
27493,28011,NA
27511,27712,FEM
31511,33028,NA
31668,33011,FEM
51017,51844,FEM
51027,51820,NA
58237,59170,FEM
58313,59153,NA
82011,82544,NA
82045,82467,FEM
84993,85511,FEM
84993,85511,NA
93656,93992,FEM
93700,93992,NA
98012,102177,NA
98493,102153,FEM
110118,111806,NA
110141,111591,FEM
110982,111512,MAL
129425,131349,NA
129492,131338,FEM
134281,135380,MAL
134318,135307,NA
137199,138252,NA
137492,138010,FEM
137611,138065,MAL
140341,142656,FEM
140360,142667,NA
152984,155807,NA
152992,155511,FEM
153340,155551,MAL
157992,158993,FEM
157992,159011,NA
175085,175492,FEM
175098,175491,NA
181354,185137,FEM
181391,185993,NA
186619,188060,NA
187237,188012,CHI
198011,198332,MAL
198695,198850,MAL
200011,201683,NA
200126,201596,FEM
211992,214500,FEM
211992,214545,NA
215921,217008,NA
216010,216545,FEM
218992,222892,NA
219011,219814,FEM
221231,222510,FEM
221533,221695,MAL
227089,228027,NA
227129,228012,FEM
242492,242998,NA
278249,278492,NA
278284,278390,FEM
281991,284991,NA
282012,283721,FEM
282057,282204,MAL
282334,282903,MAL
283387,283699,CHI
284151,284927,FEM
308296,308482,MAL
309493,309982,NA
309511,309936,FEM
312037,315510,FEM
312113,315510,NA
318808,320894,FEM
318841,320714,NA
354942,355511,NA
355011,355505,CHI
458705,459640,NA
459184,459422,FEM
461492,462992,NA
461511,462491,FEM
462193,462822,CHI
528073,529889,NA
528101,529895,FEM
553075,555961,NA
553159,555884,CHI
567511,567622,OCH
567869,568991,OCH
568056,581011,NA
568974,571492,FEM
571568,573510,OCH
573011,580711,FEM
583203,585328,NA
584081,584349,FEM
585505,589761,NA
585510,589012,OCH
586778,587021,CHI
590309,592808,NA
590993,592704,OCH
591013,592010,CHI
594511,594838,NA
594992,608632,NA
594992,599493,FEM
600051,600409,OCH
600645,602010,CHI
600758,600991,OCH
601992,603992,FEM
605492,606888,OCH
606511,607362,FEM
607559,608092,CHI
612591,613539,OCH
612657,613492,NA
615210,618863,OCH
615359,620346,NA
618254,619992,FEM
621864,623351,NA
621992,623114,FEM
623511,637585,NA
623992,624272,OCH
624491,624597,OCH
624895,627492,OCH
624908,626493,CHI
627924,632992,OCH
627986,629009,CHI
629512,630990,FEM
631493,631960,CHI
632492,637511,FEM
634011,634335,CHI
634731,635011,CHI
639492,641569,NA
639541,640012,CHI
639674,640049,OCH
640239,641454,OCH
676931,677817,NA
676956,677758,FEM
678799,680821,NA
678993,679511,CHI
678993,680993,OCH
684511,686492,NA
684511,686676,OCH
687511,689080,OCH
687663,689011,NA
692402,696494,NA
692511,693112,OCH
692511,693439,CHI
693991,696492,OCH
703711,706011,OCH
704012,712645,NA
705983,708265,FEM
709224,709511,FEM
709282,711530,OCH
709788,709945,FEM
711087,712493,FEM
712005,712418,OCH
713510,721492,NA
714130,716511,FEM
717323,720907,OCH
721889,732004,NA
722365,728184,OCH
722653,723514,CHI
723811,725468,CHI
727385,728153,CHI
728158,728629,FEM
729143,729695,CHI
729216,729493,OCH
729511,731511,FEM
732512,732635,NA
733011,753011,NA
733183,734989,FEM
733384,733492,OCH
736012,738511,FEM
738845,740511,CHI
739263,740510,OCH
740921,743923,FEM
744176,745224,OCH
744444,745301,CHI
745511,749958,FEM
749640,749743,OCH
749864,751962,OCH
752011,752910,FEM
754512,759708,NA
754532,757912,FEM
758012,759563,CHI
760357,761533,OCH
760396,761493,NA
762176,762313,OCH
768511,776017,NA
768840,769221,FEM
769490,775933,FEM
779559,782510,NA
779930,780419,CHI
781672,782106,FEM
785511,810010,NA
786512,787762,CHI
788010,793476,OCH
790992,792928,CHI
793992,794991,OCH
794510,797399,FEM
795690,795825,MAL
797114,797425,CHI
797992,798478,FEM
798992,801000,OCH
800142,800351,CHI
800531,803958,FEM
802074,802185,MAL
803959,804815,OCH
803982,804952,CHI
805432,809789,FEM
810486,821492,NA
811510,814085,FEM
814511,818493,FEM
818967,820800,OCH
823510,827492,NA
823557,824510,FEM
824580,827364,OCH
828011,841992,NA
828993,830011,CHI
830459,834492,OCH
830542,831227,CHI
831381,831492,CHI
834047,834288,FEM
834425,835392,FEM
836342,838991,CHI
837832,839786,OCH
840304,841992,FEM
842992,846225,NA
843068,843913,FEM
843897,844690,OCH
844182,845011,CHI
845011,846064,FEM
848124,866492,NA
848215,848517,OCH
849428,861006,FEM
851426,852356,MAL
861168,866126,OCH
861287,861493,CHI
862512,862780,FEM
862993,864524,FEM
865433,866012,CHI
867326,867437,NA
874572,875429,OCH
877492,889993,NA
877510,884079,FEM
884382,886630,FEM
886061,888543,OCH
888492,889776,FEM
888705,888880,OCH
890099,891037,NA
890198,891992,OCH
891152,892362,NA
892492,899261,NA
892892,894011,CHI
894782,897504,FEM
897684,900511,OCH
899578,900493,NA
902510,910465,NA
902991,903511,CHI
902991,906140,FEM
906844,908936,FEM
910043,910224,FEM
914011,920749,NA
914120,914247,FEM
914492,920717,FEM
921606,960464,NA
922011,924492,OCH
924679,924853,FEM
924855,925295,OCH
926188,927050,MAL
927735,932560,OCH
928544,928993,CHI
929455,929798,CHI
930049,930835,CHI
931046,931275,CHI
932011,936372,CHI
932767,933491,OCH
934492,936444,OCH
936925,937387,OCH
937524,938491,FEM
938561,939368,OCH
938775,941600,CHI
