segment_onset,segment_offset,speaker_type
10,5012,NA
994,2005,CHI
2359,3010,FEM
3782,4992,CHI
6326,8199,NA
6991,8137,CHI
9992,12726,FEM
9992,13490,NA
11375,13510,MAL
15512,17012,NA
15515,17012,CHI
18993,20765,NA
19435,20610,CHI
23291,24172,NA
23328,24128,CHI
33159,34323,NA
33168,34238,CHI
36631,36935,NA
36755,36860,CHI
40676,41992,OCH
40873,41511,NA
43511,43938,NA
44528,45581,NA
45686,50165,NA
45993,46992,FEM
47010,50127,CHI
52107,53609,NA
52154,53585,CHI
56012,56243,NA
56045,56224,CHI
57302,59172,NA
57329,59010,CHI
59596,60797,NA
59628,60792,CHI
63013,63835,CHI
63038,63917,NA
67492,67816,FEM
67500,70144,NA
67993,69917,FEM
68011,70146,MAL
75011,77492,FEM
75011,77492,NA
86992,89010,CHI
86992,89088,NA
91478,93100,NA
91493,92011,CHI
92072,93768,MAL
98481,98992,NA
100320,101938,NA
100492,101658,OCH
100590,101690,CHI
106338,107513,NA
106491,107470,CHI
106513,106619,OCH
107011,107424,OCH
109892,110523,NA
109942,110511,CHI
112418,116159,NA
112492,113923,FEM
114158,115184,CHI
115342,116005,CHI
117369,119919,NA
118010,118511,FEM
118171,118421,MAL
118582,119890,CHI
123935,125493,CHI
123935,125493,NA
126097,127992,NA
126993,127511,CHI
128831,129963,NA
128918,129510,FEM
131993,132511,NA
132008,132511,CHI
134212,136492,NA
134276,136318,CHI
137462,138993,NA
137492,138511,CHI
139511,140010,NA
139544,139979,FEM
158416,159493,CHI
158419,159492,NA
163688,164992,CHI
163725,165380,NA
165512,167547,NA
166148,166511,FEM
166325,167329,CHI
169521,170491,NA
171521,172010,NA
171553,171781,CHI
203261,203492,NA
203293,203492,FEM
205453,206511,NA
205492,206511,FEM
219977,221283,NA
220042,220412,OCH
220080,220492,CHI
220492,220745,FEM
220598,220854,OCH
282434,283931,NA
282476,283021,FEM
283291,283510,FEM
285240,286050,NA
287354,291493,NA
287447,291271,CHI
290991,291269,OCH
292385,292741,OCH
292388,298082,NA
292516,297992,CHI
298510,306271,NA
298721,301510,CHI
301988,303773,CHI
304032,306091,CHI
306511,310377,NA
306685,307757,FEM
307478,310181,CHI
310691,310939,NA
311621,314815,NA
311656,312604,CHI
313011,313163,OCH
313181,313410,CHI
313944,314511,OCH
315510,318394,CHI
315510,318492,NA
319506,323833,NA
319602,319764,OCH
319992,320142,CHI
320897,323433,CHI
323460,323688,FEM
325991,326492,FEM
325991,328112,NA
327011,328012,FEM
330510,332511,MAL
330991,334992,NA
332731,334960,CHI
335271,336552,NA
335399,336511,CHI
341012,342553,FEM
341012,342882,NA
341879,342434,MAL
345948,347993,NA
346013,347859,CHI
348099,348219,NA
348432,350012,NA
348472,349820,CHI
350377,350941,NA
350492,350637,FEM
355148,355992,FEM
355161,356012,NA
356711,358012,NA
362222,365535,CHI
362262,365519,NA
387291,391569,NA
387492,390511,CHI
390992,391527,FEM
394492,396011,FEM
394492,396023,NA
399605,401993,CHI
399666,402111,NA
403080,404012,NA
403280,403391,FEM
403491,403952,OCH
409870,411023,MAL
409936,412243,NA
410071,410282,FEM
410410,412011,FEM
411166,411461,MAL
415511,417320,FEM
415511,417409,NA
425596,426992,NA
425616,426961,CHI
431511,433511,NA
431526,433492,FEM
435491,435808,NA
438181,443691,NA
438294,443510,CHI
452297,453389,NA
452314,453327,CHI
461302,462914,NA
461330,462790,CHI
469403,472149,NA
469427,472129,CHI
474341,475011,NA
477385,478541,NA
477444,478500,CHI
496751,503312,NA
496788,498079,CHI
498472,499238,CHI
498668,498911,OCH
499684,501071,OCH
501201,501343,OCH
501491,503302,CHI
504915,506771,FEM
504939,506903,NA
508839,510015,CHI
508850,510072,NA
512342,514018,NA
512413,514011,FEM
515788,517055,NA
515889,517011,CHI
518896,520492,NA
518916,520366,CHI
521011,521860,NA
521100,521512,OCH
522492,524078,NA
522629,524011,CHI
526510,529650,NA
526596,529586,CHI
530405,532368,NA
530417,532334,CHI
533993,535012,CHI
533993,535080,NA
536642,537493,NA
536649,537493,FEM
545209,547990,NA
545493,546178,CHI
545992,548010,MAL
550493,552948,MAL
550511,552511,NA
556991,558110,FEM
556991,558145,NA
559772,563994,NA
559899,560648,CHI
560512,563728,FEM
566104,568070,NA
566411,568011,FEM
566678,567064,MAL
572012,572992,NA
572027,572511,FEM
572518,572719,MAL
574307,575564,NA
574373,575512,CHI
602989,604057,NA
602993,603992,FEM
619010,620991,FEM
619010,621010,NA
623511,625492,NA
623511,625517,MAL
623719,624165,FEM
624275,624491,FEM
624782,624993,FEM
635511,638012,FEM
635511,638012,NA
639178,639789,NA
639520,639631,CHI
665628,665895,NA
676109,678995,NA
677069,677641,CHI
677511,678993,FEM
684011,687335,NA
684124,687268,FEM
697579,698797,FEM
697604,698800,NA
710520,710709,NA
