segment_onset,segment_offset,speaker_type
483,1011,NA
511,1010,FEM
61442,62301,MAL
61493,62303,NA
63511,64942,NA
63585,64842,FEM
65823,68992,NA
66140,68710,MAL
70991,72652,FEM
70993,72659,NA
74287,76142,NA
74336,75524,FEM
75379,75831,OCH
80011,80124,NA
80485,81762,FEM
80487,81992,NA
87050,89011,NA
87492,87917,CHI
87492,88822,FEM
88401,88862,CHI
92262,95011,NA
92419,94992,CHI
96250,98992,NA
96544,96660,CHI
96979,98535,FEM
98820,98992,FEM
100011,100186,NA
100492,104510,NA
100712,102992,FEM
103358,104511,CHI
108997,116854,NA
109072,110402,MAL
109144,111010,FEM
110487,111663,CHI
111299,112011,FEM
111598,113490,MAL
113010,114738,FEM
115774,116329,MAL
116453,116569,FEM
119197,120012,FEM
119262,120013,NA
122200,124510,NA
122492,124510,FEM
122718,122834,MAL
122995,123322,CHI
126758,128272,NA
126821,128026,FEM
128692,132825,NA
129048,132732,FEM
133388,136102,NA
133475,134140,CHI
134597,135878,MAL
134995,135511,FEM
136406,136511,NA
139492,142354,FEM
139511,151200,NA
143485,145137,FEM
144568,144733,CHI
145687,146011,CHI
145719,151046,FEM
150483,150763,MAL
151430,151992,NA
153993,157208,NA
153993,157235,FEM
160010,162099,NA
160297,161473,MAL
160626,160992,FEM
169012,171547,NA
169342,171953,MAL
169528,170384,FEM
170654,171012,FEM
173686,175230,FEM
173698,175178,NA
177491,178991,FEM
177512,179129,NA
180011,184512,NA
180428,183511,FEM
183976,184297,CHI
185492,187026,NA
187188,187423,NA
190191,191634,NA
190202,191522,FEM
193990,194992,NA
193992,194512,FEM
201661,203902,NA
202510,203637,CHI
204010,206273,NA
204491,206158,FEM
208562,210492,NA
208956,210389,FEM
210899,214743,NA
211116,211649,FEM
211977,212338,FEM
212993,214392,CHI
216888,218511,FEM
216891,218511,NA
222991,226028,FEM
222991,226074,NA
227011,228570,FEM
227011,228660,NA
232492,236010,NA
232511,235354,FEM
233901,234438,CHI
235511,235983,CHI
242148,243479,NA
242187,243329,FEM
247789,250477,NA
247992,248162,FEM
247992,249511,OCH
250022,250579,MAL
253992,256262,NA
254104,256061,FEM
254865,254990,CHI
255511,255874,MAL
258407,259011,NA
258452,259011,FEM
261083,262762,NA
261132,262595,FEM
266510,268353,NA
266929,268011,FEM
267087,267922,MAL
271011,272511,FEM
271011,272542,NA
277936,279737,NA
277992,278355,FEM
278492,279658,FEM
286404,286510,MAL
290107,291011,NA
290437,290888,CHI
292029,294012,CHI
292081,295031,NA
293993,294192,FEM
294373,295011,FEM
295576,296801,NA
295972,296642,CHI
297511,297646,NA
298612,298966,NA
298657,298952,CHI
324562,330426,NA
324697,326859,CHI
324791,324899,OCH
325991,326511,OCH
