segment_onset,segment_offset,speaker_type
6011,8011,MAL
6505,7511,NA
18475,30002,NA
18492,25493,CHI
20010,22216,OCH
22511,22621,OCH
23507,24493,OCH
25269,30011,MAL
35240,36551,MAL
35986,36489,NA
37339,41227,NA
37493,40492,OCH
37554,37993,CHI
38561,41011,CHI
42992,45491,MAL
43264,45011,NA
48492,50991,MAL
49012,55492,NA
51234,55498,CHI
51671,51949,FEM
56012,59512,MAL
56256,63492,NA
59513,63453,CHI
64010,66992,NA
64179,66828,CHI
64493,64768,FEM
96010,96363,OCH
110511,110774,NA
117150,117840,OCH
124011,124144,NA
137273,139992,MAL
137509,139510,NA
142012,145006,MAL
142012,146965,NA
145014,146511,CHI
149955,151011,OCH
149980,152073,NA
150053,152044,CHI
151119,151230,OCH
199532,199755,OCH
209522,209993,NA
209532,209837,CHI
216071,216511,OCH
223747,224812,OCH
224169,224792,NA
227011,230253,MAL
227679,230011,NA
241588,242012,NA
270992,271530,NA
270992,271571,FEM
292678,292992,NA
292790,292942,FEM
309067,309511,NA
309125,309493,CHI
368081,369942,NA
368177,369514,CHI
440414,441643,NA
440463,441427,CHI
462564,463511,NA
463011,463185,CHI
470590,471130,NA
594189,596940,MAL
594503,597060,NA
596012,596861,FEM
598003,600835,MAL
598511,600897,NA
604493,606668,MAL
604992,606165,NA
610011,610278,NA
658511,661062,NA
659004,661010,CHI
670778,670940,OCH
674664,675628,NA
674742,675511,CHI
674752,675393,OCH
687493,688180,CHI
687493,688475,NA
763557,764512,NA
763661,764329,CHI
891486,892556,NA
912188,912316,OCH
952143,952270,OCH
1033511,1034780,NA
1033663,1034522,CHI
1096619,1098205,NA
1096899,1098011,CHI
1134010,1135475,NA
1134289,1135011,CHI
1134822,1135011,FEM
1146806,1146992,NA
1150543,1150683,NA
1150597,1150784,FEM
1164124,1167492,NA
1164726,1164849,FEM
1164851,1167301,CHI
1165104,1165511,FEM
1166162,1166511,OCH
1170492,1173096,NA
1170799,1171219,FEM
1171000,1173012,CHI
1177310,1177423,NA
1184510,1185011,CHI
1184510,1185106,NA
1190059,1190201,NA
1207346,1208018,NA
1207411,1208010,FEM
1209097,1212612,NA
1209274,1209510,CHI
1209320,1211011,OCH
1210511,1212511,CHI
1211817,1212433,FEM
1230479,1231011,CHI
1230479,1231011,NA
1242736,1242992,NA
1260713,1261511,NA
1260767,1261386,CHI
1269682,1272512,NA
1269768,1271037,CHI
1270028,1270897,OCH
1280843,1281012,NA
1287892,1288511,NA
1287993,1288415,CHI
1288025,1288184,OCH
1291992,1292491,CHI
1291992,1292500,NA
1294846,1297511,NA
1294981,1295511,CHI
1295981,1297091,OCH
1296010,1296353,CHI
1296491,1297011,CHI
1298511,1302350,OCH
1299389,1302457,NA
1303511,1309605,NA
1303520,1304030,OCH
1304014,1306925,FEM
1304773,1305492,OCH
1306061,1306552,OCH
1307620,1309491,OCH
1310602,1311950,NA
1312320,1313147,NA
1314163,1319492,NA
1314249,1318512,OCH
1319126,1319462,CHI
1321010,1324280,NA
1321137,1322028,OCH
1322247,1323511,OCH
1332669,1334761,NA
1338660,1339991,NA
1338675,1339574,OCH
1345815,1348491,OCH
1346011,1349249,NA
1350010,1353495,OCH
1350010,1354814,NA
1358011,1358129,OCH
1358492,1359511,OCH
1358888,1359246,NA
1361367,1362901,NA
1361445,1362436,OCH
1362663,1362791,OCH
1375397,1381305,NA
1375456,1381134,CHI
1381487,1384423,NA
1381688,1381992,CHI
1381858,1382329,OCH
1381976,1384011,FEM
1383237,1384219,CHI
1385993,1389743,NA
1386229,1389697,CHI
1386658,1388005,FEM
1393492,1395385,OCH
1393511,1395367,NA
1397164,1397410,NA
1397955,1398510,NA
1408374,1409689,CHI
1408394,1409736,NA
1413658,1416631,NA
1413755,1415873,CHI
1415991,1416517,OCH
1424491,1426492,OCH
1424986,1426012,NA
1426297,1426493,NA
1427161,1428464,NA
1427291,1428007,CHI
1428800,1429453,NA
1430872,1432117,NA
1430914,1432146,CHI
1434807,1435048,OCH
1443481,1444011,NA
1446377,1447413,NA
1446388,1447011,OCH
1448958,1449243,OCH
1455605,1456903,NA
1455992,1456994,OCH
1459011,1461011,NA
1459011,1461492,OCH
1464797,1465126,OCH
1464983,1465984,NA
1481110,1483491,NA
1481190,1483011,CHI
1481492,1481797,OCH
1482165,1483010,OCH
1488308,1489145,OCH
1490798,1494492,NA
1490808,1494424,CHI
1491991,1492492,OCH
1495230,1495493,NA
1504248,1504547,OCH
1505709,1509011,NA
1505825,1508773,CHI
1531482,1533531,NA
1531492,1533993,OCH
1537662,1537993,NA
1537783,1537972,FEM
1538177,1538337,NA
1552201,1556492,NA
1552335,1556404,CHI
1561830,1562993,OCH
1565511,1567011,OCH
1566150,1566864,NA
1567902,1569002,NA
1567964,1568523,FEM
1584753,1585511,OCH
1585118,1585493,NA
1589492,1590992,NA
1589826,1590597,FEM
1595881,1597938,NA
1595992,1597740,CHI
1639329,1640512,NA
1639742,1640199,CHI
1663492,1666511,NA
1663511,1666493,CHI
1697011,1698089,FEM
1697011,1698143,NA
1699478,1701948,NA
1699505,1701511,FEM
1702215,1702573,OCH
1704294,1704414,OCH
1709554,1709773,NA
1735030,1735190,NA
1736930,1738992,OCH
1737011,1739001,NA
1745537,1747511,NA
1746028,1746511,FEM
1746534,1746899,OCH
1747457,1747719,MAL
1756011,1758011,NA
1756492,1757024,OCH
1765596,1767176,NA
1765754,1767177,MAL
1768341,1773078,NA
1768433,1771093,CHI
1771492,1773011,MAL
1777771,1781149,MAL
1777852,1782839,NA
1781156,1782032,CHI
1783865,1797492,NA
1783991,1793011,CHI
1786543,1786661,OCH
1786700,1786889,MAL
1789801,1789958,MAL
1792869,1795046,MAL
1795198,1797258,CHI
1795492,1797004,OCH
1798511,1799213,MAL
1798784,1805230,NA
1799511,1799896,FEM
1801511,1803153,CHI
1803902,1804128,CHI
1803992,1805715,MAL
1809818,1811441,CHI
1809830,1811492,NA
1819106,1821490,MAL
1819991,1821012,NA
1823653,1823756,NA
1823956,1824992,NA
1824010,1824133,OCH
1824491,1824754,OCH
1826164,1827993,OCH
1826508,1827993,NA
1829073,1831736,MAL
1829645,1830933,NA
1833737,1836439,NA
1833784,1836430,CHI
1837250,1839989,MAL
1837991,1839243,NA
1844011,1846493,MAL
1844513,1846197,NA
1848162,1853511,MAL
1848928,1853278,NA
1855872,1856512,NA
1855933,1856510,CHI
1860011,1860208,MAL
1860344,1863511,MAL
1860862,1863010,NA
1871331,1873052,MAL
1871740,1872432,NA
1875992,1881996,MAL
1876718,1881511,NA
1884954,1885491,MAL
1886183,1886775,NA
1886492,1890636,MAL
1887146,1890189,NA
1892012,1898512,MAL
1892584,1892798,NA
1892990,1894519,NA
1897012,1898011,NA
1909035,1909992,NA
1915512,1918490,MAL
1916492,1917511,NA
1922493,1929631,MAL
1923053,1929025,NA
1942939,1943504,FEM
1942964,1943511,NA
1960512,1962490,MAL
1961493,1962008,NA
1967993,1972959,MAL
1968011,1973013,NA
1978493,1978991,MAL
1986010,1990362,MAL
1986530,1987161,NA
1988879,1989571,NA
1994011,1999014,MAL
1995128,1995408,NA
1997487,2000492,NA
1999377,2000012,CHI
2003289,2004511,NA
2003398,2004458,FEM
2006497,2008512,MAL
2006993,2008362,NA
2012675,2012992,NA
2012703,2012926,MAL
2013991,2022992,NA
2014011,2019352,CHI
2016794,2017570,FEM
2018881,2029671,MAL
2023539,2029012,NA
2030010,2031925,NA
2030101,2031637,CHI
2032511,2038107,NA
2032683,2034246,CHI
2034548,2038510,MAL
2047992,2051991,MAL
2048011,2048262,NA
2048470,2053011,NA
2051900,2052992,CHI
2063991,2066423,NA
2064246,2064970,FEM
2064288,2065797,CHI
2065674,2066288,FEM
2067512,2069903,NA
2067616,2069430,CHI
2072694,2073801,NA
2072834,2073511,FEM
2079493,2080011,NA
2079802,2079912,CHI
2081445,2086133,NA
2081498,2083012,FEM
2081516,2083011,MAL
2083511,2086491,MAL
2084805,2084992,FEM
2087011,2094262,NA
2087014,2089130,CHI
2089532,2090011,CHI
2089609,2092010,MAL
2089700,2089990,OCH
2091909,2092964,CHI
2093288,2100991,MAL
2094672,2100366,NA
2102011,2105901,NA
2102029,2104046,CHI
2104252,2105492,CHI
2106967,2110011,NA
2106992,2108560,OCH
2107208,2107380,CHI
2107618,2109930,CHI
2111020,2112383,NA
2111152,2111678,FEM
2113045,2113828,NA
2113182,2113766,CHI
2116493,2119262,OCH
2116493,2125422,NA
2118515,2119242,CHI
2119139,2124993,MAL
2127492,2128521,OCH
2127492,2132490,NA
2128992,2130222,CHI
2129119,2129365,MAL
2130011,2132510,MAL
2132652,2132849,NA
2133349,2133719,OCH
2133429,2133993,NA
2133511,2133656,MAL
2133854,2135879,MAL
2134480,2135511,NA
2136189,2136488,MAL
2139747,2142012,NA
2140012,2141208,FEM
2141530,2142009,CHI
2156993,2160842,NA
2157280,2157493,CHI
2157470,2158731,OCH
2158989,2161011,MAL
2161991,2165889,MAL
2162012,2166992,NA
2162438,2162826,FEM
2165204,2166991,FEM
2168993,2169511,NA
2169023,2169418,CHI
2172511,2180721,NA
2172997,2176176,CHI
2173038,2173716,OCH
2174011,2174737,FEM
2176050,2176749,FEM
2176691,2180655,CHI
2176980,2177139,OCH
2177393,2177511,OCH
2181511,2182117,NA
2182695,2193559,NA
2182737,2186510,CHI
2187208,2193578,CHI
2195512,2198992,NA
2195912,2196438,CHI
2196011,2199011,MAL
2201543,2220340,NA
2202010,2217511,CHI
2217113,2217353,MAL
2217512,2222492,MAL
2221491,2231623,NA
2222557,2231511,CHI
2223992,2224382,OCH
2227930,2228095,FEM
2228713,2228956,OCH
2229213,2229436,OCH
2232141,2241991,NA
2232487,2233378,FEM
2233342,2237993,CHI
2237510,2247166,MAL
2242284,2247149,NA
2242772,2243012,CHI
2251051,2253997,MAL
2251493,2253796,NA
2257011,2265992,MAL
2257507,2257988,NA
2258992,2269939,NA
2265049,2265354,FEM
2265973,2269991,CHI
2273786,2277836,NA
2274035,2274313,OCH
2274105,2274365,CHI
2274492,2275969,OCH
