segment_onset,segment_offset,speaker_type
18282,20521,FEM
18330,21513,NA
20491,21011,OCH
31089,31762,MAL
34511,36431,NA
34992,36342,FEM
37859,40510,NA
38011,40458,FEM
39091,39690,OCH
41011,44420,NA
41511,44493,OCH
47382,47841,OCH
49842,49962,NA
52490,52833,NA
53011,58060,NA
53485,57992,FEM
58617,58931,OCH
59819,60545,MAL
64010,68161,FEM
64370,68511,NA
68263,68493,FEM
69270,69594,NA
74323,75511,OCH
74515,75025,NA
84009,85664,NA
84491,85271,FEM
86891,91565,NA
87011,87289,FEM
87109,87214,OCH
87510,90019,FEM
90178,90347,FEM
90511,92992,OCH
92078,92685,NA
93499,94371,NA
93513,94394,OCH
94957,97390,OCH
95050,97407,NA
97946,104170,NA
99564,100426,MAL
100047,102011,FEM
102214,104193,FEM
105011,105333,NA
106908,107085,NA
110511,110675,NA
110783,110960,NA
111719,112757,NA
111993,112611,FEM
120493,120778,NA
124308,126006,NA
124311,126002,FEM
132303,132941,OCH
133115,133512,NA
136978,143492,NA
136991,143491,FEM
153929,159579,NA
153988,158036,FEM
158250,158380,FEM
158510,159926,MAL
165896,167842,MAL
166268,169366,NA
167992,169249,FEM
169700,172670,NA
169992,172511,FEM
175125,181414,NA
176892,178991,MAL
178511,179572,FEM
179174,179316,MAL
179771,181411,FEM
181578,183136,NA
181757,182511,FEM
183656,189814,NA
184103,184341,OCH
185011,189010,FEM
189010,189774,MAL
189224,189492,FEM
190455,190803,MAL
191248,195511,MAL
191992,192623,NA
193992,194922,NA
195836,201992,NA
195991,201975,FEM
206558,207780,MAL
208035,210224,MAL
208648,210011,NA
218992,219512,OCH
219719,220402,OCH
219971,221996,NA
220894,221068,OCH
221007,221903,FEM
221403,221653,OCH
224746,225067,MAL
225992,227011,NA
226493,226992,FEM
228560,233785,NA
228621,233489,OCH
234510,235988,NA
234773,234874,MAL
235020,236011,MAL
235050,235168,FEM
237011,239264,NA
237511,239259,FEM
240511,242011,MAL
241346,241861,NA
250567,251674,NA
254482,255847,NA
254500,254859,FEM
256573,256727,NA
256964,258095,NA
257617,257787,FEM
262774,263304,OCH
264511,268492,NA
265964,268396,FEM
270257,271950,OCH
270493,271011,NA
278090,280233,MAL
278659,283318,NA
280841,282178,OCH
280896,283029,FEM
287510,291492,MAL
287734,288136,NA
289487,291428,NA
293212,294520,MAL
293704,295010,NA
295610,322521,NA
295998,299511,FEM
299651,301558,FEM
302138,302263,MAL
302992,305915,FEM
306192,312626,FEM
312456,314825,MAL
314142,315927,FEM
315451,321902,MAL
320510,322010,FEM
323011,323350,MAL
323011,332164,NA
324852,326492,FEM
326045,326349,MAL
326992,328011,OCH
327859,329089,MAL
330674,332122,MAL
333511,342514,NA
333637,335991,FEM
336484,337093,MAL
338511,341012,MAL
340492,342060,FEM
343256,343359,MAL
345279,348043,NA
345492,348006,FEM
349010,352439,MAL
349442,352633,NA
352752,356515,NA
353012,353231,OCH
353543,354078,OCH
353857,356294,FEM
357576,358730,MAL
359399,362992,NA
359492,360327,OCH
360470,360991,OCH
360992,362322,FEM
362078,362296,OCH
364004,364510,NA
364014,364124,OCH
364856,364993,NA
365096,365514,OCH
365197,366277,NA
367401,373466,NA
368984,372010,FEM
371739,373489,MAL
372112,372549,FEM
374841,377953,NA
