segment_onset,segment_offset,speaker_type
11141,11249,MAL
11492,14010,MAL
11990,13492,NA
27992,30139,MAL
28492,29683,NA
29114,29281,FEM
29984,31012,NA
30287,30562,MAL
30527,30628,FEM
70492,72490,MAL
70885,71960,NA
73511,75990,MAL
73992,75511,NA
93498,94509,NA
93525,94031,MAL
93557,94478,FEM
94203,94351,MAL
118844,119492,CHI
118879,119461,NA
148362,151761,CHI
148384,156015,NA
151011,152405,FEM
151789,153510,MAL
153510,154757,CHI
155010,156969,MAL
156796,157012,NA
168488,170010,MAL
168765,169904,NA
204604,204911,NA
206499,208259,NA
206511,208011,CHI
227934,230803,NA
228243,229492,OCH
228989,229993,FEM
260992,262197,NA
270403,271991,NA
270493,271254,MAL
270518,271944,FEM
306231,307993,NA
306492,307130,FEM
306492,307521,CHI
333492,335463,CHI
333492,335492,NA
338511,340020,NA
338992,340011,CHI
344260,345512,NA
344345,345511,CHI
352642,353492,NA
352682,353357,FEM
354011,359499,NA
355139,356850,FEM
356829,357681,CHI
358012,359512,MAL
364770,365992,CHI
364789,366492,NA
373017,374563,NA
373024,374058,CHI
388511,391206,NA
388822,391176,CHI
394691,395012,MAL
411706,414119,NA
411725,413492,CHI
418993,420839,NA
418998,420709,CHI
424011,425992,NA
424469,425993,CHI
429511,430567,NA
430032,430511,CHI
439938,441011,NA
439957,440652,CHI
456492,457010,NA
456600,456723,CHI
462491,464511,NA
463617,464314,CHI
475230,477010,NA
475377,476511,CHI
475492,476174,OCH
481012,483012,CHI
481012,483088,NA
496802,499011,NA
496992,497400,MAL
496992,498992,CHI
505511,506993,NA
505955,506228,CHI
506010,506531,FEM
510064,514492,NA
510079,512028,CHI
512992,513993,FEM
513751,513906,MAL
517958,518751,NA
522087,523555,CHI
522111,523625,NA
524011,525542,NA
524067,525511,CHI
526436,526993,NA
526453,526993,CHI
529492,530493,NA
529512,530136,CHI
532367,533125,NA
532415,533011,CHI
546509,547604,NA
546531,547945,MAL
572753,573521,NA
573011,573333,OCH
606602,607010,FEM
606609,607043,NA
607149,608502,NA
607242,607666,FEM
607664,608012,CHI
609437,609945,NA
609512,609706,CHI
615001,616061,NA
615011,616012,CHI
644819,646073,NA
645788,645958,CHI
647583,648511,NA
647833,648317,CHI
648125,648451,OCH
660158,660511,NA
773511,776511,NA
773962,776431,CHI
781490,782575,NA
781491,782341,CHI
782011,782376,FEM
785855,786562,NA
786007,786512,FEM
806802,808371,CHI
806806,808492,NA
808964,816381,NA
808993,814170,CHI
814727,816340,CHI
835799,838492,NA
835817,838011,CHI
838014,838179,FEM
843882,845954,NA
843883,845511,CHI
847645,849015,CHI
847665,849020,NA
855640,857684,NA
855883,857581,CHI
869511,870412,CHI
869511,870491,NA
892785,895142,NA
892843,895167,CHI
914412,916965,CHI
914450,917012,NA
918680,923587,NA
918839,923559,CHI
957493,959429,CHI
957493,959493,NA
962353,964191,NA
962467,964190,CHI
965527,966310,NA
965608,966060,CHI
965756,966011,OCH
979511,981190,NA
979617,981077,CHI
999992,1001008,NA
999992,1001011,CHI
1245902,1246547,NA
1245905,1246548,FEM
1276928,1277967,NA
1276980,1277908,CHI
1278806,1279260,NA
1278863,1278964,CHI
1303493,1306512,NA
1303611,1303991,MAL
1303619,1306434,CHI
1305718,1305885,FEM
1359955,1360993,NA
1359992,1360856,CHI
1368011,1370586,CHI
1368011,1370930,NA
1369492,1369909,FEM
1385731,1386511,CHI
1385748,1416859,NA
1387010,1389651,CHI
1389511,1390010,FEM
1391264,1391917,MAL
1391511,1416761,CHI
1396992,1397166,FEM
1415477,1415766,MAL
1423887,1426493,NA
1423897,1426320,CHI
1428840,1431010,NA
1428857,1430207,CHI
1430261,1430963,FEM
1446992,1447394,NA
1448521,1448646,NA
1452068,1452682,NA
1458358,1460493,NA
1458493,1460329,CHI
1463277,1464683,NA
1463361,1464024,CHI
1488291,1489015,MAL
1488296,1489126,NA
1496848,1498784,MAL
1497012,1499007,NA
1497992,1498824,FEM
1507761,1513468,NA
1507800,1508460,CHI
1508348,1510511,MAL
1510846,1511860,OCH
1511992,1513943,MAL
1516492,1519011,MAL
1516632,1518914,NA
1527063,1528956,NA
1527491,1528930,CHI
1551785,1552166,OCH
1551992,1555492,NA
1552316,1555264,OCH
1556476,1557510,OCH
1556493,1559515,NA
1559049,1559305,FEM
1559692,1562011,NA
1560354,1560492,FEM
1561059,1561169,FEM
1563870,1564992,NA
1563992,1564912,CHI
1570492,1571511,NA
1572988,1576493,NA
1572991,1575492,OCH
1574534,1576385,FEM
1581512,1581733,OCH
1581532,1581731,NA
1581964,1583061,OCH
1581992,1584020,NA
1583189,1583498,OCH
1583695,1585492,OCH
1584129,1584510,NA
1584635,1584993,NA
1586512,1588512,NA
1589993,1593397,NA
1590241,1592511,FEM
1592501,1593357,OCH
1593500,1596305,OCH
1593886,1594018,NA
1594509,1596245,NA
1597610,1598840,NA
1598010,1598511,CHI
1602268,1602992,NA
1604510,1605193,OCH
1605488,1607511,NA
1605525,1607324,OCH
1609511,1611499,NA
1609519,1609716,FEM
1609939,1610994,FEM
1610992,1612011,OCH
1613010,1615516,OCH
1613490,1620993,NA
1616606,1617851,OCH
1618070,1620993,OCH
1638510,1639020,OCH
1638539,1638718,NA
1638822,1639011,NA
1644511,1647493,OCH
1644985,1646058,NA
1646835,1646992,NA
1649163,1649485,NA
1656416,1657186,NA
1656992,1659010,OCH
1666329,1667544,NA
1666373,1667512,CHI
1674176,1676436,NA
1674493,1676071,CHI
1678511,1681203,OCH
1679002,1680992,NA
1685775,1686452,OCH
1686199,1686354,NA
1688877,1689775,OCH
1688914,1689024,NA
1689255,1689360,NA
1692422,1692582,NA
1692753,1693023,NA
1692807,1692940,FEM
1695656,1695914,FEM
1695681,1695941,NA
1698681,1701025,OCH
1698992,1699279,NA
1699390,1701187,NA
1702002,1704054,NA
1702472,1704011,FEM
1704326,1705011,NA
1714011,1715803,NA
1714137,1714427,FEM
1717475,1718012,NA
1722075,1722367,OCH
1723715,1729010,NA
1724168,1725326,FEM
1724492,1728724,OCH
1726714,1728707,CHI
1728889,1728992,OCH
1733511,1735333,OCH
1733743,1734997,NA
1735190,1735492,NA
1744205,1744529,OCH
1745685,1751510,OCH
1745854,1751163,NA
1746893,1747516,CHI
1753041,1753993,MAL
1753491,1753948,NA
1755265,1767012,NA
1755493,1756492,FEM
1756991,1763034,OCH
1763007,1764492,FEM
1764501,1767290,OCH
1767239,1767492,NA
1769438,1769781,OCH
1769492,1774359,NA
1770037,1770491,OCH
1771492,1773330,FEM
1773618,1773785,OCH
1773875,1773993,FEM
1775999,1777764,NA
1776465,1777545,FEM
1779140,1780542,NA
1779233,1779493,CHI
1779865,1780010,CHI
1784511,1784771,OCH
1784904,1786991,NA
1784992,1787010,OCH
1787594,1789285,NA
1787992,1789160,OCH
1788040,1788944,CHI
1791992,1792954,NA
1792176,1792512,CHI
1807431,1807900,OCH
1811746,1815005,OCH
1812093,1812216,NA
1812439,1814999,NA
1813011,1814511,CHI
1819733,1820094,OCH
1825480,1827011,NA
1825492,1826214,FEM
1825983,1826648,OCH
1829545,1832017,NA
1829609,1832002,OCH
1832959,1837011,NA
1833011,1833127,OCH
1833511,1833757,OCH
1833975,1836953,OCH
1846176,1847001,NA
1846361,1847011,OCH
1849061,1850492,OCH
1849487,1850805,NA
1850691,1850818,OCH
1853695,1854993,OCH
1856512,1858512,NA
1856512,1858670,OCH
1861512,1865690,NA
1861739,1863862,CHI
1864406,1865348,CHI
1866853,1871512,NA
1867482,1867760,OCH
1868349,1871010,OCH
1869991,1870992,CHI
1877239,1878500,NA
1877275,1878043,CHI
1881492,1882493,NA
1881492,1882511,FEM
1883734,1883862,OCH
1883993,1884712,OCH
1885928,1890886,NA
1885992,1888462,FEM
1888010,1891491,OCH
1891223,1891407,NA
1892256,1893992,NA
1892501,1892633,OCH
1892784,1893511,OCH
1895493,1898011,NA
1895511,1897492,FEM
1901510,1904598,NA
1901713,1904492,CHI
1905161,1908038,NA
1905410,1907921,CHI
1911273,1912012,OCH
1915010,1916510,NA
1915491,1916363,CHI
1918610,1918797,OCH
1922977,1923618,NA
1923013,1933794,OCH
1923959,1933191,NA
1925492,1926859,CHI
1928492,1929116,CHI
1929482,1930360,CHI
1934511,1937771,OCH
1934569,1937519,NA
1938576,1939320,NA
1938662,1939339,OCH
1941987,1943244,NA
1942962,1943124,OCH
1946012,1947851,OCH
1946187,1946309,NA
1946477,1949528,NA
1947969,1949511,OCH
1951012,1953785,NA
1951012,1953987,OCH
1956747,1957992,NA
1958268,1972511,NA
1958329,1961512,CHI
1959010,1959434,FEM
1962304,1962992,CHI
1962682,1963011,OCH
1963011,1963134,FEM
1963124,1963225,OCH
1964491,1970608,OCH
1970774,1970923,OCH
1971710,1972010,CHI
1971856,1972133,OCH
1974011,1980533,NA
1974512,1975921,CHI
1976493,1976849,CHI
1976493,1978493,OCH
1978322,1980354,CHI
1987511,1993530,NA
1988013,1989981,FEM
1988483,1989011,OCH
1989269,1990039,OCH
1993349,1993511,OCH
2004220,2004892,OCH
2006132,2007847,NA
2006613,2007615,OCH
2009510,2009648,NA
2009932,2014519,NA
2010084,2010511,OCH
2011063,2012000,OCH
2012339,2014453,OCH
2012475,2013130,CHI
2018491,2020511,NA
2018512,2021339,OCH
2025511,2025963,NA
2028491,2028604,NA
2028750,2029975,NA
2029055,2029511,FEM
2030699,2031902,NA
2032052,2032155,NA
2036774,2037781,NA
2038011,2038575,OCH
2038721,2038836,OCH
2039367,2040385,NA
2039845,2040154,OCH
2055524,2066992,NA
2055821,2062493,FEM
2063382,2066511,FEM
2068465,2071406,NA
2068991,2069757,CHI
2069132,2069242,OCH
2069423,2070721,OCH
2072579,2073279,OCH
2073011,2073242,NA
2073492,2073764,NA
2073889,2075492,NA
2074349,2075768,OCH
2077491,2078294,NA
2078458,2078682,NA
2078806,2079172,NA
2079979,2080094,NA
2080019,2080760,OCH
2080215,2080316,NA
2081000,2083673,OCH
2081246,2081457,NA
2082512,2083011,NA
2086493,2086918,OCH
2094491,2098441,NA
2094844,2098011,OCH
2095887,2097758,CHI
2109993,2110992,NA
2110492,2110634,FEM
2113352,2114672,NA
2113493,2114512,FEM
2116496,2117709,NA
2118329,2120916,NA
2121469,2122011,NA
2121512,2121868,OCH
2122079,2122206,OCH
2124230,2124812,MAL
2125992,2126287,MAL
2128493,2131512,NA
2128992,2130511,OCH
2130222,2131390,FEM
2138010,2139082,NA
2138493,2138677,OCH
2140273,2141873,NA
2145992,2149375,OCH
2146213,2149011,NA
2163993,2164239,NA
2164428,2164578,NA
2165179,2165381,NA
2168011,2168257,NA
2168394,2169511,NA
2185625,2187010,OCH
2185637,2187512,NA
2186492,2187005,CHI
2188510,2192493,NA
2188991,2191492,FEM
2190993,2192613,OCH
2195011,2197512,FEM
2195011,2197571,NA
2200579,2200768,OCH
2202410,2204049,NA
2202512,2203911,CHI
2204186,2206029,NA
2204992,2205780,OCH
2206178,2215510,NA
2206889,2208199,OCH
2208453,2210011,OCH
2208546,2208781,CHI
2208917,2214992,CHI
2212090,2213600,OCH
2213728,2215583,OCH
2220657,2221588,NA
2220944,2221509,CHI
2229510,2234129,NA
2229726,2229939,OCH
2230107,2231472,FEM
2231425,2233290,CHI
2234512,2238672,OCH
2234512,2239011,NA
2241174,2242991,FEM
2241223,2244512,NA
2242991,2244525,OCH
2246513,2247753,OCH
2246930,2249043,NA
2248302,2248467,OCH
2253665,2256112,NA
2253992,2256010,CHI
2254012,2254491,FEM
2262453,2263450,OCH
2262484,2263399,NA
2273009,2274450,NA
2278685,2281819,OCH
2278760,2279617,NA
2279991,2280492,NA
2283512,2285512,OCH
2283920,2286014,NA
2287054,2288993,NA
2287281,2288990,MAL
2291630,2291792,MAL
2294686,2295150,OCH
2294691,2303815,NA
2295361,2297524,OCH
2296959,2297146,FEM
2298993,2300011,FEM
2299251,2303217,CHI
2304276,2304511,NA
2307992,2309040,OCH
2313492,2315369,NA
2313510,2314912,FEM
2315768,2316510,NA
2316811,2316971,NA
2317769,2317945,NA
2328011,2329185,OCH
2328252,2329011,NA
2331011,2331136,OCH
2331479,2332888,OCH
2333011,2343047,OCH
2333495,2338492,NA
2335520,2335993,CHI
2338804,2339121,NA
2339616,2339810,NA
2340011,2342620,NA
2344493,2349993,OCH
2344992,2352304,NA
2352799,2352909,NA
2354511,2379491,NA
2354511,2363985,OCH
2359511,2360510,CHI
2361182,2361518,CHI
2365271,2365511,FEM
2365786,2365992,FEM
2366099,2369327,OCH
2367492,2368432,FEM
2369513,2373840,CHI
2374481,2374754,FEM
2375492,2378511,OCH
2377115,2377991,CHI
2383511,2393511,NA
2384492,2386011,FEM
2385627,2387142,OCH
2388493,2393043,CHI
2397992,2398417,NA
2403908,2405336,NA
2403937,2405012,CHI
2404492,2404679,OCH
2406544,2406814,OCH
2406993,2408218,OCH
2407492,2407597,NA
2409632,2410238,OCH
2410012,2410255,NA
2410493,2410626,NA
2410727,2411512,OCH
2410992,2411098,NA
2411267,2411491,NA
2411716,2412386,OCH
2411750,2412992,NA
2414684,2415011,OCH
2423989,2425493,NA
2424433,2425511,OCH
2425812,2425925,OCH
2426136,2426293,OCH
2435992,2437992,OCH
2436492,2438492,NA
2445245,2447511,NA
2445248,2446492,CHI
2459992,2460169,NA
2461244,2461936,NA
