segment_onset,segment_offset,speaker_type
24764,28991,FEM
24788,28992,NA
30488,31268,NA
30491,30992,FEM
31469,38492,NA
32486,33254,FEM
33158,34083,OCH
33510,38257,FEM
37511,38011,CHI
39493,40355,NA
39501,40284,FEM
44140,46109,NA
44324,44542,CHI
44511,46011,OCH
44690,44872,CHI
45264,45816,CHI
47010,48510,NA
47150,48804,MAL
54010,57491,NA
54459,54685,OCH
54879,56966,CHI
55276,57080,FEM
58511,62011,NA
59010,59739,OCH
59609,60011,CHI
59883,59993,OCH
61158,61507,FEM
63992,65315,NA
64010,64417,OCH
72510,72944,NA
73253,74142,NA
73396,73801,FEM
74991,76171,NA
75124,75991,FEM
76754,80002,NA
78546,78836,MAL
79154,79785,CHI
83548,88324,NA
84097,84993,FEM
84183,84811,MAL
86164,86993,FEM
86304,88012,CHI
89468,90513,NA
89492,90513,FEM
92492,93221,NA
92499,92793,MAL
94495,96748,FEM
94503,100939,NA
97563,100741,CHI
112511,116512,NA
112620,115413,CHI
115012,116512,FEM
119043,120702,MAL
119495,125506,NA
120688,120889,FEM
121012,121160,FEM
121168,121333,OCH
121171,125089,CHI
121485,122511,OCH
123010,123391,FEM
124492,125101,FEM
128798,131093,NA
129511,130652,CHI
130356,130511,FEM
131708,132180,MAL
131809,132227,NA
132882,141978,NA
133213,135456,CHI
135010,135292,OCH
135511,135624,OCH
135824,136992,OCH
136991,137411,MAL
137678,137881,MAL
138399,138553,OCH
139469,140011,OCH
139492,141095,CHI
144890,155491,NA
145356,145498,MAL
145371,147607,FEM
148939,151492,FEM
151443,152653,OCH
152501,152606,CHI
154082,154377,OCH
154531,154641,MAL
155677,156522,NA
159492,160847,NA
159557,160691,CHI
162992,163569,NA
163053,163510,FEM
164511,165328,NA
164958,165098,FEM
169493,171845,CHI
169493,172011,NA
174827,176847,NA
174992,176511,CHI
175510,176453,FEM
178126,178619,NA
180007,180162,NA
181992,184311,NA
182307,182852,CHI
182512,184078,FEM
182993,183342,CHI
192011,193024,NA
192048,193042,FEM
195532,197992,NA
195622,196904,CHI
202011,205761,NA
202012,205698,CHI
212212,212511,NA
223992,224491,NA
224012,224296,OCH
225011,225757,NA
225097,225521,OCH
225992,243841,NA
226511,227518,FEM
226922,231512,CHI
230548,231512,OCH
232011,232389,FEM
232492,236491,FEM
235992,237583,CHI
237870,242809,FEM
244571,244885,MAL
248010,249492,CHI
248010,249573,NA
250224,250492,NA
253066,261595,NA
253356,254011,FEM
254227,257339,CHI
256492,259389,FEM
257499,257673,CHI
258567,259860,CHI
260359,260896,FEM
260493,260669,MAL
263993,275011,NA
264011,272347,FEM
271186,273368,MAL
273704,274767,MAL
277082,301686,NA
277730,279470,CHI
278107,278316,FEM
278443,282493,FEM
282511,284109,OCH
284332,285603,FEM
285137,286691,CHI
285717,285958,FEM
287457,289536,CHI
289492,290511,FEM
291394,292128,CHI
292012,293993,FEM
293510,298208,CHI
298510,301586,FEM
322866,324933,NA
323011,324609,FEM
324010,324599,CHI
327248,331043,NA
327491,327602,CHI
327491,327754,MAL
327620,327919,FEM
327778,328148,CHI
327967,328124,MAL
329373,331012,FEM
334493,337905,NA
334846,337190,CHI
334888,335020,FEM
338011,344511,NA
338391,343857,FEM
340279,340510,CHI
341947,342072,CHI
343543,343859,CHI
350102,350618,FEM
350109,350662,NA
352991,354306,OCH
352993,375049,NA
354844,355256,OCH
355492,355666,OCH
355786,356311,OCH
356771,359172,FEM
359544,363741,FEM
360931,361360,CHI
362937,363479,MAL
363663,363962,MAL
364618,365327,MAL
364623,365622,FEM
366250,372286,FEM
366954,367718,MAL
372472,375072,CHI
375371,376459,CHI
375486,381569,NA
376070,380512,FEM
378557,381562,MAL
385562,385771,NA
385622,385784,FEM
387511,388976,NA
387512,388835,MAL
390285,390391,OCH
393991,399494,NA
394055,394511,CHI
394511,399071,FEM
399804,401007,NA
400012,400962,CHI
403726,405012,NA
403993,404420,OCH
403993,404768,CHI
411011,414057,NA
411011,414059,FEM
411492,411991,CHI
432493,433511,NA
432901,433127,OCH
432992,433166,CHI
445492,447306,CHI
445492,447345,NA
450377,452356,NA
450583,451012,CHI
450839,451011,OCH
451432,452364,FEM
452476,453475,FEM
452480,457632,NA
453634,453992,FEM
454683,455510,OCH
454694,455529,FEM
456010,457512,FEM
462011,462386,NA
462011,462387,MAL
490330,491213,FEM
490335,491992,NA
491329,491737,OCH
491861,492011,OCH
495001,502644,NA
495011,496493,CHI
496010,497989,FEM
498162,499375,CHI
498739,498933,MAL
500492,502011,FEM
502011,502811,OCH
511846,512516,NA
511993,512411,FEM
514605,516537,NA
514666,515419,CHI
515012,516536,FEM
517987,520687,MAL
518381,520146,NA
520265,520368,NA
524510,526510,FEM
524510,526903,NA
526117,526244,MAL
528027,528849,MAL
528188,529006,NA
541991,543191,CHI
541991,543214,NA
587434,587996,NA
587490,587993,FEM
594039,594619,NA
594147,594474,CHI
595011,601364,NA
595088,601011,FEM
602294,603511,NA
602335,603511,FEM
605801,614181,NA
605991,614245,FEM
610197,610491,MAL
630121,630367,NA
630869,632011,NA
630923,632011,FEM
633761,638992,NA
633806,634203,CHI
634542,635011,CHI
634993,636610,FEM
637008,638927,FEM
639492,662651,NA
639510,642765,FEM
642857,643535,CHI
643493,651377,FEM
645312,645877,CHI
647310,647715,CHI
651011,652116,CHI
652011,659237,FEM
659159,660064,CHI
659991,662588,FEM
663451,667992,NA
663513,666993,FEM
664688,665221,CHI
667310,667492,CHI
668490,671538,NA
668512,669182,FEM
669301,671510,CHI
669511,669685,FEM
672994,675011,NA
673010,674335,CHI
674492,674796,CHI
682493,683512,NA
682508,683311,CHI
682936,683211,OCH
683802,683993,NA
686480,692992,NA
687207,692992,FEM
697511,703746,NA
697759,697887,FEM
697992,703510,FEM
704472,707650,NA
704511,707511,CHI
710606,711770,NA
711026,711161,CHI
713696,714374,NA
713882,714012,CHI
715746,716357,NA
715794,716184,CHI
721204,726916,NA
721270,722434,CHI
723492,724850,CHI
724493,726511,FEM
727912,728808,CHI
727915,728846,NA
731060,733510,NA
731646,734010,MAL
736761,738536,NA
737011,737283,CHI
737775,738011,CHI
738848,744030,NA
739213,739638,CHI
739812,744011,FEM
755264,756136,NA
755308,756180,FEM
763454,766993,FEM
763493,768512,NA
765992,768444,MAL
