segment_onset,segment_offset,speaker_type
10,7710,NA
10,8512,MAL
21511,24511,NA
21565,22493,CHI
22511,24992,MAL
101358,101491,NA
127138,127631,NA
130270,131993,NA
130493,131109,OCH
130881,131492,FEM
132104,132528,NA
134080,136022,NA
135039,135353,OCH
135425,135788,MAL
138466,142011,NA
139668,141654,OCH
140273,140491,CHI
144450,146011,NA
144978,145668,FEM
151867,153663,NA
151931,153510,FEM
157921,160643,NA
157992,159830,OCH
158110,160182,CHI
175247,177469,FEM
175291,177492,NA
199274,199493,NA
199385,199677,MAL
202272,203818,NA
202291,203695,FEM
204788,206359,NA
204884,206139,FEM
207838,223633,NA
208447,210016,FEM
210119,210774,OCH
210315,217072,FEM
210878,210991,OCH
212505,214010,OCH
217229,220680,FEM
220992,221402,OCH
221792,222911,MAL
222991,223448,OCH
223012,223446,CHI
224027,230011,NA
224281,228714,FEM
228710,229630,OCH
232382,240759,NA
232492,234512,FEM
233577,236491,OCH
235043,235185,FEM
236010,240681,FEM
236842,236974,OCH
249461,251373,NA
249904,250991,FEM
251637,251941,NA
255493,260669,NA
256357,257116,OCH
257119,257806,MAL
257936,260218,FEM
261011,263301,NA
261088,262924,FEM
263628,267221,NA
263724,267037,FEM
272295,276510,NA
272992,276492,FEM
283615,283733,OCH
283915,286468,NA
284234,285010,FEM
285010,286156,CHI
290037,291650,NA
290537,291364,OCH
299892,300992,NA
299992,300866,OCH
304793,305375,NA
305480,308011,NA
305512,308011,FEM
313316,317106,NA
313492,315510,OCH
313823,314908,FEM
315473,317010,CHI
320993,324569,NA
321482,322214,CHI
322773,324511,FEM
328739,331012,NA
328992,331012,FEM
333950,335229,NA
333992,335011,FEM
336550,338671,NA
336587,338649,FEM
341005,342510,NA
341332,342260,MAL
341349,342201,FEM
346491,347665,NA
346511,347604,FEM
351886,352439,MAL
354826,357011,NA
354993,356453,CHI
355874,356994,FEM
367728,372510,NA
367932,368592,FEM
369260,369611,CHI
369993,372492,OCH
399992,401080,NA
400012,401063,FEM
419992,421364,NA
420010,421242,FEM
424470,425491,NA
424492,425246,FEM
426246,429607,NA
426511,429376,FEM
426992,429086,MAL
431511,433511,NA
432488,433202,FEM
432493,433011,MAL
433848,434992,NA
434418,434626,OCH
435726,435890,NA
435993,436297,NA
436492,436644,NA
436816,438483,NA
436992,438163,FEM
447010,448991,FEM
447010,448991,NA
459010,472510,NA
459285,461492,FEM
461854,472492,FEM
469280,470125,MAL
475492,477433,NA
475511,477209,FEM
478286,480608,OCH
478511,482419,NA
481511,481956,FEM
483852,484512,NA
486488,487057,NA
486493,486955,CHI
487477,492467,NA
487492,492185,CHI
497379,498510,OCH
497492,498479,NA
499546,504146,NA
501512,504021,FEM
505992,506274,NA
509880,511082,NA
509937,511010,FEM
526478,554553,NA
527011,528992,FEM
529394,531085,CHI
531444,532011,OCH
531735,531964,CHI
532511,532786,CHI
532821,533253,OCH
534435,536693,FEM
535607,535727,MAL
536012,538081,MAL
538334,538489,MAL
539492,539946,OCH
539590,539992,CHI
540493,542992,FEM
541492,543294,MAL
543279,543900,CHI
544752,547492,CHI
547644,552011,CHI
552012,553838,MAL
554847,556367,NA
555213,556077,FEM
556856,557462,NA
558800,566625,NA
559011,565201,CHI
564597,566526,FEM
569012,569240,NA
569492,572681,NA
569872,571171,MAL
569982,572512,FEM
571372,571704,MAL
574126,579671,NA
574273,579632,CHI
584992,589012,CHI
584999,592011,NA
589511,591663,FEM
591265,591604,MAL
602011,604152,NA
602238,604010,FEM
602476,603510,MAL
611251,615510,NA
611273,612991,OCH
613197,614949,MAL
614883,615458,CHI
619464,619886,NA
619621,619759,CHI
620465,622991,NA
621191,622684,CHI
626042,626150,NA
632510,633501,NA
632531,632786,MAL
632941,633056,MAL
633012,633368,FEM
634679,636166,NA
634692,636042,CHI
637511,639492,FEM
637511,641011,NA
660536,660868,NA
666011,668492,FEM
666011,670453,NA
669492,670012,CHI
669524,669787,OCH
676345,677012,OCH
676480,676762,NA
678011,679351,NA
678314,679288,FEM
679669,681699,NA
679676,681662,FEM
689005,694992,NA
689344,692012,CHI
689715,690012,FEM
690216,690412,FEM
690562,690678,MAL
691991,694485,FEM
693492,694143,MAL
694248,694511,MAL
701492,704663,NA
701765,704411,FEM
711671,716511,NA
712992,714121,FEM
715061,716026,CHI
719253,721197,NA
719511,719994,CHI
719970,721011,FEM
728011,730765,CHI
728011,737491,NA
730510,734492,FEM
734709,735809,CHI
735963,737477,FEM
739987,745453,NA
740016,743332,CHI
742632,744512,OCH
743850,743990,FEM
744162,745259,FEM
749721,752089,NA
749837,752010,FEM
752963,755461,NA
753013,755392,CHI
765511,767450,NA
765735,767401,FEM
768626,770511,NA
768685,770119,FEM
773952,780626,NA
773992,778393,CHI
777511,778313,OCH
778820,780511,OCH
783493,784251,NA
783547,783947,CHI
784640,785112,NA
785965,786753,NA
786954,804394,NA
787011,789991,CHI
789011,791610,OCH
791115,792268,FEM
792011,792224,CHI
792492,792843,CHI
793992,794530,FEM
794281,795010,CHI
795992,797673,CHI
797251,801127,FEM
801455,803011,FEM
802545,804244,CHI
803388,803491,FEM
808895,811571,NA
809992,811342,CHI
810891,811011,FEM
813512,815011,NA
813583,814847,CHI
822761,824016,NA
822779,824011,CHI
827511,828510,FEM
827511,828510,NA
831850,837962,NA
831870,833993,CHI
833483,835496,FEM
834227,837619,CHI
836441,837010,FEM
837010,837511,OCH
839067,839565,MAL
842010,843048,NA
842012,843013,FEM
845259,850011,NA
845443,847854,CHI
847999,848510,FEM
848455,849766,CHI
853492,854800,NA
853678,853894,FEM
853801,854461,CHI
855173,858825,NA
855330,855492,CHI
855768,856511,CHI
856492,858510,FEM
865112,866607,NA
865195,866501,CHI
871992,878492,NA
872004,874010,CHI
874484,877435,CHI
876918,878462,FEM
887510,896649,NA
