recording_filename,segment_onset,segment_offset,child_id,duration_its,voc_dur_chi,voc_chi,avg_voc_dur_chi,wc_fem,wc_mal,wc_adu,5s_CTC,CVC
20190828_145547_024884_2.wav,28611000,28731000,5061,120000,10070.0,12,839.1666666666666,144.6,11.760000000000002,156.36,6,12.0
20211022_110857_045737_2.wav,49860000,49980000,6161,120000,0.0,0,,0.0,0.0,0.0,0,0.0
20180808_110630_024879.wav,2202000,2322000,3501,120000,3330.0,4,832.5,26.439999999999998,0.0,26.439999999999998,0,0.0
20221129_154915_045733_1.wav,2072000,2192000,6641,120000,6650.0,7,950.0,117.22,3.78,121.0,6,6.0
20230110_120835_024882_2.wav,36581000,36701000,7231,120000,0.0,0,,0.0,0.0,0.0,0,0.0
20210318_114509_043298.wav,18264000,18384000,5961,120000,1200.0,2,600.0,33.45,6.21,39.66,0,1.0
20211103_114626_022870_1.wav,7296000,7416000,6382,120000,29160.0,22,1325.4545454545455,16.669999999999998,27.27,43.94,4,8.0
20220720_091357_024879_1.wav,2202000,2322000,7051,120000,34750.0,20,1737.5,7.68,53.19,60.87,5,32.0
20220728_144904_024880_2.wav,39778000,39898000,7101,120000,600.0,1,600.0,109.29999999999998,9.4,118.7,1,1.0
20230328_132555_045737_1.wav,41905000,42025000,6451,120000,0.0,0,,0.0,0.0,0.0,0,0.0
20201210_142957_025480_2.wav,15408000,15528000,5901,120000,0.0,0,,0.0,0.0,0.0,0,0.0
20220513_113018_024879_2.wav,25590000,25710000,6371,120000,10880.0,13,836.9230769230769,1.89,0.0,1.89,0,1.0
20180906_131431_024882.wav,16289000,16409000,3591,120000,8780.0,8,1097.5,17.439999999999998,0.0,17.439999999999998,3,10.0
20211103_114626_022870_1.wav,6837000,6957000,6382,120000,11480.0,14,820.0,19.48,45.14,64.62,2,7.0
20190307_114201_025481.wav,18264000,18384000,3891,120000,8990.0,9,998.8888888888889,70.75,30.96,101.71000000000001,3,3.0
20230131_124242_043302_2.wav,1639000,1759000,7251,120000,7070.0,10,707.0,2.87,0.0,2.87,0,6.0
20230405_090552_045738_2.wav,41905000,42025000,7281,120000,14840.0,9,1648.888888888889,15.889999999999999,5.13,21.02,1,3.0
20180906_133202_022870.wav,7296000,7416000,3461,120000,6660.0,6,1110.0,33.39,8.48,41.87,2,5.0
20210127_103244_024879_1.wav,36581000,36701000,5461,120000,6630.0,8,828.75,5.02,18.69,23.71,1,1.0
20201210_142957_025480_2.wav,6837000,6957000,5901,120000,0.0,0,,0.0,0.0,0.0,0,0.0
20210127_103244_024879_1.wav,18264000,18384000,5461,120000,1660.0,2,830.0,72.88000000000001,0.0,72.88,0,1.0
20230425_114841_045738_2.wav,6620000,6740000,6212,120000,12160.0,12,1013.3333333333334,29.869999999999997,57.980000000000004,87.85,7,13.0
20230425_114841_045738_2.wav,2072000,2192000,6212,120000,1310.0,2,655.0,8.29,0.0,8.290000000000001,1,2.0
20181218_132113_024879.wav,16289000,16409000,3131,120000,0.0,0,,0.0,0.0,0.0,0,0.0
20210414_211244_024882_1.wav,5817000,5937000,5371,120000,6020.0,7,860.0,23.18,0.0,23.180000000000003,2,6.0
20230228_124411_043305_2.wav,49860000,49980000,7141,120000,0.0,0,,0.0,0.0,0.0,0,0.0
20211022_110857_045737_2.wav,49225000,49345000,6161,120000,0.0,0,,0.0,0.0,0.0,0,0.0
20220805_082527_043300_2.wav,28611000,28731000,6981,120000,660.0,1,660.0,24.33,0.0,24.330000000000002,0,1.0
20220728_144904_024880_2.wav,9384000,9504000,7101,120000,0.0,0,,0.0,0.0,0.0,0,0.0
20230110_120835_024882_2.wav,7296000,7416000,7231,120000,2570.0,4,642.5,9.52,94.65,104.17,1,1.0
20180808_110630_024879.wav,36581000,36701000,3501,120000,0.0,0,,0.0,4.58,4.58,0,0.0
20230301_083834_024880_2.wav,16567000,16687000,6921,120000,0.0,0,,0.0,0.0,0.0,0,0.0
20200312_145204_022874.wav,8801000,8921000,3931,120000,7720.0,9,857.7777777777778,0.0,0.0,0.0,0,5.0
20190819_210318_025481_2.wav,7296000,7416000,3362,120000,27970.0,19,1472.1052631578948,232.51,0.0,232.51,11,18.0
20180906_133202_022870.wav,2072000,2192000,3461,120000,15660.0,16,978.75,6.43,0.0,6.43,1,13.0
20180906_133202_022870.wav,39778000,39898000,3461,120000,0.0,0,,0.0,0.0,0.0,0,0.0
20230425_114841_045738_2.wav,41905000,42025000,6212,120000,790.0,1,790.0,6.63,24.509999999999998,31.139999999999997,0,0.0
