recording_filename,segment_onset,segment_offset,child_id,duration_eaf/an1,voc_dur_chi,non_can_voc_dur_CHI,cry_voc_dur_CHI,cp_dur,can_voc_CHI,non_can_voc_CHI,5s_CTC,can_voc_dur_CHI,wc_adu,wc_fem,avg_voc_dur_chi,voc_chi,voc_dur_och,voc_dur_fem,voc_dur_mal,wc_mal,overlap_dur
20190828_145547_024884_2.wav,28611000,28731000,5061,120000,11317.0,7289.0,0.0,0.3559247150304851,4,11,29,4028.0,132,132,754.4666666666667,15,0.0,35828.0,0.0,0,1066
20211022_110857_045737_2.wav,49860000,49980000,6161,120000,0.0,0.0,0.0,,0,0,0,0.0,0,0,,0,0.0,0.0,0.0,0,0
20180808_110630_024879.wav,2202000,2322000,3501,120000,7945.0,7945.0,0.0,0.0,0,10,5,0.0,34,34,794.5,10,0.0,9164.0,0.0,0,456
20221129_154915_045733_1.wav,2072000,2192000,6641,120000,5540.0,3412.0,0.0,0.384115523465704,6,7,24,2128.0,128,128,426.15384615384613,13,0.0,39229.0,0.0,0,0
20230110_120835_024882_2.wav,36581000,36701000,7231,120000,0.0,0.0,0.0,,0,0,0,0.0,0,0,,0,0.0,0.0,0.0,0,0
20210318_114509_043298.wav,18264000,18384000,5961,120000,1531.0,1531.0,0.0,0.0,0,3,4,0.0,58,58,510.3333333333333,3,0.0,16454.0,0.0,0,277
20211103_114626_022870_1.wav,7296000,7416000,6382,120000,40188.0,24278.0,0.0,0.3958893201950831,17,12,32,15910.0,159,81,1385.7931034482758,29,0.0,19419.0,15531.0,78,5659
20220720_091357_024879_1.wav,2202000,2322000,7051,120000,37581.0,10284.0,0.0,0.7263510816636066,19,9,16,27297.0,89,0,1342.1785714285713,28,0.0,0.0,27836.0,89,1599
20220728_144904_024880_2.wav,39778000,39898000,7101,120000,881.0,469.0,0.0,0.4676503972758229,1,2,4,412.0,239,107,293.6666666666667,3,18118.0,24320.0,24112.0,93,680
20230328_132555_045737_1.wav,41905000,42025000,6451,120000,0.0,0.0,0.0,,0,0,0,0.0,0,0,,0,0.0,0.0,0.0,0,0
20201210_142957_025480_2.wav,15408000,15528000,5901,120000,660.0,660.0,0.0,0.0,0,1,0,0.0,5,0,660.0,1,2403.0,0.0,0.0,0,0
20220513_113018_024879_2.wav,25590000,25710000,6371,120000,15586.0,15586.0,0.0,0.0,0,13,0,0.0,0,0,1198.923076923077,13,0.0,0.0,0.0,0,0
20180906_131431_024882.wav,16289000,16409000,3591,120000,9209.0,6430.0,0.0,0.30177000760125966,3,10,2,2779.0,5,5,708.3846153846154,13,0.0,1889.0,0.0,0,0
20211103_114626_022870_1.wav,6837000,6957000,6382,120000,7717.0,4586.0,0.0,0.4057276143579111,3,7,12,3131.0,114,41,771.7,10,0.0,8956.0,18446.0,73,0
20190307_114201_025481.wav,18264000,18384000,3891,120000,11016.0,10071.0,0.0,0.0857843137254902,3,10,20,945.0,143,22,847.3846153846154,13,2091.0,5484.0,42907.0,114,2698
20230131_124242_043302_2.wav,1639000,1759000,7251,120000,10422.0,4256.0,0.0,0.5916330838610632,7,4,1,6166.0,15,0,947.4545454545455,11,2257.0,0.0,1567.0,6,0
20230405_090552_045738_2.wav,41905000,42025000,7281,120000,13665.0,13665.0,0.0,0.0,0,8,5,0.0,109,2,1708.125,8,25992.0,728.0,15132.0,46,1200
