recording_filename,segment_onset,segment_offset,child_id,duration_alice,wc_fem,wc_mal,wc_adu,duration_vcm,non_can_voc_CHI,can_voc_CHI,can_voc_dur_CHI,duration_vtc,voc_dur_chi,voc_chi,avg_voc_dur_chi,5s_CTC
20190828_145547_024884_2.wav,28611000,28731000,5061,120000,183.47,14.48,197.95000000000002,120000,10,0,0.0,120000,12429.0,10,1242.9,12
20211022_110857_045737_2.wav,49860000,49980000,6161,120000,0.0,0.0,0.0,120000,0,0,0.0,120000,0.0,0,,0
20180808_110630_024879.wav,2202000,2322000,3501,120000,29.880000000000003,0.0,29.880000000000003,120000,4,0,0.0,120000,2207.0,4,551.75,4
20221129_154915_045733_1.wav,2072000,2192000,6641,120000,174.11,38.13,212.24,120000,13,0,0.0,120000,12009.0,13,923.7692307692307,25
20230110_120835_024882_2.wav,36581000,36701000,7231,120000,0.0,0.0,0.0,120000,0,0,0.0,120000,0.0,0,,0
20210318_114509_043298.wav,18264000,18384000,5961,120000,67.04,23.290000000000003,90.33000000000001,120000,2,0,0.0,120000,2135.0,3,711.6666666666666,4
20211103_114626_022870_1.wav,7296000,7416000,6382,120000,59.7,55.08,114.78,120000,8,1,1498.0,120000,51998.0,15,3466.5333333333333,26
20220720_091357_024879_1.wav,2202000,2322000,7051,120000,15.219999999999999,92.50999999999999,107.72999999999999,120000,5,4,24265.0,120000,47171.0,10,4717.1,10
20220728_144904_024880_2.wav,39778000,39898000,7101,120000,166.90999999999997,118.93999999999998,285.85,120000,3,0,0.0,120000,3794.0,3,1264.6666666666667,6
20230328_132555_045737_1.wav,41905000,42025000,6451,120000,0.0,0.0,0.0,120000,0,0,0.0,120000,0.0,0,,0
20201210_142957_025480_2.wav,15408000,15528000,5901,120000,7.92,84.57000000000001,92.49,120000,1,0,0.0,120000,648.0,1,648.0,1
20220513_113018_024879_2.wav,25590000,25710000,6371,120000,2.66,0.0,2.66,120000,5,0,0.0,120000,15853.0,9,1761.4444444444443,2
20180906_131431_024882.wav,16289000,16409000,3591,120000,13.38,4.25,17.63,120000,3,3,8428.0,120000,13224.0,7,1889.142857142857,4
20211103_114626_022870_1.wav,6837000,6957000,6382,120000,47.83,84.93,132.76,120000,6,0,0.0,120000,14393.0,8,1799.125,12
20190307_114201_025481.wav,18264000,18384000,3891,120000,84.86000000000001,125.36999999999999,210.23,120000,4,0,0.0,120000,12802.0,8,1600.25,15
20230131_124242_043302_2.wav,1639000,1759000,7251,120000,9.36,0.0,9.36,120000,7,0,0.0,120000,10730.0,9,1192.2222222222222,2
20230405_090552_045738_2.wav,41905000,42025000,7281,120000,34.830000000000005,35.4,70.23,120000,6,0,0.0,120000,9234.0,7,1319.142857142857,6
20180906_133202_022870.wav,7296000,7416000,3461,120000,102.39999999999999,44.36,146.76000000000002,120000,12,0,0.0,120000,16460.0,13,1266.1538461538462,19
20210127_103244_024879_1.wav,36581000,36701000,5461,120000,7.619999999999999,46.65,54.269999999999996,120000,15,0,0.0,120000,13007.0,15,867.1333333333333,5
20201210_142957_025480_2.wav,6837000,6957000,5901,120000,0.0,0.0,0.0,120000,24,0,0.0,120000,35610.0,24,1483.75,0
20210127_103244_024879_1.wav,18264000,18384000,5461,120000,102.46,14.54,117.0,120000,5,0,0.0,120000,4761.0,6,793.5,9
20230425_114841_045738_2.wav,6620000,6740000,6212,120000,50.370000000000005,90.57000000000001,140.94,120000,9,0,0.0,120000,15342.0,12,1278.5,11
20230425_114841_045738_2.wav,2072000,2192000,6212,120000,29.659999999999997,3.66,33.32,120000,2,0,0.0,120000,1870.0,2,935.0,2
20181218_132113_024879.wav,16289000,16409000,3131,120000,0.0,0.0,0.0,120000,0,0,0.0,120000,0.0,0,,0
20210414_211244_024882_1.wav,5817000,5937000,5371,120000,54.2,5.1899999999999995,59.39,120000,6,0,0.0,120000,13948.0,7,1992.5714285714287,5
