segment_onset,segment_offset,speaker_type,vcm_type
548458,549065,CHI,N
554870,560992,NA,NA
554916,555512,OCH,NA
555034,558492,FEM,NA
558492,559182,CHI,N
559767,560579,CHI,N
561146,562304,NA,NA
561713,561841,OCH,NA
564663,570252,NA,NA
564697,566388,OCH,NA
565105,566011,CHI,C
566529,570209,FEM,NA
570542,573343,NA,NA
570645,573011,OCH,NA
571511,571906,FEM,NA
574727,580254,NA,NA
574744,580129,FEM,NA
584977,586992,NA,NA
584992,585594,CHI,N
586175,586492,CHI,N
589093,594992,NA,NA
589216,592010,OCH,NA
591511,591675,FEM,NA
591992,594992,FEM,NA
596012,600239,OCH,NA
596027,600511,NA,NA
600785,601023,NA,NA
602486,606688,NA,NA
602993,605992,FEM,NA
606992,609743,NA,NA
607993,609672,OCH,NA
612993,614817,OCH,NA
613511,614863,NA,NA
618614,622316,NA,NA
618992,622337,OCH,NA
619993,621279,CHI,N
627328,629733,NA,NA
627423,628123,FEM,NA
628358,629355,OCH,NA
637511,640992,NA,NA
640329,640992,FEM,NA
645511,646993,OCH,NA
645700,646658,NA,NA
646920,647283,NA,NA
650995,652949,OCH,NA
651113,652799,NA,NA
655682,659821,NA,NA
655705,658069,FEM,NA
658387,659492,FEM,NA
663466,668599,NA,NA
663491,665219,CHI,Y
665641,666443,FEM,NA
667057,668007,FEM,NA
668947,670361,NA,NA
668993,670115,FEM,NA
671853,673203,NA,NA
671860,673134,CHI,N
674234,675233,NA,NA
674409,674588,CHI,N
674585,675022,FEM,NA
676308,677597,NA,NA
676510,677516,FEM,NA
679138,680609,NA,NA
679204,679521,CHI,N
679681,680219,CHI,N
679823,680086,MAL,NA
681483,682165,NA,NA
681510,682155,OCH,NA
682722,684992,OCH,NA
682903,684992,NA,NA
686058,687514,NA,NA
686483,686901,FEM,NA
686738,687511,OCH,NA
693152,693783,FEM,NA
693169,693545,NA,NA
693986,694492,FEM,NA
693986,697012,NA,NA
695819,696992,FEM,NA
697496,698993,NA,NA
697712,698937,OCH,NA
698011,698143,CHI,N
711896,713666,FEM,NA
711924,713750,NA,NA
715382,716865,NA,NA
