segment_onset,segment_offset,speaker_type,vcm_type
25010,25889,NA,NA
25032,25666,FEM,NA
26840,32694,NA,NA
26992,28242,CHI,N
28166,32689,FEM,NA
35085,37069,NA,NA
35179,37010,FEM,NA
37498,38023,FEM,NA
37508,38104,NA,NA
39012,41012,NA,NA
39137,40993,FEM,NA
39513,39731,CHI,N
44493,46012,FEM,NA
44511,46087,NA,NA
53997,54763,MAL,NA
60500,61011,MAL,NA
67233,68281,FEM,NA
67250,68279,NA,NA
69491,75066,NA,NA
70117,74992,FEM,NA
75949,78011,NA,NA
75992,78012,CHI,N
113678,114456,NA,NA
113918,114541,MAL,NA
134121,134696,NA,NA
139455,139906,NA,NA
139511,139692,FEM,NA
142822,143993,FEM,NA
142860,143996,NA,NA
155478,157012,NA,NA
155491,156325,CHI,N
161182,162011,NA,NA
161323,161839,OCH,NA
161492,161863,CHI,N
168492,169337,FEM,NA
168510,169364,NA,NA
189614,189992,NA,NA
205511,208965,NA,NA
205624,207176,CHI,N
206020,206811,OCH,NA
207824,208653,CHI,N
208199,208396,OCH,NA
208524,208644,OCH,NA
209881,211609,NA,NA
209993,211544,CHI,N
220901,222011,NA,NA
220965,221993,CHI,N
225285,231098,NA,NA
225496,231011,CHI,N
236512,237384,FEM,NA
236512,240493,NA,NA
237654,238137,OCH,NA
238231,240492,CHI,N
242246,243945,NA,NA
242322,243512,CHI,N
245104,246397,NA,NA
245125,246308,OCH,NA
247015,247540,MAL,NA
247064,247803,NA,NA
247936,249991,NA,NA
248010,249714,FEM,NA
250386,250492,NA,NA
252511,254992,NA,NA
252514,254991,CHI,N
263547,264740,NA,NA
263744,264168,FEM,NA
268097,269277,NA,NA
268282,269100,CHI,N
268670,269011,OCH,NA
271510,274389,NA,NA
271625,273959,CHI,N
277086,282442,NA,NA
277118,279231,CHI,N
279227,280086,FEM,NA
279732,279875,CHI,N
279992,281607,CHI,N
281262,282281,FEM,NA
283952,285862,NA,NA
283993,285846,CHI,N
284293,284404,OCH,NA
287493,301727,NA,NA
287511,292511,FEM,NA
292390,294086,CHI,N
294035,298588,FEM,NA
299336,300993,FEM,NA
300208,302159,MAL,NA
302717,305108,NA,NA
302937,303492,CHI,N
303931,304883,FEM,NA
305492,306992,CHI,N
305492,306992,NA,NA
318511,319574,NA,NA
318578,319219,FEM,NA
321167,323678,NA,NA
321341,322350,CHI,N
321511,323511,OCH,NA
328706,331992,FEM,NA
328706,333728,NA,NA
331442,331687,MAL,NA
332159,333615,CHI,N
336712,340890,NA,NA
336876,338012,MAL,NA
336992,338011,FEM,NA
338371,339154,CHI,N
338470,339315,OCH,NA
339603,340511,FEM,NA
341125,344255,NA,NA
342500,344238,FEM,NA
345102,349511,FEM,NA
345192,351149,NA,NA
346984,347117,MAL,NA
349188,351142,MAL,NA
349711,350486,FEM,NA
352991,353919,NA,NA
353020,353437,FEM,NA
354486,365492,NA,NA
354491,355288,MAL,NA
355511,360884,FEM,NA
355732,356010,MAL,NA
357843,358447,MAL,NA
360759,362534,CHI,N
361714,362011,FEM,NA
362489,364011,FEM,NA
368157,371512,NA,NA
368366,370347,CHI,Y
370310,371346,FEM,NA
373591,375992,NA,NA
374119,375511,FEM,NA
375185,375295,MAL,NA
376669,378493,NA,NA
376804,376914,FEM,NA
377421,378305,CHI,N
379510,381491,NA,NA
379747,381013,FEM,NA
381129,381380,FEM,NA
383307,384060,NA,NA
384811,398031,NA,NA
384991,386061,FEM,NA
388344,388992,OCH,NA
389163,392992,FEM,NA
392992,393822,CHI,N
394011,395535,FEM,NA
395526,396002,CHI,N
396726,397992,CHI,N
397352,397490,OCH,NA
399391,401352,OCH,NA
399511,401976,NA,NA
400418,401174,CHI,N
404875,417572,NA,NA
404931,406011,FEM,NA
405646,405875,MAL,NA
406850,409192,CHI,N
409266,415204,FEM,NA
415511,417521,FEM,NA
418821,418943,MAL,NA
424055,427661,NA,NA
424124,425653,FEM,NA
426769,427020,CHI,N
428711,429492,NA,NA
428755,429492,CHI,N
430910,431992,NA,NA
430993,431712,CHI,N
433372,434492,NA,NA
433397,434465,CHI,N
435284,436045,NA,NA
435323,436011,FEM,NA
