segment_onset,segment_offset,speaker_type,vcm_type
10,1011,NA,NA
376,511,FEM,NA
1159,5553,OCH,NA
1223,1991,NA,NA
3034,7504,NA,NA
6110,6333,FEM,NA
6455,7012,OCH,NA
6488,7298,CHI,N
9288,11991,OCH,NA
9290,11992,NA,NA
9518,10423,CHI,N
10601,11011,CHI,N
11217,11492,CHI,N
19492,21178,FEM,NA
19492,24492,NA,NA
22012,24383,FEM,NA
34992,40930,NA,NA
35387,35492,FEM,NA
35920,40348,CHI,Y
36344,37019,OCH,NA
37287,45276,OCH,NA
41396,48784,NA,NA
43511,43693,CHI,N
43846,45370,CHI,N
45492,46992,FEM,NA
45672,45780,MAL,NA
46011,47407,MAL,NA
47365,47492,FEM,NA
47993,48558,OCH,NA
49866,53011,NA,NA
49992,52792,OCH,NA
51806,52751,CHI,N
54329,55456,MAL,NA
55993,57468,MAL,NA
56989,61046,NA,NA
57588,58756,OCH,NA
57697,58011,FEM,NA
58712,61512,MAL,NA
62011,68155,NA,NA
62286,68012,CHI,Y
62512,64493,OCH,NA
65510,67837,OCH,NA
68992,70988,MAL,NA
69817,70205,NA,NA
72510,74626,NA,NA
72993,74157,OCH,NA
75266,76560,NA,NA
75492,81424,OCH,NA
78322,82281,NA,NA
81690,81854,OCH,NA
83108,88604,NA,NA
83187,86297,MAL,NA
86137,88508,OCH,NA
89211,93015,NA,NA
89834,92942,NA,J
90089,90563,OCH,NA
90992,92511,OCH,NA
95011,99061,MAL,NA
95511,99510,NA,NA
98511,99010,FEM,NA
101798,103070,NA,NA
102234,102511,OCH,NA
102372,102488,CHI,N
104174,104280,MAL,NA
105941,110506,MAL,NA
106010,110511,NA,NA
110720,112483,NA,NA
110992,111277,OCH,NA
111741,112402,OCH,NA
112685,128554,NA,NA
112816,119078,OCH,NA
117622,117737,CHI,N
117992,119106,CHI,Y
119011,121993,FEM,NA
120511,121095,MAL,NA
121741,121884,OCH,NA
121989,122094,OCH,NA
123115,124045,CHI,N
123687,128422,FEM,NA
126510,128488,MAL,NA
130073,138176,NA,NA
130489,130703,FEM,NA
131512,132492,CHI,N
131568,132521,OCH,NA
132621,133168,MAL,NA
133993,134979,FEM,NA
134865,138061,OCH,NA
140511,140741,NA,NA
140817,143424,MAL,NA
140991,142991,NA,NA
145010,147124,OCH,NA
145010,154585,NA,NA
146013,154035,CHI,Y
148011,150993,OCH,NA
151943,152267,OCH,NA
152390,152868,OCH,NA
153129,153510,FEM,NA
155010,159907,NA,NA
155937,158492,FEM,NA
157501,159011,MAL,NA
158941,159694,CHI,N
160442,162351,NA,NA
160512,162157,CHI,N
162992,164168,NA,NA
163492,163958,OCH,NA
168492,169781,NA,NA
172493,173855,NA,NA
172582,172800,FEM,NA
179412,180492,CHI,N
179450,180491,NA,NA
184236,202206,NA,NA
184295,195036,CHI,Y
184511,187356,OCH,NA
187535,187672,OCH,NA
187780,189684,OCH,NA
189845,190534,OCH,NA
190811,190960,OCH,NA
191111,194977,OCH,NA
195421,196511,FEM,NA
196904,198468,CHI,Y
198917,201045,FEM,NA
201027,202201,CHI,C
204085,205767,FEM,NA
204098,230182,NA,NA
205386,206512,CHI,N
207056,208502,CHI,N
207095,207794,OCH,NA
208853,211428,FEM,NA
211324,214512,CHI,C
212289,212524,FEM,NA
213658,214348,OCH,NA
214512,218012,FEM,NA
216511,218511,MAL,NA
218916,220664,CHI,N
220728,223759,FEM,NA
223724,226011,MAL,NA
225340,229491,FEM,NA
227959,229174,MAL,NA
230492,231191,NA,NA
231992,232429,NA,NA
233483,237516,NA,NA
235496,237011,FEM,NA
238012,240489,MAL,NA
239357,239902,NA,NA
242992,246434,MAL,NA
243500,245668,NA,NA
248992,249719,NA,NA
249026,251375,MAL,NA
250899,251063,NA,NA
251993,264992,NA,NA
252140,252675,OCH,NA
252992,253993,OCH,NA
253493,255012,FEM,NA
255010,256318,CHI,N
255074,255194,OCH,NA
256011,258011,FEM,NA
258009,261506,MAL,NA
