segment_onset,segment_offset,speaker_type,vcm_type
1065,4011,MAL,NA
1991,3122,NA,NA
4514,4674,MAL,NA
5511,16812,NA,NA
5992,7011,CHI,N
7012,9012,MAL,NA
9339,11452,FEM,NA
11549,13491,CHI,N
14492,15022,OCH,NA
14781,15426,FEM,NA
16124,16635,CHI,N
19011,20111,OCH,NA
19011,20310,NA,NA
20491,26129,NA,NA
20993,25219,FEM,NA
25297,26127,CHI,N
27587,28270,NA,NA
27675,28011,CHI,N
30898,31991,NA,NA
30940,31785,CHI,C
41484,42959,NA,NA
41492,42737,CHI,N
43364,45993,NA,NA
43576,45992,CHI,N
52491,64493,NA,NA
52648,54854,CHI,Y
52736,61992,OCH,NA
55618,56992,CHI,N
57237,58511,CHI,N
58688,59010,CHI,N
59078,59760,FEM,NA
60018,60511,CHI,N
62513,62810,CHI,Y
62650,63011,OCH,NA
62993,64493,CHI,Y
65691,66319,MAL,NA
68459,69993,NA,NA
68538,69783,OCH,NA
68646,69491,CHI,N
71663,78514,NA,NA
71803,75558,OCH,NA
71867,72510,CHI,C
74056,77993,CHI,Y
76952,78511,OCH,NA
82510,88492,NA,NA
83052,88454,CHI,C
90511,92089,NA,NA
90992,92033,CHI,N
96442,96882,NA,NA
99004,104492,NA,NA
99088,104377,CHI,C
99104,100331,OCH,NA
108511,110146,NA,NA
108515,109975,CHI,C
110582,113643,NA,NA
110671,112991,OCH,NA
111866,112111,CHI,N
112511,113211,FEM,NA
113835,125475,NA,NA
114072,119318,OCH,NA
115992,117514,CHI,N
121011,124961,OCH,NA
121056,122006,CHI,C
123010,125011,CHI,N
129992,130740,NA,NA
130073,130512,OCH,NA
134188,148137,NA,NA
134463,138010,FEM,NA
134630,134750,OCH,NA
138117,139992,CHI,C
138512,138944,OCH,NA
139126,139406,OCH,NA
139971,141822,FEM,NA
142106,143113,CHI,Y
143765,145886,FEM,NA
145815,147627,CHI,C
148480,159147,NA,NA
148679,150135,CHI,C
148775,149992,OCH,NA
150527,151637,FEM,NA
151845,152660,CHI,N
153174,154747,FEM,NA
154673,155569,CHI,C
154801,155511,OCH,NA
155539,158253,FEM,NA
158228,158992,CHI,C
159435,170701,NA,NA
159492,160992,OCH,NA
159492,161191,CHI,C
161011,164492,FEM,NA
164492,165270,CHI,C
164803,164931,OCH,NA
165213,167091,FEM,NA
167010,168028,CHI,N
168011,168450,FEM,NA
168944,170598,CHI,N
170858,170993,NA,NA
173011,175492,NA,NA
173136,175510,OCH,NA
173991,174624,CHI,C
176992,177773,NA,NA
177012,177555,OCH,NA
178011,180011,NA,NA
178478,180010,FEM,NA
181992,191994,NA,NA
181992,184783,FEM,NA
185011,186493,CHI,N
186492,187201,FEM,NA
186992,189253,MAL,NA
189655,191829,OCH,NA
192567,226163,NA,NA
192615,195469,OCH,NA
195510,196170,FEM,NA
196751,203420,FEM,NA
203945,214011,FEM,NA
206940,207421,MAL,NA
210843,211287,MAL,NA
213992,216137,MAL,NA
216390,218599,CHI,C
216511,217733,OCH,NA
217902,218125,OCH,NA
218271,218394,OCH,NA
219446,220165,OCH,NA
219491,220775,CHI,N
220492,222647,MAL,NA
222726,223511,OCH,NA
223010,226010,FEM,NA
229993,232013,NA,NA
230011,232220,FEM,NA
239510,241491,MAL,NA
240011,242498,NA,NA
240992,242011,FEM,NA
248862,248968,NA,NA
266819,267992,NA,NA
266856,267811,FEM,NA
268426,270512,NA,NA
268480,270512,FEM,NA
272992,273603,NA,NA
273076,273511,CHI,N
277693,285491,NA,NA
277729,282012,FEM,NA
280992,281544,MAL,NA
282491,284551,FEM,NA
284754,285012,MAL,NA
284781,284992,FEM,NA
286511,292993,NA,NA
287012,292652,FEM,NA
291210,292158,MAL,NA
300468,305458,NA,NA
