segment_onset,segment_offset,speaker_type,vcm_type
2943,4431,MAL,NA
3453,5873,NA,NA
4992,5378,MAL,NA
5010,5353,FEM,NA
26511,30011,NA,NA
26936,28492,FEM,NA
27992,28490,MAL,NA
29606,29761,FEM,NA
67011,67116,NA,NA
69348,69994,NA,NA
69361,69850,CHI,N
70030,71488,MAL,NA
70278,71343,NA,NA
71511,72510,NA,NA
71761,72510,CHI,N
80134,83359,NA,NA
80382,81621,CHI,N
81884,83318,CHI,N
87613,88475,NA,NA
87622,88427,CHI,N
89853,91566,NA,NA
89891,91511,CHI,N
92652,94510,CHI,N
92661,94511,NA,NA
98165,99056,NA,NA
98177,99017,CHI,N
127163,128520,CHI,N
127173,128715,NA,NA
146988,150699,NA,NA
147472,150731,NA,J
153571,154546,CHI,N
153579,154581,NA,NA
157511,158491,NA,NA
157513,158428,CHI,N
162014,164490,MAL,NA
162493,164469,NA,NA
168394,169217,NA,NA
168492,169012,CHI,N
171992,174668,NA,NA
172010,173011,FEM,NA
172996,174574,CHI,N
181011,181300,NA,NA
181011,181360,FEM,NA
184712,185495,NA,NA
184992,185316,CHI,N
198426,199511,NA,NA
198492,199493,CHI,N
203791,206469,NA,NA
203897,206341,NA,J
336484,338011,NA,NA
336493,337993,CHI,N
434492,435243,NA,NA
434513,435011,CHI,N
501145,501449,NA,NA
585011,587024,MAL,NA
585492,587011,NA,NA
587301,587490,MAL,NA
592199,594491,MAL,NA
592512,594011,NA,NA
597166,598428,NA,NA
597289,597905,MAL,NA
597790,598068,FEM,NA
613492,614800,NA,NA
613492,614837,CHI,N
625992,626880,NA,NA
626120,626493,FEM,NA
629456,631493,NA,NA
629721,629832,FEM,NA
630227,631302,CHI,N
635192,636554,NA,NA
635394,636543,CHI,N
655960,656264,NA,NA
672253,675010,MAL,NA
672492,674991,NA,NA
686143,686511,NA,NA
702992,703510,FEM,NA
702992,703510,NA,NA
707493,709800,FEM,NA
707493,710011,NA,NA
735708,736793,NA,NA
735865,736560,CHI,N
736223,736512,OCH,NA
737880,738108,NA,NA
739010,742058,NA,NA
739640,741012,FEM,NA
739646,740282,MAL,NA
742409,743845,NA,NA
742492,743530,CHI,N
753280,759274,NA,NA
753486,754547,MAL,NA
755492,756010,FEM,NA
755495,757510,MAL,NA
756216,756493,FEM,NA
758170,758923,FEM,NA
761511,763011,CHI,N
761555,763492,NA,NA
762688,762985,MAL,NA
763131,763295,MAL,NA
773511,776449,FEM,NA
773511,776491,NA,NA
776885,777992,NA,NA
776917,777992,CHI,N
781974,782720,CHI,N
781993,785785,NA,NA
783493,785513,FEM,NA
786512,787585,NA,NA
786680,787394,CHI,N
789418,790493,CHI,N
789482,790390,NA,NA
796481,797011,CHI,N
796492,797074,NA,NA
799941,800413,NA,NA
801043,802030,NA,NA
801078,802047,CHI,N
810010,811750,NA,NA
810069,811667,CHI,N
822012,824493,NA,NA
822493,824562,MAL,NA
822582,822857,FEM,NA
836492,837528,FEM,NA
836492,837631,NA,NA
837086,837304,MAL,NA
850630,851190,NA,NA
850832,850986,FEM,NA
851038,851190,MAL,NA
966025,966919,NA,NA
976992,979579,NA,NA
977059,977955,CHI,N
978492,979511,CHI,N
982478,983511,CHI,N
982483,983524,NA,NA
1011658,1013084,NA,NA
1011992,1012856,CHI,N
1013609,1014726,NA,NA
1013756,1014512,CHI,N
1015873,1015991,NA,NA
1021457,1022572,NA,NA
1021493,1022527,CHI,N
1024512,1026993,NA,NA
1025992,1026493,OCH,NA
1039993,1042492,NA,NA
1040231,1041011,FEM,NA
1066993,1069592,NA,NA
1067047,1068343,CHI,N
1068773,1069492,CHI,N
1069963,1070511,NA,NA
1070101,1070511,CHI,N
1130944,1131325,NA,NA
1131138,1131254,CHI,N
1193857,1195227,CHI,C
1193894,1195323,NA,NA
1214819,1215810,NA,NA
1214841,1215717,CHI,N
1216011,1218981,NA,NA
1216060,1217616,CHI,N
1217727,1218923,CHI,N
1266897,1267901,MAL,NA
1267125,1269170,NA,NA
1268457,1269010,MAL,NA
1272512,1275767,NA,NA
1272660,1274493,FEM,NA
1276104,1277957,NA,NA
1276452,1277908,CHI,N
1280212,1283499,NA,NA
1280232,1283467,FEM,NA
1284412,1287951,NA,NA
1284491,1286796,FEM,NA
1286655,1287733,CHI,N
1290511,1294011,FEM,NA
1290511,1294068,NA,NA
1305097,1307991,NA,NA
1305158,1306123,CHI,N
1306010,1307934,FEM,NA
1318091,1319954,CHI,N
1318105,1323512,NA,NA
1320492,1322289,FEM,NA
1320975,1321702,MAL,NA
1322487,1323474,CHI,N
1325903,1327511,OCH,NA
1325955,1330422,NA,NA
1328856,1330246,FEM,NA
1333819,1339683,NA,NA
1333945,1336363,OCH,NA
1336492,1339600,MAL,NA
1339819,1339989,MAL,NA
1340751,1350088,NA,NA
1340955,1343491,OCH,NA
1342492,1343246,FEM,NA
1343372,1344857,FEM,NA
1345339,1346289,MAL,NA
1345511,1345808,FEM,NA
1345979,1347363,FEM,NA
1348068,1349604,FEM,NA
1349382,1349910,CHI,N
1353988,1357063,NA,NA
1354477,1356456,OCH,NA
1356011,1356777,FEM,NA
1364224,1364835,MAL,NA
1373412,1376426,NA,NA
1373492,1375512,OCH,NA
1373885,1375512,FEM,NA
1377493,1378170,NA,NA
1378510,1380491,NA,NA
1378991,1380461,CHI,N
1381879,1385991,NA,NA
1382675,1384133,FEM,NA
1384012,1386218,MAL,NA
1387711,1402011,NA,NA
