segment_onset,segment_offset,speaker_type,vcm_type
1561,6605,NA,NA
1603,3267,FEM,NA
3483,4011,FEM,NA
4511,7206,MAL,NA
6725,6830,NA,NA
12786,13510,OCH,NA
18510,19420,MAL,NA
20512,20937,NA,NA
21114,21318,NA,NA
21511,23993,NA,NA
21789,23736,FEM,NA
28991,30014,NA,NA
30265,31492,NA,NA
30416,31012,FEM,NA
32496,32840,NA,NA
33085,54717,NA,NA
33672,34975,FEM,NA
35881,35992,FEM,NA
35993,38107,OCH,NA
36310,45011,FEM,NA
38991,39992,OCH,NA
45330,45462,CHI,N
46511,51852,FEM,NA
52255,53079,OCH,NA
53261,54798,MAL,NA
55011,58688,NA,NA
55497,58560,FEM,NA
59959,64011,NA,NA
61493,62993,OCH,NA
62561,64490,MAL,NA
68696,69287,NA,NA
69620,70511,NA,NA
70990,79210,NA,NA
71012,75243,FEM,NA
75511,79203,FEM,NA
81170,84054,NA,NA
81206,83779,OCH,NA
83641,83754,FEM,NA
85511,93851,NA,NA
85578,93821,FEM,NA
97313,99353,NA,NA
97492,98518,CHI,N
103012,107519,FEM,NA
103012,110207,NA,NA
108446,109585,FEM,NA
113623,118993,NA,NA
113819,118694,FEM,NA
114397,114500,MAL,NA
115428,115703,MAL,NA
121014,121348,NA,NA
130334,130778,MAL,NA
132386,132992,NA,NA
133606,134833,NA,NA
133638,135216,MAL,NA
137123,140029,NA,NA
137300,137958,MAL,NA
137492,139492,FEM,NA
138603,139691,MAL,NA
139717,139857,FEM,NA
139804,139956,MAL,NA
157780,158511,NA,NA
157825,158804,MAL,NA
166511,171511,FEM,NA
166511,171822,NA,NA
173139,176011,NA,NA
173195,175993,FEM,NA
179511,181241,NA,NA
179521,181187,FEM,NA
182022,186992,FEM,NA
182063,187713,NA,NA
187907,193511,NA,NA
188490,193510,FEM,NA
197373,198188,NA,NA
197451,198190,FEM,NA
200823,202492,NA,NA
200991,201511,FEM,NA
201029,202467,MAL,NA
203681,204010,NA,NA
203690,204011,FEM,NA
204122,204492,FEM,NA
208028,208593,NA,NA
223511,225539,NA,NA
223511,225546,FEM,NA
233580,244680,NA,NA
233872,235048,FEM,NA
233893,234826,MAL,NA
235511,238012,FEM,NA
239372,241491,FEM,NA
