segment_onset,segment_offset,speaker_type,vcm_type
768833,769572,MAL,NA
772662,775391,NA,NA
773012,774954,FEM,NA
773013,774896,MAL,NA
775963,781010,NA,NA
775992,777280,CHI,N
776491,780992,FEM,NA
783511,786191,MAL,NA
783920,802012,NA,NA
785401,787492,FEM,NA
788155,790011,CHI,Y
788992,789223,OCH,NA
789492,790017,OCH,NA
789588,789696,FEM,NA
789946,792992,FEM,NA
792492,795646,MAL,NA
794904,795493,CHI,N
795805,801799,MAL,NA
801024,801753,FEM,NA
803476,817329,NA,NA
803491,804822,FEM,NA
803513,807489,MAL,NA
807177,809011,FEM,NA
808129,810991,MAL,NA
811431,814156,FEM,NA
814992,817012,FEM,NA
818642,823185,NA,NA
818681,823013,FEM,NA
823696,823846,MAL,NA
826030,826200,NA,NA
826313,826548,NA,NA
826463,831011,MAL,NA
826802,827028,NA,NA
827646,827862,NA,NA
829239,829342,NA,NA
829491,830298,NA,NA
836205,838411,MAL,NA
836774,840007,NA,NA
837832,838428,FEM,NA
838819,839570,CHI,N
840544,840993,NA,NA
840596,840993,FEM,NA
841894,842181,MAL,NA
842511,855115,MAL,NA
843362,854501,NA,NA
845397,845512,FEM,NA
860961,862129,MAL,NA
872370,874209,NA,NA
872405,873991,FEM,NA
874511,875085,NA,NA
875315,881790,NA,NA
875492,876511,MAL,NA
876000,878580,FEM,NA
879429,881766,FEM,NA
888992,891017,MAL,NA
889010,891010,NA,NA
889491,889992,FEM,NA
891154,891279,MAL,NA
894917,896787,MAL,NA
894993,898542,NA,NA
895737,898511,FEM,NA
902097,905453,MAL,NA
902239,905493,NA,NA
902559,903379,FEM,NA
907944,911500,MAL,NA
907991,915050,NA,NA
910891,915012,FEM,NA
924443,930511,NA,NA
924608,926471,FEM,NA
926746,927991,FEM,NA
928247,929511,FEM,NA
947511,949011,MAL,NA
948009,948512,NA,NA
952688,952902,MAL,NA
953952,955135,MAL,NA
954102,954330,NA,NA
959030,961418,MAL,NA
959479,959580,NA,NA
960491,960970,NA,NA
964762,965427,MAL,NA
974012,975423,MAL,NA
979493,981133,MAL,NA
980230,980468,NA,NA
982486,983370,MAL,NA
985886,986487,MAL,NA
985984,994813,NA,NA
986492,992044,FEM,NA
992802,993509,CHI,N
993662,994511,FEM,NA
998992,999463,NA,NA
999174,999321,MAL,NA
999829,999994,NA,NA
1000365,1010011,NA,NA
1000740,1001511,OCH,NA
1002011,1004493,FEM,NA
1003195,1003647,MAL,NA
1004339,1006492,MAL,NA
1006493,1008115,FEM,NA
1008735,1009903,MAL,NA
1014166,1014377,NA,NA
1014488,1016493,NA,NA
1014512,1014833,FEM,NA
1014513,1016008,MAL,NA
1014992,1015522,FEM,NA
1015674,1015907,FEM,NA
1017409,1019793,NA,NA
1017492,1018012,FEM,NA
1017719,1020011,MAL,NA
1022510,1023652,NA,NA
1022659,1023493,FEM,NA
1024903,1026779,NA,NA
1024962,1025539,MAL,NA
1025492,1026697,FEM,NA
1030492,1033011,NA,NA
1030590,1032990,OCH,NA
1031992,1032173,CHI,N
1039782,1040492,NA,NA
1039859,1040029,MAL,NA
1045084,1046820,MAL,NA
1047406,1048780,NA,NA
1048992,1049895,MAL,NA
1049011,1049581,NA,NA
