segment_onset,segment_offset,speaker_type,vcm_type
832,2322,OCH,NA
1011,5464,NA,NA
2774,5307,OCH,NA
2796,5268,CHI,N
7280,7477,OCH,NA
7287,7408,NA,NA
8011,8512,NA,NA
8078,8502,OCH,NA
24786,25994,NA,NA
24848,25992,OCH,NA
36492,36992,NA,NA
36492,37010,OCH,NA
56759,58011,MAL,NA
74491,75883,OCH,NA
74491,75929,NA,NA
74636,75495,CHI,N
79625,87511,NA,NA
79932,81066,OCH,NA
79947,80895,CHI,N
81214,81992,OCH,NA
81253,86640,CHI,N
86974,87144,FEM,NA
96636,99587,NA,NA
96992,97269,MAL,NA
97396,97727,MAL,NA
98250,99553,CHI,N
100298,102379,NA,NA
100312,101885,CHI,N
103505,108108,NA,NA
103550,107991,CHI,N
103798,103921,OCH,NA
109161,116011,NA,NA
109539,116011,CHI,N
112371,113512,OCH,NA
113645,113979,OCH,NA
122762,124124,NA,NA
122928,123993,CHI,N
124271,125115,NA,NA
124423,124526,OCH,NA
125469,155491,NA,NA
125585,135529,CHI,N
126492,127511,OCH,NA
134511,137012,OCH,NA
135675,135992,CHI,N
137012,155429,CHI,N
137130,137258,OCH,NA
140179,141510,OCH,NA
151011,152012,OCH,NA
152383,153014,OCH,NA
153173,153718,OCH,NA
153843,154489,OCH,NA
155982,158692,NA,NA
156011,158525,CHI,Y
159697,164684,NA,NA
159715,164514,CHI,N
160512,162993,OCH,NA
164887,166649,NA,NA
164953,166511,CHI,N
165186,166511,OCH,NA
169455,172010,NA,NA
169493,170799,FEM,NA
171669,172013,OCH,NA
178338,179340,NA,NA
185782,190126,OCH,NA
185826,190367,NA,NA
187010,187790,CHI,N
187939,190128,CHI,N
190812,202992,NA,NA
191425,192491,FEM,NA
191489,193293,MAL,NA
193644,194010,FEM,NA
194898,202752,CHI,N
195212,196120,OCH,NA
196493,198511,OCH,NA
200492,201695,OCH,NA
203990,205563,NA,NA
204069,205473,FEM,NA
204662,205298,MAL,NA
211047,211157,OCH,NA
213244,215721,NA,NA
213254,214992,FEM,NA
215013,215134,CHI,N
216010,217102,NA,NA
216025,216992,CHI,N
222242,224011,NA,NA
222332,223169,CHI,N
222357,223992,OCH,NA
227011,235585,NA,NA
227065,235492,CHI,N
235960,236454,NA,NA
258512,262012,NA,NA
258658,259492,OCH,NA
258787,259003,CHI,N
260012,261993,CHI,N
268923,271510,NA,NA
269053,269156,CHI,N
269492,271293,CHI,N
273470,275211,CHI,N
273470,276011,NA,NA
279047,280544,OCH,NA
279126,280559,NA,NA
279492,280290,CHI,N
291011,293510,NA,NA
291492,293370,FEM,NA
291538,292012,MAL,NA
294351,296555,OCH,NA
294442,302321,NA,NA
296492,299170,CHI,N
296875,297010,OCH,NA
297143,297651,OCH,NA
298099,299662,OCH,NA
299762,300992,OCH,NA
299990,302017,CHI,N
303568,308482,NA,NA
303791,306489,CHI,N
304040,304585,OCH,NA
305279,305608,OCH,NA
306302,306992,FEM,NA
306561,308510,MAL,NA
324903,327677,NA,NA
324935,325737,CHI,N
325890,327679,CHI,N
339876,341511,NA,NA
339900,341301,CHI,N
341690,341992,NA,NA
342723,345830,NA,NA
343492,345730,CHI,N
344291,344472,OCH,NA
356511,359010,MAL,NA
357267,359203,NA,NA
358012,359048,FEM,NA
360990,361543,NA,NA
362492,366199,NA,NA
362652,365511,CHI,N
362715,363378,OCH,NA
365676,365873,MAL,NA
365683,366010,FEM,NA
365980,366125,MAL,NA
369134,372460,NA,NA
369166,370690,CHI,N
370511,371491,FEM,NA
370992,371989,OCH,NA
371010,371628,CHI,N
371810,372011,CHI,N
373012,376870,OCH,NA
373013,376511,NA,NA
373106,373511,CHI,N
375568,376321,CHI,N
377671,378621,NA,NA
377745,378442,OCH,NA
380012,383512,OCH,NA
380511,400705,NA,NA
381554,383739,CHI,N
383581,384511,FEM,NA
384882,387239,OCH,NA
385992,389875,CHI,N
388598,389886,OCH,NA
390241,393511,OCH,NA
390277,392005,CHI,N
393010,393321,CHI,N
393513,393687,CHI,N
394379,399123,CHI,N
397550,398011,OCH,NA
398512,398790,OCH,NA
399750,400729,MAL,NA
419729,422856,NA,NA
419784,422619,CHI,Y
424901,427012,NA,NA
424929,427011,CHI,N
428088,428444,NA,NA
431992,434069,OCH,NA
432002,434493,NA,NA
433492,434012,CHI,N
434636,435416,NA,NA
439992,441590,MAL,NA
440011,441513,NA,NA
448492,449012,OCH,NA
448492,449142,NA,NA
452010,452918,FEM,NA
452010,456492,NA,NA
453180,454118,CHI,N
453492,454044,OCH,NA
454359,456116,CHI,N
454489,454590,OCH,NA
454756,455380,OCH,NA
456619,457412,NA,NA
456639,457398,CHI,N
457699,459511,NA,NA
457836,459493,FEM,NA
458511,459402,MAL,NA
477370,495011,CHI,N
477395,495492,NA,NA
494011,495218,OCH,NA
496511,509010,NA,NA
497991,500365,CHI,N
498165,500511,OCH,NA
500774,501854,OCH,NA
500840,508992,CHI,N
513489,514510,NA,NA
513577,514011,CHI,N
516459,520992,NA,NA
516491,520511,CHI,Y
516659,517012,OCH,NA
523010,533265,NA,NA
523010,524701,FEM,NA
524899,528892,CHI,Y
528491,529725,MAL,NA
529011,530935,FEM,NA
529858,530621,MAL,NA
531868,533049,CHI,N
531993,533051,OCH,NA
534681,535012,FEM,NA
534706,535011,NA,NA
540010,542511,NA,NA
540236,542345,FEM,NA
545456,547024,NA,NA
545511,547011,FEM,NA
553762,557861,NA,NA
553962,555010,CHI,N
554042,555060,OCH,NA
555199,557334,FEM,NA
555414,556025,OCH,NA
556652,556824,MAL,NA
559992,561327,OCH,NA
560009,561295,NA,NA
569418,570646,OCH,NA
569492,570678,NA,NA
581168,583080,NA,NA
581310,582010,FEM,NA
581607,581887,OCH,NA
582262,583523,OCH,NA
584135,589378,OCH,NA
585011,591742,NA,NA
585510,590510,CHI,N
589511,589719,OCH,NA
589940,590559,OCH,NA
590998,591469,OCH,NA
592684,593759,OCH,NA
592694,594010,NA,NA
593011,593782,CHI,N
594611,596337,NA,NA
594614,596658,MAL,NA
599354,604992,OCH,NA
599464,604915,NA,NA
599992,601224,CHI,N
602070,603493,CHI,N
603917,604228,CHI,N
615511,616993,OCH,NA
615980,616093,NA,NA
616415,616903,NA,NA
619993,621493,OCH,NA
620045,621441,NA,NA
660012,661492,OCH,NA
661746,662281,NA,NA
662005,662233,FEM,NA
663525,665535,OCH,NA
663878,664091,NA,NA
664261,665012,NA,NA
665678,666993,OCH,NA
703141,703809,CHI,N
703163,703911,NA,NA
712793,713662,NA,NA
712903,713510,CHI,N
724305,734211,NA,NA
724344,724992,CHI,N
725369,734011,CHI,N
736108,737993,MAL,NA
736395,737276,NA,NA
738646,740511,MAL,NA
738855,740011,NA,NA
741052,741204,MAL,NA
743391,744314,MAL,NA
745991,747992,MAL,NA
746493,747624,NA,NA
753560,753967,NA,NA
755033,755406,NA,NA
755062,755173,FEM,NA
783138,783511,FEM,NA
783359,783511,NA,NA
831492,832181,NA,NA
831492,832187,CHI,N
874491,874815,FEM,NA
874493,874755,NA,NA
991146,991855,NA,NA
991151,991855,FEM,NA
1032185,1032511,NA,NA
1107211,1107332,FEM,NA
1107236,1107369,NA,NA
1192992,1200751,NA,NA
1193002,1193809,FEM,NA
1194347,1195992,FEM,NA
1194693,1195962,MAL,NA
1196993,1200036,OCH,NA
1200935,1205321,NA,NA
1201011,1205493,OCH,NA
1206930,1214674,NA,NA
1207492,1208010,MAL,NA
1208800,1210920,CHI,N
1208969,1210506,OCH,NA
1211949,1212990,MAL,NA
1212040,1213375,FEM,NA
1213491,1213857,CHI,N
1213955,1214134,MAL,NA
1214301,1214541,MAL,NA
1215493,1216511,MAL,NA
1215494,1232992,NA,NA
1215905,1217012,FEM,NA
1217249,1217364,OCH,NA
1218011,1220576,CHI,N
1219011,1219718,OCH,NA
1221510,1224510,CHI,N
1221566,1223011,OCH,NA
1224909,1232012,FEM,NA
1227012,1228527,MAL,NA
1229877,1232047,MAL,NA
1233360,1235118,MAL,NA
1239941,1257018,NA,NA
1239992,1241188,FEM,NA
1240782,1240974,MAL,NA
1241263,1241427,MAL,NA
1241576,1241775,FEM,NA
1241992,1242162,FEM,NA
1242872,1245491,CHI,C
1245539,1246946,MAL,NA
1247059,1249157,FEM,NA
1247380,1247488,MAL,NA
1248792,1250993,OCH,NA
1249663,1251511,CHI,N
1251197,1252493,MAL,NA
1252493,1254493,CHI,N
1252716,1253961,OCH,NA
1254493,1256383,MAL,NA
1254498,1254665,FEM,NA
1254840,1256981,FEM,NA
1257992,1260660,MAL,NA
1258198,1264040,NA,NA
1260760,1262859,CHI,N
1262608,1262993,FEM,NA
1264292,1279280,NA,NA
1264493,1266854,MAL,NA
1266992,1273271,OCH,NA
1268317,1270180,CHI,N
1270328,1270492,CHI,N
1272011,1275681,CHI,Y
1276015,1277689,CHI,N
1277539,1280715,MAL,NA
1281072,1282999,MAL,NA
1281752,1281867,NA,NA
1281992,1292993,NA,NA
1282957,1290058,CHI,C
1289405,1289898,OCH,NA
1290281,1292510,OCH,NA
1290283,1291677,NA,J
1293511,1296020,NA,NA
1293680,1295359,CHI,N
1294010,1295974,OCH,NA
1296511,1300627,NA,NA
1296645,1297011,OCH,NA
1297011,1300011,CHI,N
1298492,1300266,OCH,NA
1301299,1308375,NA,NA
1301506,1304625,OCH,NA
1301711,1302011,CHI,N
1303511,1305028,CHI,C
1305629,1307087,CHI,N
1305992,1308052,OCH,NA
1309510,1312750,NA,NA
1309888,1311010,FEM,NA
1310992,1311259,MAL,NA
1311162,1311491,FEM,NA
1313666,1319510,NA,NA
1314225,1314905,OCH,NA
1315511,1315865,FEM,NA
1315853,1315986,CHI,N
1315992,1317782,FEM,NA
1317095,1317768,CHI,N
1317897,1319492,FEM,NA
1322509,1324969,NA,NA
1322765,1322976,MAL,NA
1323160,1324637,CHI,N
1325437,1329185,NA,NA
1325585,1328278,CHI,N
1325896,1326011,OCH,NA
1327492,1328260,OCH,NA
