segment_onset,segment_offset,speaker_type,vcm_type
19639,20603,MAL,NA
19907,20010,NA,NA
38011,40289,NA,NA
38048,40011,FEM,NA
91002,91415,NA,NA
91770,92511,NA,NA
91820,91965,OCH,NA
123010,124898,NA,NA
123328,123993,FEM,NA
125511,127011,NA,NA
125854,126510,FEM,NA
139992,140512,CHI,N
139992,140537,NA,NA
153902,154641,CHI,N
153907,154805,NA,NA
184074,184511,NA,NA
184089,184511,CHI,Y
207492,208285,NA,NA
242386,243493,NA,NA
242485,243443,CHI,N
250302,251402,NA,NA
266358,268025,NA,NA
266463,267406,CHI,N
275950,276343,NA,NA
275986,276270,CHI,N
276850,276992,NA,NA
287511,289470,CHI,N
287511,289511,NA,NA
304911,305674,NA,NA
304992,305512,CHI,N
305080,305355,OCH,NA
346483,351011,NA,NA
346511,350758,CHI,N
360992,362011,NA,NA
361091,361761,CHI,N
369011,371492,NA,NA
369127,371010,CHI,N
412992,415365,CHI,N
412992,416011,NA,NA
414011,415329,OCH,NA
422493,423511,CHI,N
422493,423600,NA,NA
442434,443016,NA,NA
444484,444926,CHI,N
444509,444992,NA,NA
447517,448288,NA,NA
459484,463669,NA,NA
459955,460287,OCH,NA
460011,463578,CHI,C
484009,486709,OCH,NA
484117,487865,NA,NA
485011,486720,CHI,N
500691,502011,NA,NA
500955,502005,OCH,NA
508012,508208,NA,NA
520493,521703,NA,NA
520499,521512,CHI,N
541237,541492,NA,NA
542904,543517,NA,NA
542992,543491,CHI,N
545589,545871,NA,NA
545628,545743,CHI,N
586808,589192,NA,NA
586833,587992,FEM,NA
589331,589493,NA,NA
594992,606001,NA,NA
595077,598784,OCH,NA
596012,597014,CHI,N
597362,597512,FEM,NA
597758,598009,CHI,N
600089,601501,FEM,NA
601992,603492,CHI,N
606511,606626,NA,NA
606739,607881,NA,NA
606899,607662,CHI,N
608136,609451,NA,NA
608303,608424,MAL,NA
608651,609522,OCH,NA
616511,617159,NA,NA
619000,619975,NA,NA
624913,627029,NA,NA
624942,626933,FEM,NA
626250,626422,OCH,NA
627190,627492,NA,NA
627542,628011,MAL,NA
627679,627991,NA,NA
631702,634491,NA,NA
631869,632590,OCH,NA
631943,632513,CHI,N
633069,633985,MAL,NA
634071,634510,OCH,NA
635992,636486,MAL,NA
638012,639993,NA,NA
638233,639747,FEM,NA
638744,638891,CHI,N
639011,639757,OCH,NA
640394,643129,OCH,NA
640875,640991,NA,NA
641486,643212,NA,NA
649046,650438,CHI,N
649063,650286,NA,NA
650958,651511,NA,NA
650987,651495,CHI,N
658220,659219,OCH,NA
658334,659034,NA,NA
664303,664818,OCH,NA
664359,664982,NA,NA
666503,666618,NA,NA
668326,668427,NA,NA
672487,675492,NA,NA
673885,674460,MAL,NA
674652,675010,FEM,NA
676011,676220,NA,NA
680879,681492,NA,NA
683105,690511,NA,NA
686818,687677,OCH,NA
688217,688605,MAL,NA
688731,690452,OCH,NA
698392,699232,NA,NA
700159,702010,NA,NA
701126,701477,CHI,N
701252,701649,OCH,NA
706480,706971,NA,NA
706492,706620,OCH,NA
707186,709494,NA,NA
707327,708005,OCH,NA
707348,708857,FEM,NA
710492,710745,OCH,NA
710512,710757,NA,NA
719597,721392,NA,NA
719827,721012,OCH,NA
720144,720438,FEM,NA
730510,732010,OCH,NA
730542,736492,NA,NA
732390,732616,MAL,NA
