segment_onset,segment_offset,speaker_type,vcm_type
1510,4510,MAL,NA
2332,5493,NA,NA
4492,5272,FEM,NA
6011,7992,NA,NA
6478,7057,FEM,NA
6787,7491,CHI,N
8365,11217,NA,NA
8512,8873,OCH,NA
9511,11161,FEM,NA
13993,16992,FEM,NA
13993,18014,NA,NA
16308,18493,MAL,NA
19450,20633,NA,NA
19454,20637,FEM,NA
22417,25011,MAL,NA
22734,29511,NA,NA
24867,29492,FEM,NA
30512,31653,MAL,NA
31011,33529,NA,NA
31511,33566,FEM,NA
31874,32011,MAL,NA
36011,38988,MAL,NA
36359,39197,NA,NA
36777,36991,FEM,NA
37511,38913,FEM,NA
39698,39818,NA,NA
39938,51486,MAL,NA
39941,51052,NA,NA
53011,54697,MAL,NA
53492,62512,NA,NA
54665,58168,FEM,NA
59014,62484,FEM,NA
65492,71079,NA,NA
65510,71082,MAL,NA
65527,66492,FEM,NA
73013,74987,MAL,NA
73511,74181,NA,NA
78511,87011,MAL,NA
78992,82946,NA,NA
83680,86512,NA,NA
91891,94505,FEM,NA
91972,94589,NA,NA
97389,98992,NA,NA
97475,98992,FEM,NA
100011,100217,NA,NA
105226,107146,NA,NA
105317,107107,FEM,NA
109441,112185,NA,NA
109492,110493,CHI,N
110179,112012,FEM,NA
110788,111152,MAL,NA
114013,115599,MAL,NA
114541,114806,NA,NA
114991,115408,NA,NA
119011,126011,MAL,NA
119541,125511,NA,NA
127973,131010,MAL,NA
128795,130536,NA,NA
149011,151731,MAL,NA
149511,151492,NA,NA
155064,161492,MAL,NA
155863,160993,NA,NA
161921,169493,MAL,NA
161951,162493,NA,NA
163011,166334,NA,NA
167511,169166,NA,NA
169511,171492,NA,NA
170097,170922,CHI,N
170492,171493,MAL,NA
172010,183883,MAL,NA
172623,182304,NA,NA
185399,185931,MAL,NA
202510,206908,MAL,NA
203492,206511,NA,NA
221786,221914,NA,NA
223295,224313,NA,NA
235492,245992,MAL,NA
236512,240025,NA,NA
240362,245492,NA,NA
243030,243265,CHI,N
268491,268994,NA,NA
273512,278836,MAL,NA
273993,278458,NA,NA
280490,281528,NA,NA
280496,281240,CHI,N
285010,287992,MAL,NA
285923,287929,NA,NA
288993,290125,CHI,N
288993,290184,NA,NA
303008,303378,NA,NA
309493,312993,MAL,NA
309931,312445,NA,NA
316492,317489,MAL,NA
316582,317011,NA,NA
328511,331663,MAL,NA
329010,331511,NA,NA
331865,331988,MAL,NA
336206,337775,MAL,NA
336493,337519,NA,NA
341013,344488,MAL,NA
342492,342669,NA,NA
342787,342924,NA,NA
343594,343953,NA,NA
347004,349186,NA,NA
347041,347211,MAL,NA
347510,349987,MAL,NA
351454,359011,MAL,NA
351992,354491,NA,NA
353302,353702,FEM,NA
354665,354991,NA,NA
356496,358075,NA,NA
358302,358462,NA,NA
367511,371188,NA,NA
367546,371920,MAL,NA
369254,369492,FEM,NA
372288,374510,MAL,NA
372992,374295,NA,NA
376037,379491,MAL,NA
376655,379301,NA,NA
380744,384492,MAL,NA
380992,384382,NA,NA
400655,403800,MAL,NA
401186,404023,NA,NA
424492,424899,NA,NA
424555,424916,CHI,N
433735,434511,NA,NA
433785,434511,CHI,N
455384,468489,MAL,NA
455664,468011,NA,NA
459010,459272,CHI,N
474311,476301,MAL,NA
474512,475845,NA,NA
477492,490492,NA,NA
477703,480511,FEM,NA
480165,485118,MAL,NA
484512,487492,FEM,NA
487492,488493,CHI,N
488400,490492,FEM,NA
498089,500511,NA,NA
498219,499993,FEM,NA
499643,499991,MAL,NA
501491,509510,MAL,NA
502011,503948,NA,NA
505430,509026,NA,NA
512992,515511,MAL,NA
513329,515492,NA,NA
523991,525511,MAL,NA
524323,525994,NA,NA
529139,530310,NA,NA
529450,530012,FEM,NA
541345,542511,NA,NA
541571,541870,FEM,NA
541824,542325,OCH,NA
541995,542147,FEM,NA
546011,553492,MAL,NA
546991,549915,NA,NA
550992,553221,NA,NA
564325,572761,MAL,NA
564719,569508,NA,NA
570480,572205,NA,NA
576512,579445,NA,NA
576992,579555,MAL,NA
577115,577615,FEM,NA
593492,597491,MAL,NA
593992,596746,NA,NA
607689,609677,MAL,NA
615119,616344,NA,NA
616019,616213,FEM,NA
632620,634193,NA,NA
632634,634124,CHI,N
651883,657985,MAL,NA
652011,657490,NA,NA
663096,669492,MAL,NA
663665,669011,NA,NA
674511,677665,MAL,NA
675243,677192,NA,NA
689938,690343,NA,NA
693485,694104,CHI,N
693492,694096,NA,NA
715011,716444,MAL,NA
756992,757254,NA,NA
757492,758013,NA,NA
757492,758051,FEM,NA
758172,758639,FEM,NA
773012,774011,NA,NA
776426,777791,MAL,NA
776500,777286,NA,NA
778511,778686,NA,NA
778992,783493,NA,NA
779510,779716,FEM,NA
780013,783992,MAL,NA
780077,780511,FEM,NA
822992,825491,NA,NA
824730,824929,FEM,NA
835338,835512,NA,NA
842874,847639,CHI,N
842925,847763,NA,NA
853991,854919,MAL,NA
855029,855139,NA,NA
869493,870781,NA,NA
869493,870956,FEM,NA
873541,874648,CHI,N
873585,874626,NA,NA
886493,887330,NA,NA
886548,887058,OCH,NA
886778,887082,CHI,N
888011,888725,NA,NA
888104,888642,CHI,N
902134,906010,NA,NA
902198,903521,CHI,N
902991,903511,OCH,NA
904146,905970,CHI,N
909623,910781,FEM,NA
909676,910808,NA,NA
911491,912259,NA,NA
911513,912142,CHI,N
912737,913515,NA,NA
912811,913496,CHI,N
920047,920425,NA,NA
920050,920382,CHI,N
974492,975909,CHI,N
974492,975921,NA,NA
979493,980423,NA,NA
979526,979742,FEM,NA
980012,980375,FEM,NA
995576,997566,NA,NA
997117,997512,FEM,NA
998492,1000585,NA,NA
998492,1000586,CHI,N
1001843,1002732,CHI,N
1001864,1002720,NA,NA
1010014,1012540,NA,NA
1010021,1011130,CHI,N
1011545,1012112,CHI,N
1013595,1015539,NA,NA
1013595,1015556,CHI,N
1053493,1055132,CHI,C
1053493,1056669,NA,NA
1055369,1056511,FEM,NA
1061011,1066214,NA,NA
1061011,1066345,CHI,N
1068513,1069925,CHI,N
1068554,1069928,NA,NA
1072992,1074717,CHI,C
1073010,1074689,NA,NA
1082309,1083635,CHI,N
1082393,1083640,NA,NA
1087655,1090512,NA,NA
1087670,1090493,CHI,N
1097398,1099518,NA,NA
1097493,1099349,CHI,C
1102511,1102638,NA,NA
1103510,1104818,NA,NA
1103512,1104665,FEM,NA
1109511,1112010,CHI,N
1109511,1112511,NA,NA
1112641,1112747,NA,NA
1113909,1115512,MAL,NA
1114012,1115701,NA,NA
1116011,1123492,NA,NA
1116511,1119145,FEM,NA
1119488,1121687,MAL,NA
1121588,1122460,FEM,NA
1122152,1122255,MAL,NA
1141493,1141901,NA,NA
1141503,1141846,FEM,NA
1144493,1146469,NA,NA
1144630,1145683,CHI,N
1146040,1146219,MAL,NA
1149490,1151512,NA,NA
1149491,1150863,CHI,N
1150492,1150646,OCH,NA
1151918,1153992,NA,NA
1151987,1153519,CHI,N
1153143,1153376,OCH,NA
1155495,1157510,NA,NA
1155504,1157492,CHI,N
1159210,1161493,NA,NA
1159265,1161465,CHI,N
1174287,1174515,NA,NA
1175217,1175885,NA,NA
1178828,1179130,NA,NA
1178908,1179011,CHI,N
1185491,1186207,NA,NA
1185492,1186010,CHI,N
1187492,1187991,NA,NA
1187614,1187768,CHI,N
1200827,1201551,CHI,N
1200840,1201599,NA,NA
1219492,1220493,CHI,N
1219492,1220493,NA,NA
1223183,1223566,NA,NA
1223189,1223511,CHI,N
1227012,1227992,CHI,N
1227012,1228011,NA,NA
1240694,1242570,CHI,N
1240694,1242581,NA,NA
1247992,1248709,CHI,N
1247992,1248765,NA,NA
1262616,1263470,NA,NA
1262780,1262912,OCH,NA
1262993,1263337,CHI,N
1263055,1263187,OCH,NA
1270510,1274492,CHI,N
1270510,1274511,NA,NA
1326043,1327442,NA,NA
1326098,1327294,CHI,N
1341294,1341655,NA,NA
1342676,1343255,NA,NA
1342697,1343077,CHI,N
1371193,1371649,NA,NA
1391492,1392778,NA,NA
1391511,1392772,CHI,N
1397861,1399525,CHI,N
1397927,1399952,NA,NA
1412319,1418991,NA,NA
1412326,1418963,CHI,Y
1423011,1424498,NA,NA
1423011,1424511,CHI,N
1424950,1425929,CHI,N
1425011,1425907,NA,NA
1437092,1438464,NA,NA
1437095,1438418,CHI,N
1458511,1464930,NA,NA
1458613,1464862,CHI,N
1484568,1488881,NA,NA
1484700,1488760,CHI,Y
1484811,1486510,OCH,NA
1489352,1493188,NA,NA
1489433,1493200,CHI,Y
1493724,1494370,CHI,N
1493735,1494329,NA,NA
1496215,1506570,NA,NA
1496261,1499182,OCH,NA
1496262,1497492,NA,J
1497906,1499614,CHI,Y
1500147,1503137,CHI,Y
1500323,1501155,OCH,NA
1503530,1504551,OCH,NA
1504011,1505030,FEM,NA
1505459,1506431,CHI,N
1506853,1507992,NA,NA
1509644,1512493,NA,NA
1509739,1510011,CHI,N
1510917,1511482,OCH,NA
1511062,1511273,FEM,NA
1517511,1530491,NA,NA
1517513,1530503,CHI,Y
1532437,1541825,NA,NA
1532454,1538011,CHI,Y
1538948,1539112,FEM,NA
1539012,1540991,CHI,N
1540485,1543533,MAL,NA
1542011,1542747,NA,NA
1543863,1546992,NA,NA
1544643,1546741,FEM,NA
1547512,1552515,NA,NA
1548011,1549633,CHI,Y
1549636,1550492,FEM,NA
