segment_onset,segment_offset,speaker_type,phonemes,syllables,words,raw_filename
10992,12990,MAL,16.82,7.95,5.49,20220731_113759_045737_2.txt
36005,36641,FEM,6.84,2.85,1.99,20220731_113759_045737_2.txt
39202,39497,FEM,8.02,3.74,2.33,20220731_113759_045737_2.txt
62525,64511,MAL,12.98,5.54,4.27,20220731_113759_045737_2.txt
68604,72018,MAL,22.8,10.04,7.62,20220731_113759_045737_2.txt
80511,83012,MAL,19.09,8.77,6.33,20220731_113759_045737_2.txt
82171,82510,FEM,10.48,5.08,3.15,20220731_113759_045737_2.txt
86010,87991,MAL,15.85,7.22,5.22,20220731_113759_045737_2.txt
103275,105784,MAL,21.79,10.36,7.18,20220731_113759_045737_2.txt
116513,117487,MAL,13.45,6.61,4.25,20220731_113759_045737_2.txt
119011,120992,MAL,21.31,10.75,6.99,20220731_113759_045737_2.txt
120012,120952,FEM,12.63,6.14,3.97,20220731_113759_045737_2.txt
122511,122692,FEM,10.22,4.99,3.04,20220731_113759_045737_2.txt
132011,132988,MAL,11.94,5.56,3.7,20220731_113759_045737_2.txt
132023,132511,FEM,9.52,4.5,2.86,20220731_113759_045737_2.txt
138019,140441,MAL,27.65,14.07,9.07,20220731_113759_045737_2.txt
141991,144510,MAL,30.3,15.28,9.76,20220731_113759_045737_2.txt
147396,150045,MAL,29.36,15.0,9.68,20220731_113759_045737_2.txt
152511,154583,MAL,24.56,12.76,8.14,20220731_113759_045737_2.txt
162891,165532,FEM,26.76,13.44,8.86,20220731_113759_045737_2.txt
164992,165586,MAL,12.76,6.27,3.96,20220731_113759_045737_2.txt
165748,172010,MAL,57.05,28.9,19.25,20220731_113759_045737_2.txt
173510,181991,MAL,81.22,41.62,27.31,20220731_113759_045737_2.txt
188482,190490,MAL,19.93,9.75,6.48,20220731_113759_045737_2.txt
197544,201408,MAL,33.34,16.16,11.1,20220731_113759_045737_2.txt
216493,219011,FEM,23.03,11.18,7.55,20220731_113759_045737_2.txt
218012,220493,MAL,20.41,9.63,6.77,20220731_113759_045737_2.txt
220582,223493,FEM,29.07,14.66,9.68,20220731_113759_045737_2.txt
225045,232492,MAL,55.89,27.76,19.37,20220731_113759_045737_2.txt
227011,230492,FEM,28.39,13.67,9.44,20220731_113759_045737_2.txt
241161,243037,FEM,17.83,8.62,5.76,20220731_113759_045737_2.txt
245951,247492,MAL,17.37,8.44,5.5,20220731_113759_045737_2.txt
246011,246757,FEM,11.06,5.24,3.37,20220731_113759_045737_2.txt
246949,247511,FEM,9.54,4.51,2.88,20220731_113759_045737_2.txt
249291,249796,MAL,9.82,4.67,2.96,20220731_113759_045737_2.txt
250037,250209,MAL,9.48,4.58,2.79,20220731_113759_045737_2.txt
250606,251791,FEM,13.82,6.62,4.36,20220731_113759_045737_2.txt
254497,256984,MAL,23.55,11.53,7.76,20220731_113759_045737_2.txt
289545,292012,MAL,22.3,11.0,7.45,20220731_113759_045737_2.txt
298013,298668,MAL,8.72,3.9,2.62,20220731_113759_045737_2.txt
343432,344011,MAL,9.83,4.45,2.98,20220731_113759_045737_2.txt
394011,395368,MAL,12.9,6.0,4.08,20220731_113759_045737_2.txt
424536,424836,MAL,6.16,2.68,1.71,20220731_113759_045737_2.txt
443939,444759,FEM,9.27,4.3,2.83,20220731_113759_045737_2.txt
446059,446206,FEM,8.02,3.75,2.3,20220731_113759_045737_2.txt
446492,446629,FEM,6.62,2.98,1.84,20220731_113759_045737_2.txt
448792,449118,FEM,11.94,5.82,3.64,20220731_113759_045737_2.txt
466838,467712,FEM,11.6,5.38,3.57,20220731_113759_045737_2.txt
477107,477946,FEM,10.57,4.79,3.27,20220731_113759_045737_2.txt
492011,494011,FEM,18.75,8.8,6.09,20220731_113759_045737_2.txt
497397,500347,MAL,22.52,10.32,7.5,20220731_113759_045737_2.txt
501636,503511,FEM,17.87,8.55,5.82,20220731_113759_045737_2.txt
508511,509896,MAL,13.38,6.25,4.24,20220731_113759_045737_2.txt
510492,513992,FEM,24.47,11.15,8.3,20220731_113759_045737_2.txt
516041,517011,FEM,11.16,5.01,3.44,20220731_113759_045737_2.txt
528491,529178,FEM,13.98,6.87,4.38,20220731_113759_045737_2.txt
531492,532012,FEM,15.46,7.76,4.85,20220731_113759_045737_2.txt
546569,548238,FEM,12.98,5.49,4.11,20220731_113759_045737_2.txt
550032,551510,FEM,12.63,5.68,4.01,20220731_113759_045737_2.txt
564398,568018,MAL,26.26,12.21,8.86,20220731_113759_045737_2.txt
567493,569012,FEM,17.31,8.31,5.58,20220731_113759_045737_2.txt
568512,571487,MAL,18.47,8.03,6.21,20220731_113759_045737_2.txt
577943,578221,MAL,10.4,4.98,3.12,20220731_113759_045737_2.txt
580492,584012,MAL,22.93,10.25,7.73,20220731_113759_045737_2.txt
599493,601704,FEM,20.82,10.02,6.76,20220731_113759_045737_2.txt
611126,612135,MAL,12.11,5.62,3.76,20220731_113759_045737_2.txt
615485,617010,FEM,12.58,5.67,4.0,20220731_113759_045737_2.txt
617234,617492,FEM,6.68,2.95,1.88,20220731_113759_045737_2.txt
619993,620241,MAL,9.9,4.78,2.95,20220731_113759_045737_2.txt
632942,633096,MAL,11.95,5.9,3.61,20220731_113759_045737_2.txt
652025,653186,FEM,11.24,5.12,3.5,20220731_113759_045737_2.txt
677992,680010,FEM,16.22,7.18,5.3,20220731_113759_045737_2.txt
680851,681511,MAL,11.49,5.46,3.54,20220731_113759_045737_2.txt
686897,687105,MAL,12.09,6.0,3.67,20220731_113759_045737_2.txt
702992,704359,MAL,15.1,7.11,4.82,20220731_113759_045737_2.txt
719012,721018,FEM,19.87,9.61,6.51,20220731_113759_045737_2.txt
747551,748025,MAL,9.9,4.7,2.99,20220731_113759_045737_2.txt
749886,750342,FEM,3.81,1.24,0.95,20220731_113759_045737_2.txt
751938,752421,FEM,4.27,1.48,1.11,20220731_113759_045737_2.txt
765560,766034,FEM,10.94,5.24,3.33,20220731_113759_045737_2.txt
