segment_onset,segment_offset,speaker_type,phonemes,syllables,words,raw_filename
197913,198090,MAL,6.86,3.09,1.92,20210414_212304_024884_2.txt
267373,268308,MAL,11.83,5.66,3.65,20210414_212304_024884_2.txt
292552,293016,MAL,12.41,6.12,3.77,20210414_212304_024884_2.txt
294746,296761,MAL,26.15,13.07,8.34,20210414_212304_024884_2.txt
303991,304686,MAL,14.77,7.3,4.54,20210414_212304_024884_2.txt
441663,443435,MAL,19.86,9.86,6.42,20210414_212304_024884_2.txt
442915,443511,FEM,11.16,5.24,3.37,20210414_212304_024884_2.txt
451011,452992,MAL,21.15,10.44,6.93,20210414_212304_024884_2.txt
506513,507991,MAL,12.33,5.6,3.91,20210414_212304_024884_2.txt
603298,603482,MAL,11.73,5.84,3.55,20210414_212304_024884_2.txt
606798,608173,MAL,13.77,6.41,4.37,20210414_212304_024884_2.txt
609069,609282,FEM,10.24,4.94,3.05,20210414_212304_024884_2.txt
627991,631511,MAL,29.91,14.26,9.85,20210414_212304_024884_2.txt
634387,635511,MAL,9.45,4.11,2.84,20210414_212304_024884_2.txt
636992,637284,FEM,14.2,7.15,4.39,20210414_212304_024884_2.txt
637492,638867,FEM,17.81,8.77,5.72,20210414_212304_024884_2.txt
639492,640511,MAL,12.89,5.96,4.02,20210414_212304_024884_2.txt
640011,641511,FEM,17.01,8.06,5.42,20210414_212304_024884_2.txt
640675,640795,MAL,13.16,6.62,4.01,20210414_212304_024884_2.txt
723014,723144,FEM,8.88,4.24,2.59,20210414_212304_024884_2.txt
724319,724493,FEM,10.5,5.15,3.13,20210414_212304_024884_2.txt
724358,725141,MAL,13.21,6.51,4.09,20210414_212304_024884_2.txt
1004537,1005263,FEM,12.37,5.82,3.85,20210414_212304_024884_2.txt
1176753,1177141,FEM,11.81,5.81,3.61,20210414_212304_024884_2.txt
1199512,1201088,MAL,20.69,10.2,6.66,20210414_212304_024884_2.txt
1208007,1208765,MAL,8.47,3.75,2.56,20210414_212304_024884_2.txt
1265478,1266011,FEM,7.7,3.5,2.26,20210414_212304_024884_2.txt
1272360,1273492,FEM,12.22,5.67,3.82,20210414_212304_024884_2.txt
1275500,1276349,MAL,12.76,6.03,3.95,20210414_212304_024884_2.txt
1276626,1277384,FEM,11.41,5.3,3.48,20210414_212304_024884_2.txt
1283286,1285011,FEM,18.21,8.46,5.75,20210414_212304_024884_2.txt
1292924,1295011,FEM,20.36,9.77,6.48,20210414_212304_024884_2.txt
1297939,1299206,FEM,13.57,6.31,4.24,20210414_212304_024884_2.txt
1313511,1314927,FEM,11.15,5.04,3.51,20210414_212304_024884_2.txt
1316547,1318093,MAL,14.66,7.06,4.75,20210414_212304_024884_2.txt
1334492,1334603,FEM,9.11,4.39,2.66,20210414_212304_024884_2.txt
1361991,1362433,MAL,9.29,4.28,2.78,20210414_212304_024884_2.txt
1366131,1366484,FEM,9.43,4.43,2.81,20210414_212304_024884_2.txt
1383134,1385859,MAL,22.64,10.84,7.5,20210414_212304_024884_2.txt
1391011,1396992,MAL,49.56,24.16,16.6,20210414_212304_024884_2.txt
1397512,1400796,MAL,24.72,11.25,8.18,20210414_212304_024884_2.txt
1425985,1427202,MAL,13.87,6.51,4.33,20210414_212304_024884_2.txt
1429512,1433991,MAL,33.62,16.18,11.4,20210414_212304_024884_2.txt
1434628,1435457,MAL,11.29,5.41,3.46,20210414_212304_024884_2.txt
1447242,1449510,MAL,17.62,8.32,5.75,20210414_212304_024884_2.txt
1454347,1455668,FEM,9.08,4.0,2.86,20210414_212304_024884_2.txt
1503993,1505149,FEM,11.66,5.48,3.63,20210414_212304_024884_2.txt
1509492,1510010,FEM,7.04,3.11,1.99,20210414_212304_024884_2.txt
1532491,1532656,FEM,5.83,2.56,1.58,20210414_212304_024884_2.txt
1563011,1563349,FEM,8.41,3.93,2.47,20210414_212304_024884_2.txt
1564513,1567510,MAL,22.34,10.47,7.45,20210414_212304_024884_2.txt
1581272,1582792,MAL,16.62,8.19,5.35,20210414_212304_024884_2.txt
1592087,1593559,MAL,14.07,6.78,4.49,20210414_212304_024884_2.txt
1643510,1645992,MAL,26.25,13.01,8.51,20210414_212304_024884_2.txt
1665012,1668730,MAL,35.81,17.76,11.74,20210414_212304_024884_2.txt
2007492,2008103,FEM,8.63,3.95,2.59,20210414_212304_024884_2.txt
2108823,2112011,FEM,30.35,15.12,10.1,20210414_212304_024884_2.txt
2113511,2113904,FEM,11.64,5.75,3.55,20210414_212304_024884_2.txt
2115347,2116813,MAL,20.63,10.15,6.46,20210414_212304_024884_2.txt
2115492,2115770,FEM,11.57,5.72,3.51,20210414_212304_024884_2.txt
2116108,2116282,FEM,9.64,4.67,2.85,20210414_212304_024884_2.txt
2117510,2120011,FEM,26.46,13.26,8.69,20210414_212304_024884_2.txt
2120494,2121334,FEM,14.26,7.09,4.5,20210414_212304_024884_2.txt
2122991,2125070,FEM,21.65,10.69,7.06,20210414_212304_024884_2.txt
2128275,2130011,FEM,18.43,9.1,5.99,20210414_212304_024884_2.txt
2130275,2130992,FEM,12.33,5.89,3.73,20210414_212304_024884_2.txt
2337010,2338412,MAL,18.27,9.12,5.88,20210414_212304_024884_2.txt
2354965,2357289,MAL,21.9,10.64,7.14,20210414_212304_024884_2.txt
2366511,2374010,MAL,64.09,31.95,21.64,20210414_212304_024884_2.txt
2383992,2384794,FEM,9.06,4.08,2.71,20210414_212304_024884_2.txt
2400384,2401489,MAL,12.77,6.16,3.99,20210414_212304_024884_2.txt
2402943,2405991,MAL,25.65,12.68,8.61,20210414_212304_024884_2.txt
2423127,2423520,MAL,10.48,5.11,3.16,20210414_212304_024884_2.txt
2426492,2427989,MAL,16.21,7.78,5.21,20210414_212304_024884_2.txt
2429652,2431429,MAL,19.83,9.82,6.46,20210414_212304_024884_2.txt
2449492,2450511,FEM,16.04,7.85,5.02,20210414_212304_024884_2.txt
2516133,2516577,MAL,11.61,5.73,3.55,20210414_212304_024884_2.txt
2521699,2523474,FEM,19.92,9.82,6.33,20210414_212304_024884_2.txt
2523511,2524510,MAL,14.29,6.96,4.48,20210414_212304_024884_2.txt
2523712,2523850,FEM,10.01,4.88,2.96,20210414_212304_024884_2.txt
2523977,2527492,FEM,31.51,15.63,10.54,20210414_212304_024884_2.txt
2548252,2554383,MAL,59.53,29.97,19.74,20210414_212304_024884_2.txt
2559296,2561856,MAL,27.44,13.58,8.86,20210414_212304_024884_2.txt
2699232,2700160,FEM,15.47,7.57,4.76,20210414_212304_024884_2.txt
2719492,2721063,FEM,19.62,9.67,6.25,20210414_212304_024884_2.txt
2751992,2753011,FEM,14.71,7.26,4.63,20210414_212304_024884_2.txt
2784110,2785011,FEM,5.86,2.33,1.71,20210414_212304_024884_2.txt
2969771,2969882,MAL,11.78,5.87,3.55,20210414_212304_024884_2.txt
2970331,2970523,MAL,10.54,5.17,3.15,20210414_212304_024884_2.txt
2986357,2994234,FEM,65.97,34.01,22.81,20210414_212304_024884_2.txt
3000993,3002117,FEM,13.73,6.69,4.32,20210414_212304_024884_2.txt
3003011,3004511,FEM,17.43,8.65,5.61,20210414_212304_024884_2.txt
3006492,3007003,MAL,10.58,5.06,3.17,20210414_212304_024884_2.txt
3011826,3013006,MAL,15.1,7.46,4.78,20210414_212304_024884_2.txt
3016805,3017426,MAL,8.47,3.85,2.53,20210414_212304_024884_2.txt
3028308,3029727,FEM,16.08,8.02,5.15,20210414_212304_024884_2.txt
