segment_onset,segment_offset,speaker_type,phonemes,syllables,words,raw_filename
1213,2388,FEM,14.49,6.99,4.58,20200414_130727_024883_3.txt
3011,7512,FEM,31.08,14.73,10.61,20200414_130727_024883_3.txt
22972,24400,MAL,14.62,6.79,4.61,20200414_130727_024883_3.txt
26603,28253,MAL,14.64,6.55,4.66,20200414_130727_024883_3.txt
27992,29543,FEM,15.16,7.15,4.87,20200414_130727_024883_3.txt
31474,32075,FEM,9.26,4.41,2.79,20200414_130727_024883_3.txt
33991,34511,FEM,7.13,3.15,2.07,20200414_130727_024883_3.txt
35385,36511,MAL,10.12,4.48,3.12,20200414_130727_024883_3.txt
36492,38946,FEM,17.91,8.03,5.94,20200414_130727_024883_3.txt
42358,43293,MAL,11.3,5.11,3.48,20200414_130727_024883_3.txt
43438,43566,MAL,9.82,4.76,2.9,20200414_130727_024883_3.txt
43742,44373,MAL,10.65,5.08,3.26,20200414_130727_024883_3.txt
71493,71972,MAL,7.38,3.19,2.15,20200414_130727_024883_3.txt
76624,78065,FEM,15.23,7.16,4.82,20200414_130727_024883_3.txt
80315,80431,MAL,11.39,5.64,3.42,20200414_130727_024883_3.txt
81010,82411,FEM,17.24,8.43,5.48,20200414_130727_024883_3.txt
114492,117489,MAL,27.28,13.61,9.15,20200414_130727_024883_3.txt
114541,114992,FEM,9.5,4.51,2.85,20200414_130727_024883_3.txt
117190,118493,FEM,13.82,6.6,4.38,20200414_130727_024883_3.txt
119510,122510,MAL,25.25,12.21,8.42,20200414_130727_024883_3.txt
119963,120505,FEM,10.64,5.09,3.24,20200414_130727_024883_3.txt
129360,129476,FEM,8.16,3.85,2.34,20200414_130727_024883_3.txt
129511,132739,MAL,24.59,11.64,8.24,20200414_130727_024883_3.txt
140010,141011,FEM,12.05,5.56,3.74,20200414_130727_024883_3.txt
140520,142601,MAL,22.5,10.96,7.19,20200414_130727_024883_3.txt
144291,144519,FEM,9.01,4.28,2.65,20200414_130727_024883_3.txt
148004,148510,MAL,7.59,3.37,2.22,20200414_130727_024883_3.txt
151723,152936,FEM,16.79,8.09,5.3,20200414_130727_024883_3.txt
152493,152697,MAL,12.87,6.41,3.93,20200414_130727_024883_3.txt
155356,157835,MAL,24.15,11.94,7.97,20200414_130727_024883_3.txt
159492,160010,FEM,9.12,4.15,2.73,20200414_130727_024883_3.txt
163011,164511,FEM,14.94,7.05,4.84,20200414_130727_024883_3.txt
169992,170108,MAL,12.22,6.1,3.7,20200414_130727_024883_3.txt
171492,173259,FEM,18.68,8.86,5.97,20200414_130727_024883_3.txt
171543,172392,MAL,11.69,5.39,3.59,20200414_130727_024883_3.txt
174511,174857,FEM,8.56,4.0,2.52,20200414_130727_024883_3.txt
174962,177370,FEM,21.31,10.26,7.01,20200414_130727_024883_3.txt
180002,181992,FEM,20.86,10.42,6.84,20200414_130727_024883_3.txt
180617,180990,MAL,10.74,5.24,3.25,20200414_130727_024883_3.txt
182490,183011,MAL,11.0,5.28,3.31,20200414_130727_024883_3.txt
186454,190511,FEM,35.85,18.25,12.18,20200414_130727_024883_3.txt
192291,193012,FEM,9.51,4.36,2.9,20200414_130727_024883_3.txt
192512,195841,MAL,28.82,14.35,9.72,20200414_130727_024883_3.txt
197044,197324,MAL,11.9,5.89,3.62,20200414_130727_024883_3.txt
197490,198253,MAL,13.65,6.75,4.28,20200414_130727_024883_3.txt
199299,202011,MAL,26.86,13.48,8.85,20200414_130727_024883_3.txt
204302,204511,FEM,8.46,3.99,2.46,20200414_130727_024883_3.txt
204513,204677,MAL,9.26,4.44,2.72,20200414_130727_024883_3.txt
207350,208511,FEM,13.32,6.28,4.19,20200414_130727_024883_3.txt
215511,216728,FEM,16.07,7.8,5.11,20200414_130727_024883_3.txt
217433,220011,MAL,23.56,11.48,7.84,20200414_130727_024883_3.txt
222161,223992,MAL,16.23,7.77,5.32,20200414_130727_024883_3.txt
227492,227926,FEM,11.77,5.79,3.6,20200414_130727_024883_3.txt
229993,233896,MAL,30.81,15.08,10.48,20200414_130727_024883_3.txt
241324,242517,FEM,15.32,7.39,4.81,20200414_130727_024883_3.txt
241606,242084,MAL,10.54,5.04,3.15,20200414_130727_024883_3.txt
245239,245644,MAL,9.33,4.4,2.78,20200414_130727_024883_3.txt
248511,248795,FEM,11.56,5.66,3.51,20200414_130727_024883_3.txt
254008,260012,MAL,48.17,24.05,16.61,20200414_130727_024883_3.txt
263194,263310,MAL,9.93,4.81,2.94,20200414_130727_024883_3.txt
263706,264089,MAL,7.96,3.53,2.32,20200414_130727_024883_3.txt
268010,269011,MAL,12.16,5.71,3.77,20200414_130727_024883_3.txt
272271,272776,MAL,10.67,5.11,3.19,20200414_130727_024883_3.txt
279626,280537,MAL,10.82,5.07,3.37,20200414_130727_024883_3.txt
284077,289011,MAL,35.82,17.12,12.32,20200414_130727_024883_3.txt
290976,291637,MAL,9.63,4.5,2.93,20200414_130727_024883_3.txt
305164,305542,FEM,10.05,4.76,3.02,20200414_130727_024883_3.txt
315492,317477,MAL,20.7,10.05,6.68,20200414_130727_024883_3.txt
316511,316810,FEM,9.22,4.33,2.73,20200414_130727_024883_3.txt
318679,320510,MAL,18.42,9.04,5.95,20200414_130727_024883_3.txt
319705,321011,FEM,14.2,6.77,4.45,20200414_130727_024883_3.txt
320679,320855,MAL,10.62,5.15,3.17,20200414_130727_024883_3.txt
332070,333990,MAL,14.43,6.49,4.69,20200414_130727_024883_3.txt
347490,347824,FEM,12.15,6.01,3.71,20200414_130727_024883_3.txt
347986,348772,FEM,14.17,7.0,4.41,20200414_130727_024883_3.txt
