segment_onset,segment_offset,speaker_type,phonemes,syllables,words,raw_filename
25491,27376,FEM,18.62,8.98,6.02,20201104_094551_024882_1.txt
29012,30146,FEM,14.09,6.79,4.49,20201104_094551_024882_1.txt
32493,34459,FEM,20.0,9.8,6.5,20201104_094551_024882_1.txt
36005,36744,FEM,10.96,5.22,3.38,20201104_094551_024882_1.txt
44700,45837,FEM,14.35,6.9,4.47,20201104_094551_024882_1.txt
51634,51828,FEM,6.7,2.97,1.87,20201104_094551_024882_1.txt
51972,53492,FEM,14.92,6.85,4.73,20201104_094551_024882_1.txt
60386,61211,FEM,12.79,6.19,4.01,20201104_094551_024882_1.txt
82758,83571,FEM,10.02,4.61,3.08,20201104_094551_024882_1.txt
84630,90511,FEM,40.34,18.56,13.56,20201104_094551_024882_1.txt
92792,93457,FEM,7.42,3.24,2.19,20201104_094551_024882_1.txt
98518,99510,FEM,13.51,6.42,4.22,20201104_094551_024882_1.txt
187581,189549,FEM,23.15,11.47,7.44,20201104_094551_024882_1.txt
187989,189491,MAL,19.58,9.71,6.22,20201104_094551_024882_1.txt
194560,196492,FEM,17.65,8.34,5.71,20201104_094551_024882_1.txt
197071,199493,FEM,20.29,9.78,6.67,20201104_094551_024882_1.txt
201214,204511,FEM,30.95,15.72,10.37,20201104_094551_024882_1.txt
207034,208743,MAL,17.77,8.62,5.71,20201104_094551_024882_1.txt
207525,207739,FEM,8.13,3.82,2.35,20201104_094551_024882_1.txt
207851,209717,FEM,18.51,9.1,6.04,20201104_094551_024882_1.txt
210345,211741,MAL,14.53,7.0,4.63,20201104_094551_024882_1.txt
210949,211511,FEM,8.91,4.22,2.67,20201104_094551_024882_1.txt
216088,216312,FEM,8.88,4.21,2.6,20201104_094551_024882_1.txt
227927,228992,FEM,12.06,5.9,3.81,20201104_094551_024882_1.txt
230138,231765,FEM,18.61,9.15,5.97,20201104_094551_024882_1.txt
238393,240511,FEM,21.52,10.68,7.03,20201104_094551_024882_1.txt
