segment_onset,segment_offset,speaker_type,phonemes,syllables,words,raw_filename
1011,2493,FEM,18.56,9.12,5.88,20170901_162854_009463.txt
6492,10611,FEM,34.19,16.78,11.43,20170901_162854_009463.txt
15355,17993,FEM,23.04,11.23,7.62,20170901_162854_009463.txt
18510,25943,FEM,69.41,35.09,23.19,20170901_162854_009463.txt
31492,33510,FEM,19.08,8.96,6.04,20170901_162854_009463.txt
39781,39882,MAL,7.3,3.37,2.05,20170901_162854_009463.txt
40492,41012,FEM,8.09,3.65,2.39,20170901_162854_009463.txt
48922,49265,FEM,8.16,3.74,2.39,20170901_162854_009463.txt
50995,51493,FEM,7.44,3.3,2.17,20170901_162854_009463.txt
52495,59959,FEM,64.62,33.45,22.23,20170901_162854_009463.txt
60257,62431,FEM,22.03,11.16,7.26,20170901_162854_009463.txt
62993,64063,FEM,12.52,6.01,3.91,20170901_162854_009463.txt
64655,67060,FEM,20.75,10.04,6.82,20170901_162854_009463.txt
70011,70512,FEM,5.5,2.16,1.52,20170901_162854_009463.txt
72887,73211,FEM,5.48,2.22,1.49,20170901_162854_009463.txt
73332,74319,FEM,5.56,1.96,1.63,20170901_162854_009463.txt
74491,74950,FEM,6.38,2.74,1.81,20170901_162854_009463.txt
80749,81286,FEM,7.05,3.07,2.05,20170901_162854_009463.txt
81511,81670,FEM,10.49,5.14,3.13,20170901_162854_009463.txt
106483,106993,FEM,7.04,3.03,2.04,20170901_162854_009463.txt
106491,106952,MAL,7.13,3.11,2.06,20170901_162854_009463.txt
107080,107195,MAL,6.4,2.85,1.76,20170901_162854_009463.txt
115928,116313,MAL,8.25,3.83,2.42,20170901_162854_009463.txt
116993,117270,FEM,7.47,3.41,2.14,20170901_162854_009463.txt
121993,122737,FEM,11.14,5.31,3.39,20170901_162854_009463.txt
129857,130016,FEM,9.79,4.74,2.89,20170901_162854_009463.txt
174850,176592,FEM,12.99,5.96,4.23,20170901_162854_009463.txt
176953,177520,FEM,6.89,2.93,2.0,20170901_162854_009463.txt
177728,177914,FEM,3.75,1.35,0.89,20170901_162854_009463.txt
179194,180510,FEM,12.94,6.03,4.09,20170901_162854_009463.txt
196800,196911,MAL,9.83,4.72,2.9,20170901_162854_009463.txt
197115,198465,FEM,16.93,8.34,5.42,20170901_162854_009463.txt
198615,201165,MAL,26.25,13.37,8.73,20170901_162854_009463.txt
203690,204915,FEM,13.46,6.52,4.3,20170901_162854_009463.txt
207696,209203,FEM,14.92,7.19,4.78,20170901_162854_009463.txt
220992,222070,MAL,14.25,7.0,4.53,20170901_162854_009463.txt
245492,247662,FEM,21.07,9.98,6.84,20170901_162854_009463.txt
249974,252011,FEM,23.81,11.79,7.67,20170901_162854_009463.txt
