segment_onset,segment_offset,speaker_type,phonemes,syllables,words,raw_filename
36137510,36137859,FEM,7.86,3.64,2.28,20181115_130044_024882.txt
36138511,36139900,FEM,11.76,5.48,3.76,20181115_130044_024882.txt
36141491,36143962,FEM,21.04,10.24,6.98,20181115_130044_024882.txt
36145518,36147027,MAL,16.64,8.07,5.3,20181115_130044_024882.txt
36151512,36153610,MAL,18.94,9.31,6.22,20181115_130044_024882.txt
36154510,36156511,FEM,19.67,9.62,6.39,20181115_130044_024882.txt
36160493,36162580,MAL,21.36,10.59,7.02,20181115_130044_024882.txt
36164146,36165012,MAL,11.82,5.62,3.64,20181115_130044_024882.txt
36166306,36167481,MAL,14.41,6.93,4.5,20181115_130044_024882.txt
36167011,36168268,FEM,14.53,6.99,4.61,20181115_130044_024882.txt
36168454,36172492,FEM,34.93,17.16,11.66,20181115_130044_024882.txt
36173498,36176927,MAL,29.94,14.97,10.11,20181115_130044_024882.txt
36178237,36178799,MAL,11.09,5.35,3.39,20181115_130044_024882.txt
36180511,36186011,MAL,46.99,23.87,16.03,20181115_130044_024882.txt
36182874,36183011,FEM,7.3,3.36,2.06,20181115_130044_024882.txt
36190010,36191991,MAL,19.15,9.32,6.32,20181115_130044_024882.txt
36192442,36193488,MAL,15.12,7.38,4.77,20181115_130044_024882.txt
36193328,36199992,FEM,49.45,24.45,17.1,20181115_130044_024882.txt
36201212,36202235,MAL,12.33,5.8,3.83,20181115_130044_024882.txt
36202564,36203818,MAL,13.41,6.34,4.23,20181115_130044_024882.txt
36204017,36206491,MAL,21.44,10.35,7.06,20181115_130044_024882.txt
36206816,36207344,MAL,7.89,3.53,2.33,20181115_130044_024882.txt
36208011,36210991,MAL,24.74,12.07,8.3,20181115_130044_024882.txt
36214957,36215436,MAL,7.09,3.08,2.05,20181115_130044_024882.txt
36218104,36218207,MAL,8.93,4.28,2.6,20181115_130044_024882.txt
36219025,36223494,MAL,35.77,17.34,12.07,20181115_130044_024882.txt
36225853,36226493,FEM,9.07,4.26,2.74,20181115_130044_024882.txt
36229012,36229142,FEM,6.22,2.78,1.7,20181115_130044_024882.txt
36239010,36241703,FEM,20.03,9.62,6.68,20181115_130044_024882.txt
36242957,36245127,FEM,14.9,6.73,4.83,20181115_130044_024882.txt
36246310,36246620,FEM,7.62,3.47,2.2,20181115_130044_024882.txt
36246847,36253050,FEM,48.6,24.1,16.58,20181115_130044_024882.txt
36252070,36252384,MAL,6.83,3.07,1.94,20181115_130044_024882.txt
36252883,36252989,MAL,8.9,4.27,2.59,20181115_130044_024882.txt
36254550,36257993,FEM,27.86,13.78,9.42,20181115_130044_024882.txt
36257588,36259147,MAL,17.28,8.43,5.52,20181115_130044_024882.txt
36259491,36264491,FEM,39.99,19.96,13.67,20181115_130044_024882.txt
36271640,36277344,FEM,49.19,25.09,16.74,20181115_130044_024882.txt
36277494,36279387,MAL,19.41,9.73,6.39,20181115_130044_024882.txt
36282317,36285012,FEM,24.73,12.32,8.25,20181115_130044_024882.txt
36284218,36286348,MAL,21.86,11.01,7.2,20181115_130044_024882.txt
36286010,36288511,FEM,23.4,11.68,7.67,20181115_130044_024882.txt
36289841,36291512,FEM,16.21,7.47,4.97,20181115_130044_024882.txt
36293594,36293992,FEM,5.16,2.05,1.39,20181115_130044_024882.txt
36296422,36298685,FEM,21.76,10.45,6.97,20181115_130044_024882.txt
36298513,36300462,MAL,20.53,10.16,6.67,20181115_130044_024882.txt
36301492,36303726,MAL,23.15,11.6,7.59,20181115_130044_024882.txt
36303491,36304510,FEM,12.75,6.17,3.97,20181115_130044_024882.txt
36304011,36304136,MAL,9.67,4.7,2.85,20181115_130044_024882.txt
36304244,36305145,MAL,14.12,6.95,4.41,20181115_130044_024882.txt
36307511,36307713,FEM,8.87,4.21,2.6,20181115_130044_024882.txt
36307992,36315012,FEM,55.58,28.32,19.26,20181115_130044_024882.txt
36317666,36318570,MAL,14.04,6.89,4.38,20181115_130044_024882.txt
36322511,36324784,FEM,21.91,10.96,7.24,20181115_130044_024882.txt
36330010,36335877,FEM,59.13,30.2,19.61,20181115_130044_024882.txt
36336511,36340512,FEM,34.08,17.23,11.58,20181115_130044_024882.txt
36342376,36342725,MAL,8.75,4.11,2.58,20181115_130044_024882.txt
36342980,36345010,MAL,20.55,10.36,6.8,20181115_130044_024882.txt
36345618,36348011,FEM,26.98,13.47,8.68,20181115_130044_024882.txt
36347908,36350007,MAL,20.67,10.3,6.79,20181115_130044_024882.txt
36350195,36350333,MAL,11.59,5.76,3.49,20181115_130044_024882.txt
36350630,36350784,MAL,10.88,5.36,3.26,20181115_130044_024882.txt
36352414,36355219,FEM,18.58,8.48,6.16,20181115_130044_024882.txt
36355993,36364798,FEM,66.61,33.41,23.12,20181115_130044_024882.txt
36360822,36363301,MAL,20.68,9.78,6.76,20181115_130044_024882.txt
36365510,36369398,FEM,30.14,14.65,10.14,20181115_130044_024882.txt
36367036,36370011,MAL,23.33,11.15,7.72,20181115_130044_024882.txt
36380536,36382900,MAL,18.35,8.51,6.06,20181115_130044_024882.txt
36395376,36395725,FEM,6.66,2.99,1.89,20181115_130044_024882.txt
36398226,36398479,MAL,8.86,4.23,2.6,20181115_130044_024882.txt
36398611,36399993,MAL,15.87,7.78,5.08,20181115_130044_024882.txt
36408801,36412991,MAL,32.6,15.96,11.07,20181115_130044_024882.txt
36413602,36415494,FEM,19.25,9.35,6.23,20181115_130044_024882.txt
36418012,36419993,FEM,17.54,8.38,5.73,20181115_130044_024882.txt
36419011,36421512,MAL,22.77,11.28,7.61,20181115_130044_024882.txt
36423879,36426010,MAL,15.72,7.22,5.15,20181115_130044_024882.txt
36426993,36428512,FEM,14.17,6.63,4.53,20181115_130044_024882.txt
36428010,36432511,MAL,36.12,17.86,12.29,20181115_130044_024882.txt
36433981,36434511,FEM,8.42,3.79,2.45,20181115_130044_024882.txt
36434279,36436387,MAL,19.72,9.6,6.43,20181115_130044_024882.txt
36442589,36445083,FEM,19.12,9.1,6.35,20181115_130044_024882.txt
36446748,36446898,FEM,10.93,5.36,3.27,20181115_130044_024882.txt
36449011,36452605,FEM,27.16,13.13,9.21,20181115_130044_024882.txt
36454013,36456764,FEM,24.12,11.87,8.0,20181115_130044_024882.txt
36455770,36457584,MAL,16.51,7.9,5.36,20181115_130044_024882.txt
36458195,36459012,FEM,10.71,4.91,3.21,20181115_130044_024882.txt
36458243,36458489,MAL,8.43,3.94,2.46,20181115_130044_024882.txt
36469705,36470996,FEM,12.52,5.84,3.94,20181115_130044_024882.txt
36479492,36481100,FEM,17.71,8.77,5.72,20181115_130044_024882.txt
36484992,36485800,FEM,9.49,4.25,2.85,20181115_130044_024882.txt
36488991,36489511,FEM,10.51,5.02,3.2,20181115_130044_024882.txt
36498119,36498991,FEM,10.46,5.02,3.24,20181115_130044_024882.txt
36503997,36506095,MAL,21.51,10.8,7.13,20181115_130044_024882.txt
36514738,36516716,FEM,21.64,10.91,7.1,20181115_130044_024882.txt
36525117,36525446,MAL,11.53,5.67,3.5,20181115_130044_024882.txt
36529053,36529158,FEM,12.97,6.51,3.94,20181115_130044_024882.txt
36529426,36530649,FEM,14.88,7.37,4.77,20181115_130044_024882.txt
36537348,36538487,FEM,14.77,7.21,4.67,20181115_130044_024882.txt
36537991,36539213,MAL,15.84,7.81,5.04,20181115_130044_024882.txt
36539011,36542511,FEM,32.65,16.4,10.92,20181115_130044_024882.txt
36553513,36555013,MAL,18.29,9.11,5.9,20181115_130044_024882.txt
36563894,36564395,MAL,10.4,5.01,3.16,20181115_130044_024882.txt
36564846,36565011,MAL,11.59,5.75,3.49,20181115_130044_024882.txt
36571816,36574511,FEM,20.3,9.59,6.72,20181115_130044_024882.txt
36578010,36578191,FEM,6.44,2.89,1.78,20181115_130044_024882.txt
36578312,36579316,FEM,9.35,4.26,2.89,20181115_130044_024882.txt
36581267,36581861,FEM,12.06,5.87,3.73,20181115_130044_024882.txt
36592547,36595493,FEM,22.39,10.85,7.51,20181115_130044_024882.txt
36597493,36597652,MAL,7.84,3.68,2.25,20181115_130044_024882.txt
36602511,36614492,FEM,92.43,47.48,32.37,20181115_130044_024882.txt
36615515,36615750,MAL,10.56,5.16,3.17,20181115_130044_024882.txt
36615890,36618011,MAL,18.81,8.83,6.12,20181115_130044_024882.txt
36615993,36617011,FEM,11.4,5.21,3.52,20181115_130044_024882.txt
36623472,36624992,FEM,13.67,6.28,4.31,20181115_130044_024882.txt
36625573,36627164,FEM,13.96,6.59,4.47,20181115_130044_024882.txt
36628808,36628992,FEM,7.47,3.46,2.13,20181115_130044_024882.txt
36630223,36630341,MAL,8.52,4.06,2.47,20181115_130044_024882.txt
36631975,36635492,FEM,28.11,13.65,9.41,20181115_130044_024882.txt
36637834,36642993,FEM,41.07,20.7,14.05,20181115_130044_024882.txt
36644260,36644447,FEM,8.82,4.18,2.58,20181115_130044_024882.txt
36646710,36647010,FEM,8.53,4.0,2.5,20181115_130044_024882.txt
36650968,36651935,FEM,5.53,2.06,1.61,20181115_130044_024882.txt
36652993,36654304,MAL,16.74,8.16,5.35,20181115_130044_024882.txt
36665377,36666511,FEM,8.38,3.84,2.59,20181115_130044_024882.txt
36671616,36671736,FEM,4.07,1.56,0.98,20181115_130044_024882.txt
36681861,36682492,FEM,5.38,2.25,1.51,20181115_130044_024882.txt
36686993,36687865,FEM,9.76,4.55,2.95,20181115_130044_024882.txt
36692511,36695051,FEM,22.59,10.96,7.3,20181115_130044_024882.txt
36698759,36700511,FEM,11.11,4.62,3.5,20181115_130044_024882.txt
36703010,36703412,FEM,4.82,1.94,1.28,20181115_130044_024882.txt
36705982,36706468,FEM,8.33,3.87,2.46,20181115_130044_024882.txt
36708491,36710511,MAL,17.8,8.42,5.82,20181115_130044_024882.txt
36710619,36710990,MAL,10.5,5.07,3.17,20181115_130044_024882.txt
36715154,36715920,FEM,7.37,3.27,2.19,20181115_130044_024882.txt
36720478,36721334,FEM,11.63,5.55,3.57,20181115_130044_024882.txt
36721510,36725003,FEM,27.55,13.32,9.27,20181115_130044_024882.txt
36724352,36727121,MAL,23.5,11.29,7.8,20181115_130044_024882.txt
36726509,36726980,FEM,9.13,4.19,2.73,20181115_130044_024882.txt
36727268,36727373,MAL,12.45,6.23,3.77,20181115_130044_024882.txt
36742079,36742688,FEM,7.52,3.36,2.21,20181115_130044_024882.txt
36744371,36746067,FEM,17.3,8.22,5.55,20181115_130044_024882.txt
36748934,36749871,MAL,13.51,6.54,4.21,20181115_130044_024882.txt
36767604,36767827,MAL,9.75,4.68,2.89,20181115_130044_024882.txt
36777189,36777511,FEM,8.68,4.09,2.55,20181115_130044_024882.txt
36782512,36784493,FEM,17.25,7.89,5.37,20181115_130044_024882.txt
36790532,36793327,FEM,21.8,10.47,7.29,20181115_130044_024882.txt
36795492,36798408,FEM,25.05,12.42,8.34,20181115_130044_024882.txt
36816571,36819011,MAL,22.49,11.29,7.46,20181115_130044_024882.txt
36825509,36828168,FEM,22.11,10.59,7.26,20181115_130044_024882.txt
36830511,36831093,MAL,9.38,4.3,2.78,20181115_130044_024882.txt
36832053,36833656,FEM,15.53,7.58,5.0,20181115_130044_024882.txt
36839359,36840512,FEM,12.08,5.65,3.77,20181115_130044_024882.txt
36843760,36844759,MAL,13.37,6.47,4.23,20181115_130044_024882.txt
36844885,36844986,MAL,12.23,6.11,3.7,20181115_130044_024882.txt
36849011,36855999,MAL,63.01,32.8,21.62,20181115_130044_024882.txt
36863723,36865488,MAL,16.75,8.26,5.49,20181115_130044_024882.txt
36867904,36868071,MAL,10.29,5.03,3.06,20181115_130044_024882.txt
36869664,36870778,MAL,12.68,6.22,4.02,20181115_130044_024882.txt
36870925,36871168,MAL,9.43,4.55,2.79,20181115_130044_024882.txt
36878993,36880473,MAL,16.04,7.85,5.15,20181115_130044_024882.txt
36880971,36885011,MAL,37.69,19.09,12.69,20181115_130044_024882.txt
36888510,36890911,MAL,25.05,12.6,8.31,20181115_130044_024882.txt
36893220,36893360,MAL,13.92,7.05,4.27,20181115_130044_024882.txt
36893468,36894511,MAL,14.77,7.32,4.7,20181115_130044_024882.txt
36899265,36899972,MAL,11.07,5.29,3.36,20181115_130044_024882.txt
36899737,36899847,FEM,10.05,4.91,2.97,20181115_130044_024882.txt
36900011,36901511,FEM,16.89,8.33,5.43,20181115_130044_024882.txt
36901011,36902909,MAL,18.66,9.3,6.14,20181115_130044_024882.txt
36904493,36906992,FEM,26.9,13.5,8.73,20181115_130044_024882.txt
36905561,36905801,MAL,10.11,4.91,3.01,20181115_130044_024882.txt
36906033,36906416,MAL,8.62,4.04,2.54,20181115_130044_024882.txt
36908546,36909150,FEM,10.27,4.86,3.08,20181115_130044_024882.txt
36915056,36915724,FEM,11.01,5.24,3.34,20181115_130044_024882.txt
36917908,36921492,FEM,29.2,14.47,9.78,20181115_130044_024882.txt
36920478,36921448,MAL,9.21,4.05,2.79,20181115_130044_024882.txt
36925991,36926492,FEM,7.83,3.6,2.3,20181115_130044_024882.txt
36930322,36930680,FEM,6.59,2.91,1.86,20181115_130044_024882.txt
36931586,36931734,MAL,6.44,2.89,1.78,20181115_130044_024882.txt
36940512,36941320,FEM,9.45,4.4,2.84,20181115_130044_024882.txt
36943493,36944846,FEM,15.17,7.41,4.73,20181115_130044_024882.txt
36953511,36956250,FEM,29.82,14.97,9.53,20181115_130044_024882.txt
36955492,36961908,MAL,64.79,33.57,21.59,20181115_130044_024882.txt
36956503,36957510,FEM,11.99,5.8,3.72,20181115_130044_024882.txt
36962161,36962318,MAL,8.47,4.02,2.46,20181115_130044_024882.txt
36963481,36964028,MAL,7.89,3.64,2.33,20181115_130044_024882.txt
36968493,36971102,FEM,22.75,11.2,7.52,20181115_130044_024882.txt
36971880,36971993,FEM,8.21,3.88,2.36,20181115_130044_024882.txt
36974008,36974239,FEM,8.61,4.07,2.52,20181115_130044_024882.txt
36979492,36980314,MAL,10.27,4.69,3.06,20181115_130044_024882.txt
36980575,36980754,MAL,8.25,3.88,2.39,20181115_130044_024882.txt
36982492,36984492,FEM,17.61,8.29,5.71,20181115_130044_024882.txt
36989507,36990317,MAL,10.84,5.12,3.3,20181115_130044_024882.txt
36989860,36990017,FEM,7.81,3.64,2.24,20181115_130044_024882.txt
36990479,36994316,MAL,40.14,20.5,13.26,20181115_130044_024882.txt
36994992,36996992,MAL,21.51,10.82,7.01,20181115_130044_024882.txt
