segment_onset,segment_offset,speaker_type,phonemes,syllables,words,raw_filename
41297511,41299492,FEM,21.55,10.75,7.07,20220624_140959_025480_2.txt
41309204,41311325,MAL,18.02,8.36,5.86,20220624_140959_025480_2.txt
41324808,41325459,MAL,12.24,5.87,3.74,20220624_140959_025480_2.txt
41326904,41327361,MAL,9.23,4.36,2.76,20220624_140959_025480_2.txt
41327992,41328245,FEM,7.1,3.21,2.02,20220624_140959_025480_2.txt
41328085,41328709,MAL,9.05,4.15,2.67,20220624_140959_025480_2.txt
41330358,41332012,FEM,18.66,9.07,5.94,20220624_140959_025480_2.txt
41331180,41333011,MAL,18.26,8.84,5.89,20220624_140959_025480_2.txt
41336492,41336983,MAL,6.78,3.01,1.95,20220624_140959_025480_2.txt
41342829,41345095,MAL,18.15,8.48,5.98,20220624_140959_025480_2.txt
41343129,41343251,FEM,9.61,4.63,2.83,20220624_140959_025480_2.txt
41345625,41347010,MAL,11.99,5.52,3.78,20220624_140959_025480_2.txt
41355993,41356850,MAL,10.34,4.84,3.15,20220624_140959_025480_2.txt
41361079,41362280,MAL,13.81,6.61,4.36,20220624_140959_025480_2.txt
41363906,41364983,MAL,11.2,5.34,3.52,20220624_140959_025480_2.txt
41365510,41367044,MAL,15.07,7.08,4.78,20220624_140959_025480_2.txt
41371493,41372578,MAL,11.88,5.59,3.75,20220624_140959_025480_2.txt
41380011,41381807,MAL,16.3,7.68,5.29,20220624_140959_025480_2.txt
41397492,41398780,MAL,14.74,7.15,4.68,20220624_140959_025480_2.txt
41405511,41407507,MAL,14.59,6.78,4.75,20220624_140959_025480_2.txt
41416491,41421991,MAL,39.59,18.9,13.56,20220624_140959_025480_2.txt
41423270,41428491,MAL,37.01,17.81,12.66,20220624_140959_025480_2.txt
41438491,41439011,FEM,4.36,1.67,1.15,20220624_140959_025480_2.txt
41439237,41440228,MAL,10.76,4.98,3.31,20220624_140959_025480_2.txt
41499235,41499512,FEM,7.91,3.67,2.29,20220624_140959_025480_2.txt
41499695,41499844,FEM,7.85,3.68,2.25,20220624_140959_025480_2.txt
41510119,41510235,MAL,8.67,4.14,2.51,20220624_140959_025480_2.txt
41510375,41510510,MAL,9.02,4.32,2.63,20220624_140959_025480_2.txt
41533511,41534075,FEM,10.56,4.98,3.22,20220624_140959_025480_2.txt
41544993,41545175,MAL,7.59,3.5,2.17,20220624_140959_025480_2.txt
41545722,41549472,MAL,28.17,13.62,9.57,20220624_140959_025480_2.txt
41550011,41553413,MAL,25.75,12.29,8.71,20220624_140959_025480_2.txt
41568439,41571956,MAL,24.76,11.91,8.4,20220624_140959_025480_2.txt
41573839,41573993,FEM,4.64,1.88,1.18,20220624_140959_025480_2.txt
41575017,41577493,MAL,18.11,8.38,5.95,20220624_140959_025480_2.txt
41575839,41575993,FEM,5.49,2.35,1.46,20220624_140959_025480_2.txt
41576514,41576865,FEM,6.38,2.75,1.79,20220624_140959_025480_2.txt
41577508,41579454,FEM,13.75,6.15,4.36,20220624_140959_025480_2.txt
