segment_onset,segment_offset,speaker_type,phonemes,syllables,words,raw_filename
7388,8620,FEM,15.98,7.83,5.09,20210624_123256_024880.txt
33870,33971,FEM,13.56,6.85,4.14,20210624_123256_024880.txt
36374,37918,FEM,17.83,8.68,5.7,20210624_123256_024880.txt
41546,42511,MAL,14.09,6.87,4.46,20210624_123256_024880.txt
53492,54319,FEM,11.92,5.72,3.67,20210624_123256_024880.txt
62993,65195,FEM,22.73,11.16,7.5,20210624_123256_024880.txt
73877,75011,FEM,14.66,7.25,4.63,20210624_123256_024880.txt
74552,74834,MAL,11.46,5.67,3.47,20210624_123256_024880.txt
90485,91992,FEM,19.13,9.4,6.13,20210624_123256_024880.txt
92062,94011,MAL,21.62,10.71,7.08,20210624_123256_024880.txt
94151,96446,FEM,21.7,10.64,7.12,20210624_123256_024880.txt
94395,94500,MAL,10.29,5.05,3.05,20210624_123256_024880.txt
97126,97494,FEM,12.3,6.02,3.76,20210624_123256_024880.txt
103493,104993,FEM,16.86,7.97,5.42,20210624_123256_024880.txt
124855,125054,FEM,7.86,3.66,2.26,20210624_123256_024880.txt
126326,127511,MAL,12.8,6.1,3.97,20210624_123256_024880.txt
128512,130486,MAL,16.62,7.75,5.42,20210624_123256_024880.txt
132511,134934,MAL,23.27,11.38,7.61,20210624_123256_024880.txt
137734,138762,MAL,10.09,4.64,3.09,20210624_123256_024880.txt
138869,138977,MAL,6.26,2.81,1.71,20210624_123256_024880.txt
140171,140750,FEM,9.89,4.67,2.95,20210624_123256_024880.txt
147680,147788,FEM,7.35,3.41,2.07,20210624_123256_024880.txt
150812,151180,FEM,7.91,3.67,2.3,20210624_123256_024880.txt
192780,192940,MAL,8.21,3.86,2.37,20210624_123256_024880.txt
193312,193462,MAL,5.22,2.21,1.37,20210624_123256_024880.txt
196493,196987,MAL,8.61,3.98,2.56,20210624_123256_024880.txt
198069,198395,MAL,9.35,4.44,2.78,20210624_123256_024880.txt
231010,231771,FEM,9.53,4.4,2.86,20210624_123256_024880.txt
239779,241011,MAL,15.8,7.56,5.03,20210624_123256_024880.txt
245012,245355,FEM,6.56,2.93,1.85,20210624_123256_024880.txt
305011,305769,FEM,6.94,3.06,2.05,20210624_123256_024880.txt
308885,309012,MAL,5.66,2.46,1.51,20210624_123256_024880.txt
314493,315048,MAL,10.31,4.88,3.08,20210624_123256_024880.txt
320023,322824,MAL,25.93,12.87,8.61,20210624_123256_024880.txt
394819,395511,FEM,11.59,5.52,3.58,20210624_123256_024880.txt
409134,409369,FEM,8.66,4.11,2.53,20210624_123256_024880.txt
422376,422577,FEM,10.72,5.24,3.21,20210624_123256_024880.txt
438016,439511,MAL,12.46,5.8,3.96,20210624_123256_024880.txt
439720,439858,MAL,6.46,2.9,1.78,20210624_123256_024880.txt
441622,443294,MAL,16.33,7.85,5.28,20210624_123256_024880.txt
442511,442968,FEM,9.2,4.34,2.75,20210624_123256_024880.txt
455304,455950,MAL,11.22,5.4,3.45,20210624_123256_024880.txt
494492,495680,FEM,9.66,4.23,2.97,20210624_123256_024880.txt
521470,521784,MAL,6.07,2.65,1.68,20210624_123256_024880.txt
551087,551492,FEM,9.18,4.3,2.73,20210624_123256_024880.txt
611407,611879,MAL,9.42,4.42,2.83,20210624_123256_024880.txt
624864,625058,MAL,9.28,4.46,2.73,20210624_123256_024880.txt
709098,709449,FEM,8.89,4.2,2.63,20210624_123256_024880.txt
736184,736383,FEM,9.19,4.4,2.7,20210624_123256_024880.txt
740492,740968,FEM,8.58,3.91,2.55,20210624_123256_024880.txt
751511,753492,MAL,19.8,9.57,6.43,20210624_123256_024880.txt
754162,755014,FEM,10.06,4.68,3.05,20210624_123256_024880.txt
764193,764309,FEM,9.02,4.34,2.63,20210624_123256_024880.txt
782492,782870,FEM,6.02,2.56,1.68,20210624_123256_024880.txt
783110,785992,MAL,21.27,9.77,7.12,20210624_123256_024880.txt
787361,789011,MAL,14.77,6.8,4.7,20210624_123256_024880.txt
796444,798736,MAL,22.2,10.83,7.28,20210624_123256_024880.txt
801988,803831,MAL,20.32,10.05,6.64,20210624_123256_024880.txt
811951,814332,MAL,24.87,12.49,8.24,20210624_123256_024880.txt
844590,844742,MAL,12.34,6.17,3.74,20210624_123256_024880.txt
894130,894511,MAL,7.83,3.59,2.28,20210624_123256_024880.txt
928707,929510,FEM,7.76,3.42,2.27,20210624_123256_024880.txt
934487,935449,MAL,14.62,7.23,4.59,20210624_123256_024880.txt
935852,935972,FEM,5.99,2.65,1.62,20210624_123256_024880.txt
942982,943507,FEM,6.04,2.54,1.66,20210624_123256_024880.txt
948011,950483,MAL,20.84,9.89,6.81,20210624_123256_024880.txt
956956,957683,MAL,10.91,5.17,3.31,20210624_123256_024880.txt
959243,959991,MAL,7.1,3.18,2.1,20210624_123256_024880.txt
963978,965007,FEM,9.65,4.43,2.94,20210624_123256_024880.txt
968492,970232,MAL,17.15,8.35,5.51,20210624_123256_024880.txt
969872,970010,FEM,6.3,2.82,1.73,20210624_123256_024880.txt
975011,976240,MAL,12.5,5.96,3.93,20210624_123256_024880.txt
983305,984863,MAL,15.48,7.49,4.98,20210624_123256_024880.txt
986011,988011,MAL,17.74,8.14,5.75,20210624_123256_024880.txt
1004719,1006347,FEM,14.31,6.97,4.6,20210624_123256_024880.txt
